Colony	Nucleotide_Diversity
3145	0.00308553
3152	0.00274567
3154	0.00270002
3155	0.00290078
3156	0.00278511
3160	0.00277686
3162	0.00306547
3163	0.00320732
3164	0.00266036
3165	0.0026948
3169	0.00322883
3172	0.00291333
3173	0.00272319
3175	0.00287685
3498	0.00309442
3504	0.00302084
3505	0.0019883
3507	0.0021606
3508	0.00279668
3510	0.00254459
3516	0.00301114
3517	0.00243596
3518	0.00468065
3519	0.00307354
3520	0.00270953
3521	0.00293044
3522	0.00268457
3523	0.00267167
3525	0.00279777
3774	0.00194205
3780	0.00308811
3800	0.00287127
3803	0.00273271
3822	0.00303913
3824	0.00285985
3828	0.00277966
3841	0.00281669
3858	0.00250357
3862	0.00282228
3867	0.00301566
3870	0.00325589
