sample	leech_0.001_1x	leech_0.001_2x	leech_0.001_4x	leech_0.001_8x	leech_0.002_1x	leech_0.002_2x	leech_0.002_4x	leech_0.002_8x	leech_0.004_1x	leech_0.004_2x	leech_0.004_4x	leech_0.004_8x	leech_0.006_1x	leech_0.006_2x	leech_0.006_4x	leech_0.006_8x	leech_0.008_1x	leech_0.008_2x	leech_0.008_4x	leech_0.008_8x	leech_0.01_1x	leech_0.01_2x	leech_0.01_4x	leech_0.01_8x	leech_0.02_1x	leech_0.02_2x	leech_0.02_4x	leech_0.02_8x	leech_0.0_1x	leech_0.0_2x	leech_0.0_4x	leech_0.0_8x
leech_0.001_1x	0.0	0.0	0.0	0.0	0.00259	0.00255	0.00274	0.0	0.00432	0.00457	0.00456	0.0	0.00681	0.00663	0.00665	0.0	0.00874	0.00858	0.00873	0.0	0.01054	0.01058	0.01067	0.0	0.02062	0.02083	0.02086	0.01038	0.00057	0.00074	0.00069	0.0
leech_0.001_2x	0.0	0.0	0.0	0.0	0.00266	0.00263	0.00275	0.0	0.00461	0.00463	0.00469	0.0	0.00656	0.0067	0.00663	0.0	0.00875	0.00873	0.00876	0.0	0.01055	0.01067	0.01067	0.00171	0.02057	0.02065	0.0206	0.01197	0.00069	0.00079	0.00074	0.0
leech_0.001_4x	0.0	0.0	0.0	0.0	0.00242	0.00253	0.00271	0.0	0.00445	0.0046	0.00463	0.0	0.00651	0.00658	0.00657	0.0	0.00873	0.0087	0.00867	0.00099	0.01055	0.01052	0.01051	0.00286	0.0205	0.02056	0.02051	0.01307	0.00047	0.00067	0.00064	0.0
leech_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00106	0.0	0.0	0.00168	0.00295	0.0	0.01038	0.01202	0.01324	0.00584	0.0	0.0	0.0	0.0
leech_0.002_1x	0.00259	0.00268	0.00245	0.0	0.0	0.0	0.0	0.0	0.00528	0.0056	0.00555	0.0	0.00738	0.00757	0.00736	0.0	0.00968	0.00951	0.00951	0.0	0.01155	0.01131	0.0114	0.00077	0.0216	0.02166	0.02168	0.01113	0.00164	0.00163	0.00154	0.0
leech_0.002_2x	0.00252	0.00263	0.00254	0.0	0.0	0.0	0.0	0.0	0.00545	0.00551	0.00557	0.0	0.0074	0.0075	0.00742	0.0	0.00964	0.00963	0.00964	0.0006	0.01144	0.01138	0.01142	0.00252	0.02152	0.0214	0.02144	0.01276	0.00159	0.00163	0.00159	0.0
leech_0.002_4x	0.00271	0.00274	0.00271	0.0	0.0	0.0	0.0	0.0	0.00556	0.00566	0.00567	0.0	0.00755	0.00766	0.00759	0.0	0.0099	0.00985	0.0097	0.00207	0.01153	0.01153	0.01156	0.00398	0.02161	0.02153	0.02149	0.01408	0.00158	0.00167	0.00172	0.0
leech_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.00206	0.0	0.00093	0.00261	0.00394	0.0	0.01119	0.01294	0.01414	0.00673	0.0	0.0	0.0	0.0
leech_0.004_1x	0.00432	0.00465	0.0045	0.0	0.00528	0.0055	0.00562	0.0	0.0	0.0	0.0	0.0	0.00935	0.00956	0.00947	0.0	0.01176	0.01166	0.0115	0.00096	0.01361	0.0135	0.01335	0.00275	0.02343	0.02329	0.02322	0.01286	0.00346	0.00356	0.00354	0.0
leech_0.004_2x	0.00453	0.00463	0.00461	0.0	0.00555	0.00551	0.00568	0.0	0.0	0.0	0.0	0.0	0.00944	0.00962	0.00954	0.00063	0.01175	0.01167	0.01163	0.00268	0.0134	0.01347	0.01341	0.00456	0.02328	0.02337	0.02319	0.0147	0.00356	0.00364	0.00362	0.0
leech_0.004_4x	0.00451	0.00468	0.00463	0.0	0.00549	0.00556	0.00567	0.0	0.0	0.0	0.0	0.0	0.00938	0.00961	0.0095	0.00197	0.01179	0.01177	0.01156	0.00404	0.01345	0.01355	0.01347	0.00594	0.02341	0.02338	0.02331	0.01596	0.00348	0.00369	0.00364	0.0
leech_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.00194	0.0	0.00117	0.00286	0.00402	0.0	0.00296	0.00475	0.00593	0.0	0.01328	0.01487	0.0161	0.00872	0.0	0.0	0.0	0.0
leech_0.006_1x	0.00681	0.00662	0.00659	0.0	0.00738	0.00747	0.00764	0.0	0.00935	0.00953	0.00949	0.0	0.0	0.0	0.0	0.0	0.01345	0.01344	0.01346	0.00289	0.01532	0.01542	0.01532	0.0048	0.02516	0.02555	0.02519	0.0151	0.00568	0.00561	0.00557	0.0
leech_0.006_2x	0.00657	0.0067	0.00659	0.0	0.0075	0.0075	0.00769	0.0	0.00947	0.00962	0.00964	0.00075	0.0	0.0	0.0	0.0	0.01386	0.0136	0.01359	0.00473	0.01533	0.01547	0.01551	0.0067	0.02522	0.02537	0.02535	0.01671	0.00551	0.00565	0.00564	0.0
leech_0.006_4x	0.00658	0.00661	0.00658	0.0	0.00727	0.0074	0.00759	0.0	0.00936	0.00951	0.0095	0.00193	0.0	0.0	0.0	0.0	0.01358	0.01352	0.01342	0.00591	0.01517	0.0153	0.01539	0.00787	0.02517	0.02522	0.02521	0.01787	0.0054	0.00556	0.00554	0.0
leech_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.00198	0.0	0.0	0.0	0.0	0.0	0.00321	0.00471	0.00604	0.0	0.00484	0.00665	0.00794	0.00038	0.01523	0.01683	0.01804	0.0107	0.0	0.0	0.0	0.0
leech_0.008_1x	0.00874	0.00883	0.00883	0.0	0.00968	0.00973	0.01002	0.0	0.01175	0.01186	0.01192	0.00118	0.01344	0.01399	0.01373	0.00323	0.0	0.0	0.0	0.0	0.01747	0.01761	0.01756	0.00702	0.02746	0.02746	0.02735	0.01717	0.00752	0.0079	0.00799	0.0
leech_0.008_2x	0.0085	0.00873	0.00872	0.0	0.00943	0.00963	0.00988	0.00079	0.01156	0.01167	0.0118	0.00285	0.01332	0.0136	0.01356	0.0047	0.0	0.0	0.0	0.0	0.01723	0.01747	0.01744	0.00869	0.02739	0.02713	0.02713	0.01866	0.00753	0.00779	0.00781	0.0
leech_0.008_4x	0.00863	0.00874	0.00867	0.00106	0.00941	0.00961	0.0097	0.00205	0.01137	0.0116	0.01156	0.00401	0.01331	0.01355	0.01342	0.00601	0.0	0.0	0.0	0.0	0.01731	0.01733	0.01733	0.00994	0.02726	0.02717	0.02702	0.01985	0.00751	0.00766	0.00768	0.0
leech_0.008_8x	0.0	0.0	0.00099	0.0	0.0	0.0006	0.00208	0.0	0.00095	0.00269	0.00406	0.0	0.00287	0.00474	0.00594	0.0	0.0	0.0	0.0	0.0	0.00689	0.00867	0.00999	0.00241	0.01721	0.01874	0.01995	0.01272	0.0	0.0	0.0	0.0
leech_0.01_1x	0.01054	0.01065	0.01067	0.0	0.01155	0.01154	0.01166	0.00094	0.0136	0.01352	0.0136	0.00298	0.01531	0.01547	0.01534	0.00487	0.01747	0.01739	0.01751	0.00693	0.0	0.0	0.0	0.0	0.02927	0.02909	0.02915	0.01909	0.00929	0.00976	0.00972	0.0
leech_0.01_2x	0.01049	0.01067	0.01055	0.00167	0.0112	0.01138	0.01157	0.00261	0.01338	0.01348	0.01359	0.00474	0.01528	0.01547	0.01534	0.00664	0.01746	0.01747	0.01738	0.00865	0.0	0.0	0.0	0.0	0.02916	0.02902	0.02911	0.02066	0.00947	0.00967	0.00963	0.00072
leech_0.01_4x	0.01055	0.01065	0.01051	0.00294	0.01127	0.01139	0.01156	0.00392	0.0132	0.01338	0.01347	0.00591	0.01515	0.01548	0.01539	0.00791	0.01737	0.01739	0.01733	0.00995	0.0	0.0	0.0	0.0	0.029	0.02885	0.02902	0.02168	0.00934	0.00967	0.00953	0.00195
leech_0.01_8x	0.0	0.00172	0.00287	0.0	0.00077	0.00253	0.004	0.0	0.00273	0.00457	0.00597	0.0	0.00477	0.00671	0.0079	0.00038	0.00697	0.0087	0.00998	0.00241	0.0	0.0	0.0	0.0	0.01903	0.02054	0.02185	0.01458	0.0	0.0007	0.00196	0.0
leech_0.02_1x	0.02062	0.02076	0.02074	0.01045	0.0216	0.02171	0.02186	0.01126	0.02343	0.02349	0.02367	0.01337	0.02515	0.02545	0.02545	0.01533	0.02746	0.02762	0.02756	0.01733	0.02927	0.02941	0.02931	0.01916	0.0	0.0	0.0	0.0	0.01962	0.02001	0.01993	0.00949
leech_0.02_2x	0.02065	0.02066	0.02062	0.012	0.02147	0.02141	0.02159	0.01293	0.02309	0.02338	0.02345	0.01485	0.02533	0.02538	0.02529	0.01681	0.02723	0.02714	0.02725	0.01872	0.02884	0.02903	0.02893	0.02051	0.0	0.0	0.0	0.0	0.01925	0.01971	0.01971	0.01096
leech_0.02_4x	0.02063	0.02056	0.02052	0.0132	0.02145	0.02139	0.02151	0.01409	0.02298	0.02315	0.02332	0.01604	0.02492	0.02529	0.02522	0.01798	0.02706	0.02708	0.02704	0.01988	0.02885	0.02905	0.02903	0.02177	0.0	0.0	0.0	0.0	0.01916	0.01961	0.01957	0.01218
leech_0.02_8x	0.01032	0.01199	0.01313	0.00584	0.01106	0.01279	0.01415	0.00673	0.01278	0.01473	0.01604	0.00872	0.015	0.01674	0.01795	0.01071	0.01706	0.0187	0.01994	0.01272	0.01897	0.0207	0.02178	0.01458	0.0	0.0	0.0	0.0	0.00895	0.01101	0.0122	0.00478
leech_0.0_1x	0.00057	0.0007	0.00048	0.0	0.00164	0.00161	0.0016	0.0	0.00346	0.0036	0.00352	0.0	0.00567	0.00556	0.00546	0.0	0.00752	0.0076	0.00759	0.0	0.00929	0.00955	0.00945	0.0	0.01963	0.01942	0.01937	0.00901	0.0	0.0	0.0	0.0
leech_0.0_2x	0.00073	0.00079	0.00067	0.0	0.00161	0.00163	0.00168	0.0	0.00353	0.00364	0.0037	0.0	0.00556	0.00565	0.00557	0.0	0.00783	0.00779	0.00768	0.0	0.00967	0.00967	0.0097	0.0007	0.01983	0.01971	0.01965	0.01098	0.0	0.0	0.0	0.0
leech_0.0_4x	0.00068	0.00074	0.00064	0.0	0.00152	0.00159	0.00172	0.0	0.0035	0.00361	0.00364	0.0	0.00551	0.00563	0.00554	0.0	0.0079	0.00779	0.00768	0.0	0.00961	0.0096	0.00953	0.00195	0.0197	0.01965	0.01956	0.01214	0.0	0.0	0.0	0.0
leech_0.0_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.00196	0.0	0.00942	0.01098	0.01222	0.00478	0.0	0.0	0.0	0.0
