sample	nematode_0.001_1x	nematode_0.001_2x	nematode_0.001_4x	nematode_0.001_8x	nematode_0.002_1x	nematode_0.002_2x	nematode_0.002_4x	nematode_0.002_8x	nematode_0.004_1x	nematode_0.004_2x	nematode_0.004_4x	nematode_0.004_8x	nematode_0.006_1x	nematode_0.006_2x	nematode_0.006_4x	nematode_0.006_8x	nematode_0.008_1x	nematode_0.008_2x	nematode_0.008_4x	nematode_0.008_8x	nematode_0.01_1x	nematode_0.01_2x	nematode_0.01_4x	nematode_0.01_8x	nematode_0.02_1x	nematode_0.02_2x	nematode_0.02_4x	nematode_0.02_8x	nematode_0.0_1x	nematode_0.0_2x	nematode_0.0_4x	nematode_0.0_8x
nematode_0.001_1x	0.0	0.0	0.0	0.0	0.00332	0.00289	0.00276	0.0	0.00513	0.00495	0.00463	0.0	0.00701	0.00682	0.00645	0.0	0.00894	0.0089	0.00839	0.0	0.01101	0.01062	0.0101	0.0	0.02007	0.01992	0.0193	0.00781	0.00128	0.00111	0.00073	0.0
nematode_0.001_2x	0.0	0.0	0.0	0.0	0.00274	0.00245	0.00214	0.0	0.00472	0.00449	0.00406	0.0	0.00655	0.00625	0.00585	0.0	0.00853	0.00836	0.00785	0.0	0.01057	0.01032	0.00972	0.0	0.01993	0.01956	0.01895	0.00928	0.00081	0.00053	0.0	0.0
nematode_0.001_4x	0.0	0.0	0.0	0.0	0.00283	0.00225	0.0019	0.0	0.00468	0.00439	0.0039	0.0	0.00654	0.0062	0.00568	0.0	0.00854	0.00826	0.00777	0.0	0.01065	0.01013	0.00959	0.00108	0.01999	0.01956	0.01899	0.0107	0.00073	0.0	0.0	0.0
nematode_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.00151	0.0	0.00896	0.01058	0.0115	0.00324	0.0	0.0	0.0	0.0
nematode_0.002_1x	0.00332	0.00275	0.00282	0.0	0.0	0.0	0.0	0.0	0.00596	0.00608	0.00566	0.0	0.00778	0.00751	0.0074	0.0	0.00983	0.00971	0.00932	0.0	0.0118	0.01143	0.011	0.0	0.02086	0.02074	0.02022	0.00867	0.00219	0.00205	0.00161	0.0
nematode_0.002_2x	0.00288	0.00245	0.00223	0.0	0.0	0.0	0.0	0.0	0.00568	0.00558	0.00506	0.0	0.00755	0.00733	0.00685	0.0	0.00955	0.00946	0.00891	0.0	0.01151	0.01129	0.01063	0.0008	0.02079	0.02054	0.01987	0.0103	0.00206	0.00156	0.00116	0.0
nematode_0.002_4x	0.00276	0.00215	0.00189	0.0	0.0	0.0	0.0	0.0	0.00548	0.00525	0.00475	0.0	0.00749	0.00703	0.00663	0.0	0.00941	0.00906	0.0086	0.0	0.01128	0.01101	0.01033	0.00193	0.02083	0.0204	0.01979	0.0116	0.00166	0.00123	0.00078	0.0
nematode_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.0	0.00136	0.00236	0.0	0.0098	0.01142	0.01233	0.00419	0.0	0.0	0.0	0.0
nematode_0.004_1x	0.00512	0.00474	0.00466	0.0	0.00596	0.00571	0.00547	0.0	0.0	0.0	0.0	0.0	0.00965	0.00966	0.00917	0.0	0.0115	0.01151	0.01093	0.0	0.01321	0.01328	0.01293	0.00115	0.02267	0.02265	0.02192	0.01064	0.00432	0.00381	0.00355	0.0
nematode_0.004_2x	0.00491	0.00448	0.00434	0.0	0.00603	0.00557	0.00521	0.0	0.0	0.0	0.0	0.0	0.00954	0.00947	0.00896	0.0	0.01176	0.01137	0.01091	0.00104	0.01355	0.01331	0.01263	0.00289	0.02261	0.02254	0.02185	0.01241	0.00389	0.00363	0.00328	0.0
nematode_0.004_4x	0.00462	0.00407	0.00388	0.0	0.00565	0.00507	0.00473	0.0	0.0	0.0	0.0	0.0	0.00932	0.00896	0.00848	0.0	0.0112	0.01102	0.01046	0.00203	0.01327	0.01283	0.01229	0.0039	0.02258	0.02212	0.0216	0.01342	0.00366	0.00322	0.00276	0.0
