sample	rotifer_0.001_1x	rotifer_0.001_2x	rotifer_0.001_4x	rotifer_0.001_8x	rotifer_0.002_1x	rotifer_0.002_2x	rotifer_0.002_4x	rotifer_0.002_8x	rotifer_0.004_1x	rotifer_0.004_2x	rotifer_0.004_4x	rotifer_0.004_8x	rotifer_0.006_1x	rotifer_0.006_2x	rotifer_0.006_4x	rotifer_0.006_8x	rotifer_0.008_1x	rotifer_0.008_2x	rotifer_0.008_4x	rotifer_0.008_8x	rotifer_0.01_1x	rotifer_0.01_2x	rotifer_0.01_4x	rotifer_0.01_8x	rotifer_0.02_1x	rotifer_0.02_2x	rotifer_0.02_4x	rotifer_0.02_8x	rotifer_0.0_1x	rotifer_0.0_2x	rotifer_0.0_4x	rotifer_0.0_8x
rotifer_0.001_1x	0.0	0.0	0.0	0.0	0.00279	0.00285	0.00272	0.0	0.00452	0.00488	0.00477	0.0	0.00694	0.00676	0.00659	0.0	0.00922	0.00893	0.00881	0.0	0.01087	0.0108	0.01047	0.0	0.02066	0.02042	0.02016	0.00923	0.00109	0.00098	0.00077	0.0
rotifer_0.001_2x	0.0	0.0	0.0	0.0	0.00276	0.00276	0.00263	0.0	0.00467	0.00486	0.0045	0.0	0.00685	0.00662	0.00645	0.0	0.00879	0.00877	0.00856	0.0	0.01084	0.01077	0.01033	0.00109	0.02084	0.02034	0.02013	0.01108	0.00089	0.00076	0.00064	0.0
rotifer_0.001_4x	0.0	0.0	0.0	0.0	0.00281	0.00261	0.00234	0.0	0.00465	0.00472	0.00429	0.0	0.00676	0.0066	0.00622	0.0	0.00876	0.00856	0.00842	0.0	0.01074	0.01059	0.01015	0.00228	0.02076	0.02023	0.01999	0.01228	0.00082	0.00059	0.00043	0.0
rotifer_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.00125	0.00228	0.0	0.01002	0.01129	0.01246	0.00461	0.0	0.0	0.0	0.0
rotifer_0.002_1x	0.00279	0.0028	0.00286	0.0	0.0	0.0	0.0	0.0	0.0058	0.00581	0.00566	0.0	0.00781	0.00789	0.00761	0.0	0.01004	0.00976	0.0098	0.0	0.01169	0.01176	0.01145	0.0	0.02187	0.02141	0.02126	0.01042	0.00191	0.00194	0.00181	0.0
rotifer_0.002_2x	0.00281	0.00276	0.00262	0.0	0.0	0.0	0.0	0.0	0.00568	0.00574	0.00545	0.0	0.00778	0.00759	0.00743	0.0	0.00986	0.00973	0.00957	0.0	0.01174	0.01159	0.0113	0.00203	0.02167	0.02131	0.02104	0.01204	0.00177	0.00179	0.00164	0.0
rotifer_0.002_4x	0.00268	0.00262	0.00234	0.0	0.0	0.0	0.0	0.0	0.00557	0.00566	0.00528	0.0	0.00761	0.00756	0.00716	0.0	0.0096	0.00954	0.0093	0.00129	0.01167	0.0115	0.01111	0.00324	0.02158	0.02112	0.02104	0.01322	0.00174	0.0016	0.00139	0.0
rotifer_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.00055	0.00217	0.00317	0.0	0.01092	0.01221	0.01336	0.00553	0.0	0.0	0.0	0.0
rotifer_0.004_1x	0.00452	0.00473	0.00473	0.0	0.00579	0.00575	0.00566	0.0	0.0	0.0	0.0	0.0	0.00976	0.00962	0.00945	0.0	0.01174	0.01146	0.01166	0.0	0.01372	0.01354	0.01335	0.00226	0.02376	0.02326	0.02325	0.01228	0.00406	0.00396	0.00377	0.0
rotifer_0.004_2x	0.00482	0.00486	0.00473	0.0	0.00573	0.00574	0.00567	0.0	0.0	0.0	0.0	0.0	0.00982	0.00965	0.00933	0.0	0.01178	0.01162	0.0116	0.00219	0.01379	0.01372	0.01333	0.00418	0.0239	0.02332	0.02305	0.01423	0.00412	0.00389	0.00383	0.0
