sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.00608	0.01027	0.00256	0.00235	0.00854	0.01233	0.00423	0.00389	0.01013	0.01342	0.00579	0.00531	0.01174	0.01478	0.00776	0.00727	0.01306	0.01599	0.00909	0.00855	0.01462	0.01728	0.01727	0.01705	0.02165	0.02371	0.00086	0.00064	0.00663	0.01108
club-moss_0.001_2x	0.0	0.0	0.00399	0.00806	0.00203	0.00167	0.00628	0.01018	0.00388	0.00335	0.00779	0.01119	0.00535	0.00487	0.00921	0.01243	0.00727	0.00669	0.01056	0.01362	0.00866	0.00823	0.012	0.01488	0.01709	0.0168	0.01902	0.02129	0.0	0.0	0.00465	0.00896
club-moss_0.001_4x	0.00601	0.00407	0.0	0.00675	0.0083	0.00648	0.00738	0.0105	0.00996	0.00804	0.0086	0.01136	0.01118	0.00932	0.00981	0.01232	0.01309	0.01122	0.01096	0.01326	0.01437	0.01252	0.01225	0.0144	0.0226	0.02089	0.01875	0.02066	0.00635	0.00496	0.00629	0.00967
club-moss_0.001_8x	0.01066	0.00864	0.00706	0.0	0.01297	0.01115	0.0109	0.01442	0.01463	0.01276	0.01191	0.01499	0.01594	0.01394	0.01291	0.01575	0.01778	0.01606	0.01387	0.01651	0.01914	0.01716	0.01515	0.01758	0.02717	0.02578	0.02134	0.02352	0.01096	0.00955	0.0103	0.01393
club-moss_0.002_1x	0.00256	0.0021	0.00842	0.01253	0.0	0.0	0.00647	0.01038	0.00493	0.0045	0.01079	0.01428	0.0065	0.00592	0.01239	0.01561	0.00824	0.00791	0.01395	0.01686	0.00973	0.00938	0.01534	0.0181	0.01792	0.01782	0.02247	0.0245	0.0016	0.0013	0.00743	0.01188
club-moss_0.002_2x	0.00227	0.00167	0.00636	0.01045	0.0	0.0	0.00408	0.00789	0.00447	0.00397	0.00854	0.01199	0.00605	0.00553	0.0099	0.01322	0.00798	0.00744	0.01132	0.01439	0.00942	0.00901	0.01276	0.01574	0.01767	0.01724	0.01969	0.02197	0.00113	0.00089	0.00547	0.00979
club-moss_0.002_4x	0.00838	0.00637	0.00735	0.01039	0.00636	0.00415	0.0	0.00491	0.01071	0.00878	0.009	0.01161	0.01193	0.01005	0.01023	0.01245	0.01384	0.01193	0.01136	0.01348	0.01511	0.01322	0.01259	0.01466	0.02327	0.02135	0.01896	0.02069	0.00722	0.00571	0.00677	0.00996
club-moss_0.002_8x	0.01275	0.01086	0.01095	0.0144	0.01074	0.00842	0.00515	0.0	0.01512	0.01327	0.01209	0.01509	0.01641	0.01441	0.01313	0.01583	0.01828	0.01647	0.01416	0.01657	0.01963	0.01757	0.0154	0.01771	0.02761	0.02615	0.02146	0.02355	0.01157	0.01005	0.01054	0.01406
club-moss_0.004_1x	0.00425	0.00402	0.01013	0.01418	0.00494	0.00463	0.01094	0.0147	0.0	0.0	0.00673	0.01004	0.00844	0.00794	0.0142	0.01714	0.00995	0.00967	0.01555	0.01816	0.01125	0.01099	0.01694	0.01954	0.01914	0.01905	0.02372	0.02582	0.00335	0.00327	0.00916	0.01343
club-moss_0.004_2x	0.00378	0.00337	0.00792	0.01201	0.00437	0.00399	0.00869	0.01252	0.0	0.0	0.00408	0.00758	0.00757	0.00727	0.01151	0.01492	0.00966	0.00906	0.01289	0.01594	0.01097	0.01053	0.01422	0.01717	0.01906	0.01892	0.02133	0.02368	0.00271	0.00257	0.00709	0.01144
club-moss_0.004_4x	0.00989	0.00786	0.00851	0.01129	0.01052	0.0086	0.00895	0.01148	0.00655	0.00411	0.0	0.00177	0.01334	0.01137	0.01125	0.01324	0.01523	0.01321	0.01236	0.01408	0.0165	0.01444	0.01349	0.01518	0.02435	0.02265	0.01975	0.02128	0.00872	0.00717	0.00788	0.01077
club-moss_0.004_8x	0.0138	0.01187	0.01179	0.01492	0.01467	0.0127	0.01211	0.01504	0.01033	0.00804	0.00186	0.0	0.01744	0.01545	0.0139	0.01632	0.01912	0.01746	0.01485	0.01712	0.02062	0.0186	0.01593	0.01812	0.02861	0.02717	0.02206	0.02404	0.01265	0.01116	0.01148	0.01463
club-moss_0.006_1x	0.00583	0.00556	0.0114	0.0155	0.00653	0.00629	0.01222	0.01599	0.00847	0.00784	0.01374	0.01707	0.0	0.0	0.0065	0.00964	0.01169	0.01107	0.01654	0.01942	0.01282	0.01232	0.01795	0.02075	0.02058	0.02041	0.02485	0.02706	0.00526	0.00483	0.0104	0.01475
club-moss_0.006_2x	0.00518	0.00491	0.00921	0.01316	0.00576	0.00556	0.00998	0.01364	0.00771	0.00729	0.01135	0.01469	0.0	0.0	0.00364	0.00685	0.01087	0.01045	0.01404	0.01693	0.01235	0.0119	0.01534	0.01827	0.02037	0.02005	0.0223	0.02456	0.00429	0.00419	0.00846	0.01262
club-moss_0.006_4x	0.01149	0.00931	0.00974	0.01228	0.01211	0.01	0.0102	0.01251	0.01385	0.01158	0.01128	0.01329	0.00634	0.00367	0.0	0.0	0.01659	0.01473	0.01336	0.01497	0.01794	0.01588	0.01455	0.01614	0.02577	0.02389	0.02059	0.02191	0.01031	0.00869	0.00923	0.01192
club-moss_0.006_8x	0.01512	0.01312	0.01274	0.01562	0.01595	0.01393	0.01293	0.01573	0.01748	0.01567	0.01382	0.01627	0.00985	0.00722	0.0	0.0	0.02039	0.01859	0.01568	0.0177	0.02177	0.01978	0.01683	0.01866	0.02976	0.02814	0.02273	0.02437	0.01393	0.01246	0.01247	0.01536
