sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.001_1x	0.0	0.0	0.00406	0.00822	0.00227	0.00103	0.00669	0.01069	0.00417	0.00294	0.00858	0.01201	0.00619	0.00485	0.01035	0.01355	0.00841	0.00688	0.01224	0.01509	0.01032	0.00882	0.01392	0.01631	0.01933	0.01815	0.02218	0.02413	0.0	0.0	0.00464	0.00922
moss_0.001_2x	0.0	0.0	0.00147	0.00565	0.00127	0.0	0.004	0.00806	0.00345	0.00223	0.00573	0.00923	0.0053	0.00395	0.00743	0.01064	0.00734	0.00608	0.00907	0.01203	0.0096	0.008	0.01055	0.01329	0.01872	0.01759	0.01874	0.02108	0.0	0.0	0.00237	0.00677
moss_0.001_4x	0.00422	0.00154	0.0	0.00381	0.00718	0.00416	0.0044	0.00722	0.0091	0.00619	0.00567	0.0081	0.01092	0.00805	0.00688	0.00935	0.01287	0.00994	0.00821	0.01051	0.015	0.01195	0.00952	0.01162	0.02394	0.02132	0.01721	0.01857	0.00533	0.00244	0.00324	0.00632
moss_0.001_8x	0.00914	0.00635	0.00408	0.0	0.01234	0.00904	0.00765	0.01072	0.01419	0.01131	0.00867	0.01131	0.01599	0.01301	0.00973	0.01225	0.01792	0.01511	0.01099	0.01326	0.01993	0.01665	0.012	0.01414	0.02895	0.02599	0.01892	0.021	0.01047	0.00745	0.00691	0.01015
moss_0.002_1x	0.00227	0.00128	0.00695	0.01116	0.0	0.0	0.00457	0.00873	0.00554	0.00436	0.00976	0.01313	0.00723	0.0059	0.01158	0.01462	0.00922	0.00782	0.01338	0.01614	0.01107	0.00978	0.01498	0.01744	0.02001	0.01894	0.02341	0.02524	0.00136	0.0	0.00595	0.0105
moss_0.002_2x	0.00102	0.0	0.00397	0.00807	0.0	0.0	0.00147	0.00555	0.00432	0.00321	0.00651	0.01006	0.00628	0.0048	0.00806	0.01137	0.00836	0.00697	0.00979	0.01282	0.01032	0.00867	0.01132	0.01413	0.01946	0.01832	0.01941	0.0217	0.0	0.0	0.0032	0.0075
moss_0.002_4x	0.00689	0.00417	0.00439	0.00714	0.00474	0.00154	0.0	0.00197	0.01004	0.00712	0.00621	0.00844	0.01175	0.00889	0.00747	0.00963	0.01384	0.01083	0.00875	0.0109	0.0159	0.0127	0.01001	0.01197	0.02458	0.02196	0.01754	0.01881	0.00625	0.00333	0.00392	0.00676
moss_0.002_8x	0.01179	0.009	0.00769	0.0107	0.0097	0.00624	0.00211	0.0	0.01494	0.01213	0.00904	0.01147	0.01669	0.01378	0.01025	0.01248	0.01863	0.01576	0.01123	0.01358	0.0207	0.01731	0.01245	0.01441	0.02956	0.02655	0.01926	0.02121	0.01135	0.00822	0.00738	0.01035
moss_0.004_1x	0.00414	0.00346	0.0088	0.01283	0.00552	0.00435	0.00975	0.01356	0.0	0.0	0.00496	0.00831	0.00937	0.00797	0.01335	0.01633	0.01106	0.0098	0.015	0.01778	0.01297	0.01172	0.01674	0.01922	0.02151	0.02082	0.02489	0.02659	0.00348	0.00243	0.00782	0.01216
moss_0.004_2x	0.00289	0.00221	0.0059	0.01009	0.0043	0.0032	0.00681	0.01086	0.0	0.0	0.00173	0.00526	0.00817	0.00669	0.0101	0.01325	0.01002	0.00878	0.01173	0.01463	0.01221	0.01067	0.01315	0.01587	0.02077	0.01977	0.02115	0.02338	0.00236	0.0012	0.00502	0.00945
moss_0.004_4x	0.00877	0.00593	0.00564	0.00807	0.00998	0.00676	0.00619	0.00843	0.00513	0.00181	0.0	0.0	0.0136	0.01053	0.00846	0.0104	0.01546	0.01246	0.00979	0.01151	0.01755	0.01431	0.01097	0.01265	0.02637	0.0233	0.01826	0.01947	0.00818	0.00506	0.0051	0.00769
moss_0.004_8x	0.01315	0.01024	0.00861	0.01126	0.01438	0.01117	0.00898	0.01144	0.00925	0.00593	0.0	0.0	0.018	0.01485	0.011	0.01296	0.02001	0.01691	0.01205	0.0141	0.02199	0.01832	0.01312	0.01518	0.03044	0.02759	0.01985	0.02168	0.01254	0.00949	0.00823	0.01105
moss_0.006_1x	0.00614	0.00532	0.01057	0.01449	0.00719	0.00632	0.01142	0.01518	0.00935	0.00827	0.01331	0.01647	0.0	0.0	0.0052	0.00846	0.01294	0.01189	0.01683	0.01943	0.0148	0.01359	0.01843	0.02082	0.02291	0.02216	0.02638	0.02827	0.00543	0.00405	0.00955	0.01392
moss_0.006_2x	0.00476	0.00391	0.00767	0.01161	0.00579	0.00477	0.0085	0.01234	0.00784	0.00667	0.01013	0.01337	0.0	0.0	0.00165	0.00507	0.01163	0.01055	0.01336	0.01621	0.01356	0.01239	0.0148	0.01745	0.02224	0.02151	0.02271	0.02497	0.00384	0.00281	0.0069	0.01105
moss_0.006_4x	0.01051	0.00766	0.00682	0.00903	0.01176	0.00832	0.00741	0.00954	0.01358	0.01044	0.00844	0.01027	0.00537	0.00173	0.0	0.0	0.0171	0.01405	0.0108	0.01237	0.0192	0.01569	0.01199	0.01338	0.02777	0.02461	0.01903	0.02008	0.01001	0.00668	0.00637	0.00872
moss_0.006_8x	0.01475	0.01174	0.0099	0.01218	0.01592	0.01257	0.01022	0.01242	0.01778	0.01465	0.01107	0.01294	0.0094	0.00572	0.0	0.0	0.02147	0.01828	0.01296	0.01495	0.02326	0.01969	0.01397	0.01583	0.03191	0.02906	0.02063	0.02239	0.01418	0.01094	0.00956	0.01187
moss_0.008_1x	0.00833	0.00737	0.01249	0.01629	0.00916	0.00842	0.01348	0.01699	0.01103	0.01014	0.01516	0.01836	0.01293	0.01182	0.01684	0.0198	0.0	0.0	0.00537	0.00813	0.01659	0.01555	0.02017	0.02254	0.02442	0.02396	0.02797	0.0298	0.00733	0.0066	0.01166	0.01556
moss_0.008_2x	0.00672	0.00602	0.00948	0.01351	0.00766	0.00691	0.01036	0.01412	0.00962	0.00874	0.01199	0.01524	0.01167	0.01053	0.01357	0.01654	0.0	0.0	0.00168	0.00473	0.01566	0.01414	0.01665	0.0192	0.02351	0.02296	0.02436	0.02638	0.00602	0.00506	0.00879	0.01279
moss_0.008_4x	0.01236	0.00931	0.00811	0.01018	0.01353	0.01007	0.00867	0.01043	0.01518	0.01208	0.00973	0.01123	0.01703	0.01377	0.01077	0.01211	0.00553	0.00176	0.0	0.0	0.02084	0.01724	0.01319	0.01427	0.02891	0.02593	0.0199	0.02102	0.01169	0.00843	0.00776	0.00967
moss_0.008_8x	0.01633	0.01322	0.0111	0.01315	0.01748	0.0141	0.01153	0.01349	0.01926	0.01611	0.01222	0.01404	0.02102	0.01785	0.01317	0.01493	0.00902	0.00534	0.0	0.0	0.0247	0.021	0.01499	0.01688	0.03299	0.03016	0.02165	0.02325	0.01583	0.01251	0.0108	0.01292
moss_0.01_1x	0.01022	0.00966	0.0146	0.01818	0.011	0.01041	0.01552	0.01894	0.01294	0.01238	0.01723	0.02023	0.01478	0.01379	0.01894	0.02149	0.01658	0.01596	0.02064	0.02293	0.0	0.0	0.00548	0.00791	0.02617	0.02539	0.02965	0.03125	0.00951	0.00863	0.01362	0.01747
moss_0.01_2x	0.0086	0.00791	0.0114	0.0149	0.00955	0.0086	0.01215	0.01553	0.01147	0.01062	0.01377	0.01652	0.01331	0.01236	0.01516	0.01783	0.01524	0.01413	0.01672	0.01909	0.0	0.0	0.00146	0.00403	0.02522	0.02448	0.02556	0.02729	0.00792	0.00702	0.01059	0.01436
moss_0.01_4x	0.01401	0.0108	0.0094	0.01112	0.0151	0.01161	0.0099	0.01155	0.01689	0.01351	0.0109	0.01222	0.0186	0.01523	0.01195	0.01304	0.02034	0.01713	0.01317	0.01404	0.00563	0.00153	0.0	0.0	0.03034	0.0271	0.02085	0.02165	0.01339	0.01003	0.00909	0.01084
moss_0.01_8x	0.01758	0.01455	0.01224	0.01401	0.01881	0.01549	0.01264	0.0143	0.02073	0.01741	0.01341	0.0151	0.02243	0.01915	0.01421	0.01577	0.02424	0.02106	0.01519	0.01686	0.00877	0.00454	0.0	0.0	0.03414	0.03116	0.02258	0.02398	0.01706	0.01391	0.01193	0.01386
