sample	oyster_0.001_1x	oyster_0.001_2x	oyster_0.001_4x	oyster_0.001_8x	oyster_0.002_1x	oyster_0.002_2x	oyster_0.002_4x	oyster_0.002_8x	oyster_0.004_1x	oyster_0.004_2x	oyster_0.004_4x	oyster_0.004_8x	oyster_0.006_1x	oyster_0.006_2x	oyster_0.006_4x	oyster_0.006_8x	oyster_0.008_1x	oyster_0.008_2x	oyster_0.008_4x	oyster_0.008_8x	oyster_0.01_1x	oyster_0.01_2x	oyster_0.01_4x	oyster_0.01_8x	oyster_0.02_1x	oyster_0.02_2x	oyster_0.02_4x	oyster_0.02_8x	oyster_0.0_1x	oyster_0.0_2x	oyster_0.0_4x	oyster_0.0_8x
oyster_0.001_1x	0.0	0.0	0.0	0.0	0.00289	0.00275	0.0024	0.0	0.00477	0.00484	0.00426	0.0	0.00653	0.00654	0.00598	0.0	0.00895	0.00859	0.00807	0.0	0.01022	0.01018	0.00962	0.0	0.01951	0.01947	0.01876	0.00643	0.00105	0.00065	0.00055	0.0
oyster_0.001_2x	0.0	0.0	0.0	0.0	0.00282	0.00246	0.00215	0.0	0.0047	0.00458	0.00402	0.0	0.00671	0.00646	0.00591	0.0	0.00883	0.00836	0.00794	0.0	0.01036	0.01007	0.00955	0.0	0.01981	0.01949	0.01887	0.0085	0.00077	0.00036	0.0	0.0
oyster_0.001_4x	0.0	0.0	0.0	0.0	0.00275	0.00228	0.00197	0.0	0.00456	0.00439	0.00389	0.0	0.00679	0.00631	0.00574	0.0	0.00871	0.00817	0.00772	0.0	0.01048	0.01008	0.00951	0.00053	0.0197	0.01941	0.01869	0.01011	0.00072	0.0	0.0	0.0
oyster_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.00804	0.0099	0.01106	0.00229	0.0	0.0	0.0	0.0
oyster_0.002_1x	0.00289	0.00288	0.00281	0.0	0.0	0.0	0.0	0.0	0.00588	0.00607	0.00571	0.0	0.00786	0.00777	0.0073	0.0	0.00998	0.0097	0.00918	0.0	0.0114	0.01145	0.01101	0.0	0.02047	0.02056	0.01993	0.0077	0.00222	0.00198	0.00185	0.0
oyster_0.002_2x	0.00269	0.00245	0.00228	0.0	0.0	0.0	0.0	0.0	0.00573	0.00565	0.00511	0.0	0.00798	0.0075	0.00689	0.0	0.00994	0.00941	0.00887	0.0	0.01147	0.01113	0.0107	0.0	0.02061	0.02032	0.01977	0.00941	0.00194	0.00157	0.00129	0.0
oyster_0.002_4x	0.00235	0.00214	0.00197	0.0	0.0	0.0	0.0	0.0	0.00549	0.0054	0.00487	0.0	0.00779	0.00726	0.00668	0.0	0.00974	0.0091	0.00863	0.0	0.01137	0.01091	0.01045	0.00153	0.02056	0.02041	0.01963	0.01105	0.00167	0.00124	0.00098	0.0
oyster_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00062	0.00193	0.0	0.00898	0.01078	0.01192	0.00319	0.0	0.0	0.0	0.0
oyster_0.004_1x	0.00477	0.00479	0.00465	0.0	0.00587	0.00585	0.0056	0.0	0.0	0.0	0.0	0.0	0.00965	0.0097	0.00925	0.0	0.01143	0.01136	0.01112	0.0	0.01329	0.01317	0.01273	0.0	0.02215	0.02231	0.02187	0.00969	0.00395	0.00389	0.00366	0.0
oyster_0.004_2x	0.00472	0.00456	0.00437	0.0	0.00592	0.00563	0.00539	0.0	0.0	0.0	0.0	0.0	0.00989	0.00962	0.00915	0.0	0.01162	0.0114	0.01106	0.0	0.01347	0.01326	0.01272	0.00213	0.02245	0.02227	0.02166	0.01147	0.00392	0.00362	0.00341	0.0
oyster_0.004_4x	0.00415	0.00399	0.00387	0.0	0.00557	0.00509	0.00485	0.0	0.0	0.0	0.0	0.0	0.00957	0.00922	0.00862	0.0	0.01134	0.01097	0.01053	0.00155	0.01321	0.01273	0.01217	0.00338	0.02217	0.02188	0.02116	0.01276	0.00351	0.00318	0.00293	0.0
oyster_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.00187	0.0	0.00081	0.00252	0.00377	0.0	0.01074	0.01247	0.01359	0.00501	0.0	0.0	0.0	0.0
