sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.001_1x_1	0.0	0.0204316	0.0202911	0.0140106	0.0277876	0.023484	0.0231736	0.0169261	0.0299221	0.0253823	0.0252147	0.0188754	0.0317717	0.0272142	0.0269964	0.0208012	0.0338102	0.0292686	0.0291944	0.0228605	0.0360658	0.0314947	0.0311854	0.0249698	0.0455767	0.0411591	0.040987	0.0350288	0.026105	0.0214414	0.0211823	0.0149185	
leech_0.001_2x_1	0.0204316	0.0	0.0129847	0.00754466	0.023219	0.0172832	0.0159537	0.0105357	0.0254729	0.0192487	0.0180642	0.0125861	0.0273189	0.0210057	0.0198295	0.0144701	0.0291397	0.0231479	0.021991	0.0165623	0.0314766	0.0253358	0.0240257	0.0185491	0.0411147	0.0350024	0.0337178	0.0285132	0.0215094	0.0152757	0.0139584	0.00853405	
leech_0.001_4x_1	0.0202911	0.0129847	0.0	0.00610705	0.0231237	0.0160028	0.0139053	0.00909608	0.0251478	0.0180199	0.0159174	0.0110692	0.0269334	0.0197863	0.0177415	0.0129856	0.0289994	0.0218668	0.0198982	0.0150993	0.0311599	0.0239405	0.0217962	0.0170258	0.0408751	0.0337927	0.0317614	0.0270403	0.021209	0.0139615	0.0118829	0.0071029	
leech_0.001_8x_1	0.0140106	0.00754466	0.00610705	0.0	0.0169418	0.010598	0.00907519	0.00376724	0.0190219	0.0126283	0.0111835	0.00578097	0.0208978	0.0144047	0.0129771	0.00773798	0.022856	0.0164757	0.0151573	0.0098072	0.0250844	0.0185509	0.0170814	0.0117835	0.0347493	0.0284788	0.0270367	0.0218859	0.0150053	0.0085612	0.0070554	0.00173713	
leech_0.002_1x_1	0.0277876	0.023219	0.0231237	0.0169418	0.0	0.0204973	0.0201834	0.0139774	0.0310159	0.0264914	0.0261779	0.0200152	0.0329327	0.0281855	0.027989	0.0218675	0.0349971	0.0305214	0.0303826	0.0240676	0.0369296	0.0321415	0.0319922	0.0257448	0.0468576	0.0423188	0.0421081	0.0360796	0.0269717	0.0224194	0.0220388	0.0159613	
leech_0.002_2x_1	0.023484	0.0172832	0.0160028	0.010598	0.0204973	0.0	0.013061	0.00763425	0.0265084	0.0204513	0.019098	0.0136112	0.0284945	0.0221871	0.0209908	0.0155736	0.0303601	0.0243282	0.0231721	0.01775	0.0324575	0.0261796	0.0249954	0.0194735	0.0420352	0.0360865	0.0348447	0.029566	0.0225458	0.0162855	0.0149913	0.00963444	
leech_0.002_4x_1	0.0231736	0.0159537	0.0139053	0.00907519	0.0201834	0.013061	0.0	0.00610545	0.0261007	0.0190724	0.0169613	0.0120941	0.0281342	0.0208743	0.0188718	0.0140257	0.0299852	0.0229493	0.0209443	0.0161733	0.0321137	0.0249011	0.0228107	0.0179866	0.0418445	0.034867	0.0329098	0.0281304	0.022167	0.0149267	0.0129216	0.00812253	
leech_0.002_8x_1	0.0169261	0.0105357	0.00909608	0.00376724	0.0139774	0.00763425	0.00610545	0.0	0.0199774	0.0136045	0.0121549	0.0067947	0.0219953	0.015451	0.0140257	0.00875696	0.0238158	0.0175882	0.0162127	0.0108489	0.0260674	0.0195521	0.0181168	0.0127542	0.0357612	0.0295289	0.0280976	0.0229269	0.015988	0.00958495	0.00806712	0.00279761	
leech_0.004_1x_1	0.0299221	0.0254729	0.0251478	0.0190219	0.0310159	0.0265084	0.0261007	0.0199774	0.0	0.0205646	0.0202794	0.0140444	0.0347558	0.030131	0.0299379	0.0238104	0.0367796	0.0323118	0.0320812	0.0259029	0.0389298	0.0344178	0.0341012	0.0279497	0.0483814	0.044048	0.0436625	0.0377863	0.0289632	0.0244691	0.0241915	0.0179883	
leech_0.004_2x_1	0.0253823	0.0192487	0.0180199	0.0126283	0.0264914	0.0204513	0.0190724	0.0136045	0.0205646	0.0	0.0130843	0.00763904	0.03046	0.0241152	0.0228948	0.0174997	0.0321764	0.02617	0.0250944	0.0196594	0.034548	0.0281971	0.0269306	0.0215226	0.0441521	0.0380164	0.0368338	0.031567	0.0244554	0.0182805	0.0170356	0.0116453	
leech_0.004_4x_1	0.0252147	0.0180642	0.0159174	0.0111835	0.0261779	0.019098	0.0169613	0.0121549	0.0202794	0.0130843	0.0	0.00614784	0.0301628	0.0228166	0.0207012	0.0160274	0.0319991	0.0249342	0.0228464	0.0181729	0.034222	0.0269407	0.0247974	0.0200994	0.043803	0.0367327	0.0347467	0.030039	0.0242642	0.0170405	0.0149599	0.0101781	
leech_0.004_8x_1	0.0188754	0.0125861	0.0110692	0.00578097	0.0200152	0.0136112	0.0120941	0.0067947	0.0140444	0.00763904	0.00614784	0.0	0.0239965	0.0173651	0.0159506	0.0107422	0.0257628	0.019514	0.0181428	0.0128341	0.0280793	0.0215566	0.0200505	0.0147539	0.0377106	0.0314102	0.0299936	0.0248237	0.0179906	0.0115732	0.0101019	0.00480146	
leech_0.006_1x_1	0.0317717	0.0273189	0.0269334	0.0208978	0.0329327	0.0284945	0.0281342	0.0219953	0.0347558	0.03046	0.0301628	0.0239965	0.0	0.0203831	0.0203498	0.014129	0.0386198	0.0343088	0.033995	0.027878	0.0410891	0.0363129	0.0360658	0.0300601	0.0502203	0.0459122	0.0457841	0.0397436	0.0307929	0.0264905	0.0260893	0.0199473	
leech_0.006_2x_1	0.0272142	0.0210057	0.0197863	0.0144047	0.0281855	0.0221871	0.0208743	0.015451	0.030131	0.0241152	0.0228166	0.0173651	0.0203831	0.0	0.0128752	0.0074823	0.0341876	0.0280014	0.0268315	0.0214145	0.0365529	0.0300833	0.0288511	0.0233339	0.0458687	0.0398244	0.0385845	0.033358	0.0262827	0.0200332	0.018835	0.013466	
leech_0.006_4x_1	0.0269964	0.0198295	0.0177415	0.0129771	0.027989	0.0209908	0.0188718	0.0140257	0.0299379	0.0228948	0.0207012	0.0159506	0.0203498	0.0128752	0.0	0.00603837	0.0338178	0.0267049	0.0246607	0.0199857	0.0361627	0.0288182	0.0267076	0.0220017	0.0456997	0.0386584	0.0365881	0.0319449	0.0261427	0.0187672	0.0167802	0.0120139	
leech_0.006_8x_1	0.0208012	0.0144701	0.0129856	0.00773798	0.0218675	0.0155736	0.0140257	0.00875696	0.0238104	0.0174997	0.0160274	0.0107422	0.014129	0.0074823	0.00603837	0.0	0.027742	0.0213331	0.0200075	0.0147177	0.0301427	0.0235163	0.0220517	0.0167069	0.0395796	0.0333494	0.0318874	0.0268043	0.0199819	0.013489	0.0120119	0.00676738	
leech_0.008_1x_1	0.0338102	0.0291397	0.0289994	0.022856	0.0349971	0.0303601	0.0299852	0.0238158	0.0367796	0.0321764	0.0319991	0.0257628	0.0386198	0.0341876	0.0338178	0.027742	0.0	0.0203133	0.0202022	0.0139711	0.042797	0.0382395	0.0379579	0.0318014	0.0523231	0.047929	0.0476725	0.0418322	0.0329628	0.0282184	0.0280129	0.0218803	
leech_0.008_2x_1	0.0292686	0.0231479	0.0218668	0.0164757	0.0305214	0.0243282	0.0229493	0.0175882	0.0323118	0.02617	0.0249342	0.019514	0.0343088	0.0280014	0.0267049	0.0213331	0.0203133	0.0	0.0130254	0.00756104	0.0382577	0.0321369	0.0308148	0.0254254	0.0478417	0.0418146	0.0406395	0.0354526	0.0284122	0.0222073	0.0209787	0.0156066	
leech_0.008_4x_1	0.0291944	0.021991	0.0198982	0.0151573	0.0303826	0.0231721	0.0209443	0.0162127	0.0320812	0.0250944	0.0228464	0.0181428	0.033995	0.0268315	0.0246607	0.0200075	0.0202022	0.0130254	0.0	0.00616479	0.0381896	0.0309123	0.0287544	0.0240629	0.0477391	0.0406764	0.0387325	0.0340936	0.0283741	0.0209658	0.0189339	0.0142506	
leech_0.008_8x_1	0.0228605	0.0165623	0.0150993	0.0098072	0.0240676	0.01775	0.0161733	0.0108489	0.0259029	0.0196594	0.0181729	0.0128341	0.027878	0.0214145	0.0199857	0.0147177	0.0139711	0.00756104	0.00616479	0.0	0.0320534	0.0255879	0.0240882	0.0187756	0.0416307	0.035368	0.0340177	0.0289021	0.0220667	0.0155481	0.0141446	0.00887838	
