sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	
rotifer_0.001_1x_1	0.0	0.019466	0.0199377	0.0138791	0.0275402	0.0234027	0.0233362	0.0169315	0.029596	0.0252399	0.0253806	0.0188754	0.0312133	0.0273487	0.0271368	0.0208568	0.0334342	0.029162	0.0292503	0.0229815	0.0352184	0.0312813	0.0311966	0.0248871	0.045139	0.0410142	0.0410567	0.0348172	0.0255973	0.0214082	0.0214165	0.0149498	
rotifer_0.001_2x_1	0.019466	0.0	0.0126676	0.00762556	0.0232897	0.0173961	0.01626	0.010713	0.0253434	0.0193011	0.0183284	0.0126945	0.0273682	0.0213689	0.0201497	0.014649	0.0289843	0.0232433	0.0221735	0.0166504	0.0310291	0.0251921	0.0242107	0.018662	0.0408734	0.0352677	0.0342896	0.0287375	0.021449	0.0154803	0.0142506	0.00866294	
rotifer_0.001_4x_1	0.0199377	0.0126676	0.0	0.00632232	0.0233034	0.0162543	0.0142968	0.00936026	0.0253232	0.0182922	0.0163911	0.0114222	0.0272041	0.020243	0.0182165	0.0133047	0.0289612	0.022213	0.0202398	0.0154307	0.0310889	0.024139	0.0221828	0.0173031	0.0407941	0.0341253	0.032306	0.027454	0.0213393	0.0143191	0.0123612	0.00737103	
rotifer_0.001_8x_1	0.0138791	0.00762556	0.00632232	0.0	0.0168667	0.0106672	0.00938731	0.00386909	0.0188314	0.0126827	0.0114726	0.00592556	0.0207999	0.0147458	0.0133335	0.00788298	0.0227469	0.0166909	0.0154868	0.0100127	0.0246762	0.0186304	0.0173756	0.0119152	0.0346504	0.0287425	0.0275674	0.0221713	0.0149628	0.00870874	0.00736309	0.00182057	
rotifer_0.002_1x_1	0.0275402	0.0232897	0.0233034	0.0168667	0.0	0.019519	0.0199742	0.0138954	0.0305365	0.0262518	0.0263686	0.0199684	0.0323247	0.028377	0.0282854	0.0218937	0.034459	0.0301501	0.0300495	0.0238832	0.0362809	0.0321021	0.0320488	0.0257499	0.046091	0.0420601	0.0421472	0.0359886	0.0266293	0.0222556	0.0223925	0.0159358	
rotifer_0.002_2x_1	0.0234027	0.0173961	0.0162543	0.0106672	0.019519	0.0	0.0126743	0.00762586	0.0262324	0.0203524	0.0193636	0.01372	0.0281787	0.0223606	0.0212281	0.0156422	0.0300253	0.0242234	0.023163	0.0176703	0.0320766	0.0262131	0.0251277	0.0195972	0.0417461	0.0363032	0.0353011	0.0298331	0.0224296	0.0163309	0.015287	0.0096827	
rotifer_0.002_4x_1	0.0233362	0.01626	0.0142968	0.00938731	0.0199742	0.0126743	0.0	0.00629213	0.0263518	0.0193067	0.0173656	0.012447	0.0281497	0.0212713	0.0192494	0.0143637	0.0300115	0.0231713	0.0212507	0.016481	0.0319783	0.0250112	0.0230867	0.0182864	0.0417286	0.0350552	0.0331857	0.0284005	0.0223272	0.0153102	0.013327	0.00837439	
rotifer_0.002_8x_1	0.0169315	0.010713	0.00936026	0.00386909	0.0138954	0.00762586	0.00629213	0.0	0.0198346	0.0137352	0.0124921	0.00695321	0.0217892	0.0157651	0.0143977	0.0089098	0.0236601	0.0176912	0.0164525	0.0109921	0.025611	0.0195872	0.0183724	0.0129054	0.0355577	0.0297465	0.0285044	0.0231244	0.0159062	0.00968201	0.00835609	0.00286631	
rotifer_0.004_1x_1	0.029596	0.0253434	0.0253232	0.0188314	0.0305365	0.0262324	0.0263518	0.0198346	0.0	0.0192352	0.0198574	0.0138232	0.0342807	0.0300992	0.0302405	0.0237698	0.0360824	0.0320696	0.0321892	0.0257913	0.0379968	0.0341444	0.0341634	0.0277288	0.0475728	0.0438793	0.0439539	0.037767	0.0286533	0.024309	0.024285	0.0177863	
rotifer_0.004_2x_1	0.0252399	0.0193011	0.0182922	0.0126827	0.0262518	0.0203524	0.0193067	0.0137352	0.0192352	0.0	0.0126702	0.00757267	0.0301066	0.0243106	0.023129	0.017605	0.0319887	0.0263402	0.0252718	0.0197452	0.0339471	0.0281932	0.0271755	0.0216739	0.0438259	0.0381066	0.0371297	0.0316964	0.0244167	0.0183888	0.0172865	0.0116811	
rotifer_0.004_4x_1	0.0253806	0.0183284	0.0163911	0.0114726	0.0263686	0.0193636	0.0173656	0.0124921	0.0198574	0.0126702	0.0	0.00629213	0.0302874	0.023254	0.0211933	0.0163801	0.0319426	0.0251955	0.0232722	0.0184706	0.0340936	0.0271662	0.0252307	0.0204165	0.0437611	0.0370417	0.0352038	0.030403	0.0244207	0.0174139	0.01532	0.0104613	
rotifer_0.004_8x_1	0.0188754	0.0126945	0.0114222	0.00592556	0.0199684	0.01372	0.012447	0.00695321	0.0138232	0.00757267	0.00629213	0.0	0.0237698	0.0177335	0.016378	0.0109305	0.0257164	0.0197206	0.0184912	0.0130293	0.0276985	0.0217209	0.0204336	0.0149667	0.0375497	0.0317694	0.0305863	0.0251997	0.0180084	0.011791	0.0104207	0.00490764	
rotifer_0.006_1x_1	0.0312133	0.0273682	0.0272041	0.0207999	0.0323247	0.0281787	0.0281497	0.0217892	0.0342807	0.0301066	0.0302874	0.0237698	0.0	0.0194449	0.0199377	0.0139148	0.0380103	0.0340139	0.0342322	0.0278513	0.0399869	0.0357381	0.0359872	0.0296633	0.0498338	0.0458006	0.0461934	0.0398147	0.0304858	0.0263048	0.0261884	0.0197863	
rotifer_0.006_2x_1	0.0273487	0.0213689	0.020243	0.0147458	0.028377	0.0223606	0.0212713	0.0157651	0.0300992	0.0243106	0.023254	0.0177335	0.0194449	0.0	0.0127004	0.00765733	0.0338742	0.0281758	0.0270724	0.0217111	0.0359859	0.0302213	0.0290367	0.0235796	0.0456054	0.0399967	0.0389282	0.0334859	0.0263792	0.0203113	0.0192734	0.0137276	
rotifer_0.006_4x_1	0.0271368	0.0201497	0.0182165	0.0133335	0.0282854	0.0212281	0.0192494	0.0143977	0.0302405	0.023129	0.0211933	0.016378	0.0199377	0.0127004	0.0	0.00628127	0.0337577	0.0270238	0.0250328	0.0202632	0.0358445	0.0288731	0.0269845	0.0221843	0.0457264	0.0388799	0.0369841	0.0322522	0.0262139	0.0192063	0.0172413	0.0123514	
rotifer_0.006_8x_1	0.0208568	0.014649	0.0133047	0.00788298	0.0218937	0.0156422	0.0143637	0.0089098	0.0237698	0.017605	0.0163801	0.0109305	0.0139148	0.00765733	0.00628127	0.0	0.0275355	0.0216047	0.020282	0.0149007	0.0295237	0.0235179	0.0222578	0.0168479	0.0393721	0.0335477	0.0323259	0.0269881	0.0198632	0.0136695	0.0123279	0.0068546	
rotifer_0.008_1x_1	0.0334342	0.0289843	0.0289612	0.0227469	0.034459	0.0300253	0.0300115	0.0236601	0.0360824	0.0319887	0.0319426	0.0257164	0.0380103	0.0338742	0.0337577	0.0275355	0.0	0.019544	0.0198975	0.013909	0.0417865	0.0375482	0.0377418	0.0314597	0.0510996	0.0474448	0.0476591	0.0415003	0.0322697	0.0282398	0.0280264	0.0217181	
rotifer_0.008_2x_1	0.029162	0.0232433	0.022213	0.0166909	0.0301501	0.0242234	0.0231713	0.0176912	0.0320696	0.0263402	0.0251955	0.0197206	0.0340139	0.0281758	0.0270238	0.0216047	0.019544	0.0	0.0126191	0.00763574	0.0378861	0.0320685	0.0310346	0.0255546	0.0474426	0.0418093	0.0408514	0.0355145	0.0282767	0.0223635	0.0212624	0.0157055	
rotifer_0.008_4x_1	0.0292503	0.0221735	0.0202398	0.0154868	0.0300495	0.023163	0.0212507	0.0164525	0.0321892	0.0252718	0.0232722	0.0184912	0.0342322	0.0270724	0.0250328	0.020282	0.0198975	0.0126191	0.0	0.00620251	0.0379729	0.0309618	0.0291154	0.0242442	0.0475927	0.0406546	0.0389376	0.0341647	0.0284367	0.021331	0.0192728	0.0144645	
rotifer_0.008_8x_1	0.0229815	0.0166504	0.0154307	0.0100127	0.0238832	0.0176703	0.016481	0.0109921	0.0257913	0.0197452	0.0184706	0.0130293	0.0278513	0.0217111	0.0202632	0.0149007	0.013909	0.00763574	0.00620251	0.0	0.0315772	0.0255666	0.0243146	0.0188941	0.0415228	0.0354445	0.0343613	0.0290689	0.0220595	0.015761	0.0144565	0.00897744	
rotifer_0.01_1x_1	0.0352184	0.0310291	0.0310889	0.0246762	0.0362809	0.0320766	0.0319783	0.025611	0.0379968	0.0339471	0.0340936	0.0276985	0.0399869	0.0359859	0.0358445	0.0295237	0.0417865	0.0378861	0.0379729	0.0315772	0.0	0.0196431	0.0200454	0.0140052	0.053263	0.0495529	0.0495458	0.0434907	0.0343037	0.0300622	0.0300073	0.0236361	
rotifer_0.01_2x_1	0.0312813	0.0251921	0.024139	0.0186304	0.0321021	0.0262131	0.0250112	0.0195872	0.0341444	0.0281932	0.0271662	0.0217209	0.0357381	0.0302213	0.0288731	0.0235179	0.0375482	0.0320685	0.0309618	0.0255666	0.0196431	0.0	0.0126412	0.00761628	0.0495243	0.0438621	0.0428464	0.0375791	0.0300886	0.0241422	0.023129	0.0176028	
rotifer_0.01_4x_1	0.0311966	0.0242107	0.0221828	0.0173756	0.0320488	0.0251277	0.0230867	0.0183724	0.0341634	0.0271755	0.0252307	0.0204336	0.0359872	0.0290367	0.0269845	0.0222578	0.0377418	0.0310346	0.0291154	0.0243146	0.0200454	0.0126412	0.0	0.00616882	0.0493532	0.0426802	0.0409022	0.0362127	0.0302575	0.0232312	0.0212001	0.0163806	
rotifer_0.01_8x_1	0.0248871	0.018662	0.0173031	0.0119152	0.0257499	0.0195972	0.0182864	0.0129054	0.0277288	0.0216739	0.0204165	0.0149667	0.0296633	0.0235796	0.0221843	0.0168479	0.0314597	0.0255546	0.0242442	0.0188941	0.0140052	0.00761628	0.00616882	0.0	0.0432828	0.0374293	0.0362029	0.0309718	0.0238589	0.0175977	0.0162928	0.0108915	
rotifer_0.02_1x_1	0.045139	0.0408734	0.0407941	0.0346504	0.046091	0.0417461	0.0417286	0.0355577	0.0475728	0.0438259	0.0437611	0.0375497	0.0498338	0.0456054	0.0457264	0.0393721	0.0510996	0.0474426	0.0475927	0.0415228	0.053263	0.0495243	0.0493532	0.0432828	0.0	0.0196004	0.0199384	0.0140805	0.0440365	0.0398131	0.0398617	0.0336096	
rotifer_0.02_2x_1	0.0410142	0.0352677	0.0341253	0.0287425	0.0420601	0.0363032	0.0350552	0.0297465	0.0438793	0.0381066	0.0370417	0.0317694	0.0458006	0.0399967	0.0388799	0.0335477	0.0474448	0.0418093	0.0406546	0.0354445	0.0495529	0.0438621	0.0426802	0.0374293	0.0196004	0.0	0.012539	0.00759595	0.0403102	0.0342858	0.0332417	0.0277847	
rotifer_0.02_4x_1	0.0410567	0.0342896	0.032306	0.0275674	0.0421472	0.0353011	0.0331857	0.0285044	0.0439539	0.0371297	0.0352038	0.0305863	0.0461934	0.0389282	0.0369841	0.0323259	0.0476591	0.0408514	0.0389376	0.0343613	0.0495458	0.0428464	0.0409022	0.0362029	0.0199384	0.012539	0.0	0.00609206	0.0403052	0.0332625	0.0313832	0.0266374	
rotifer_0.02_8x_1	0.0348172	0.0287375	0.027454	0.0221713	0.0359886	0.0298331	0.0284005	0.0231244	0.037767	0.0316964	0.030403	0.0251997	0.0398147	0.0334859	0.0322522	0.0269881	0.0415003	0.0355145	0.0341647	0.0290689	0.0434907	0.0375791	0.0362127	0.0309718	0.0140805	0.00759595	0.00609206	0.0	0.0340417	0.0277345	0.026545	0.0212309	
