sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.001_1x_1	0.0	0.0177483	0.0193246	0.0121318	0.0234556	0.0209146	0.0223809	0.0149758	0.0252106	0.022721	0.0241199	0.0169645	0.0271451	0.0246436	0.026077	0.0189897	0.0289121	0.0263668	0.0277866	0.0207605	0.0306123	0.0282514	0.0296478	0.0227321	0.039839	0.0373577	0.0384985	0.0319392	0.0215212	0.0189394	0.0203746	0.0129668	
club-moss_0.001_2x_1	0.0177483	0.0	0.0135681	0.00749208	0.0208488	0.0165284	0.0168818	0.0104646	0.0226023	0.0184688	0.0185776	0.0123987	0.0244497	0.0203139	0.0205243	0.0143683	0.026258	0.0220659	0.0223954	0.0163058	0.0280543	0.0239555	0.024182	0.0181677	0.0372616	0.0328414	0.033131	0.0272244	0.0188814	0.014751	0.0149089	0.00854043	
club-moss_0.001_4x_1	0.0193246	0.0135681	0.0	0.00750632	0.0222203	0.0167716	0.0161588	0.0105591	0.0238127	0.0185651	0.0178044	0.0124045	0.0256872	0.0203969	0.0196922	0.0142866	0.0275505	0.0221857	0.0216201	0.0162184	0.0291873	0.0239476	0.0233438	0.0179797	0.0384389	0.0328966	0.0320986	0.0270193	0.0203204	0.0149233	0.0142205	0.008661	
club-moss_0.001_8x_1	0.0121318	0.00749208	0.00750632	0.0	0.0149836	0.0104948	0.0106937	0.00409	0.0166914	0.0124078	0.0125	0.00608965	0.0186477	0.0143302	0.0145001	0.00814022	0.020475	0.0162361	0.0164115	0.0101207	0.0223265	0.0181683	0.0183847	0.0120982	0.0317363	0.0273496	0.0274858	0.021565	0.0129813	0.0085165	0.00866004	0.00203775	
club-moss_0.002_1x_1	0.0234556	0.0208488	0.0222203	0.0149836	0.0	0.0177494	0.0193958	0.0122147	0.0261471	0.0236554	0.0249855	0.0178853	0.0278809	0.0254085	0.0268215	0.0197946	0.0299631	0.0274475	0.0286741	0.0217301	0.0314935	0.0290932	0.0305776	0.0236337	0.0409411	0.0382395	0.0393737	0.0327779	0.0225443	0.0197762	0.0212706	0.0138981	
club-moss_0.002_2x_1	0.0209146	0.0165284	0.0167716	0.0104948	0.0177494	0.0	0.0136427	0.00750276	0.023324	0.019295	0.0194523	0.0132703	0.0252517	0.0211926	0.0213979	0.0152679	0.0271441	0.0230626	0.0232168	0.0171535	0.0289442	0.0248986	0.0250137	0.0191029	0.038176	0.0336693	0.0338265	0.0280571	0.0198797	0.0155826	0.0158375	0.00948376	
club-moss_0.002_4x_1	0.0223809	0.0168818	0.0161588	0.0106937	0.0193958	0.0136427	0.0	0.00750899	0.02485	0.0195778	0.0187618	0.0134344	0.0267663	0.0213022	0.0206394	0.0153447	0.0285871	0.0232251	0.022595	0.0172639	0.030233	0.024935	0.024265	0.0190006	0.0393563	0.0337727	0.0329291	0.0279458	0.0214041	0.0160192	0.0152286	0.0097554	
club-moss_0.002_8x_1	0.0149758	0.0104646	0.0105591	0.00409	0.0122147	0.00750276	0.00750899	0.0	0.0176517	0.0133419	0.0133953	0.00705138	0.0195697	0.0151993	0.0153644	0.00907188	0.0214297	0.0171776	0.0172998	0.0110518	0.0232532	0.0190821	0.0192229	0.0130409	0.032578	0.0282058	0.028232	0.0223947	0.0139588	0.00947286	0.00959456	0.00304654	
club-moss_0.004_1x_1	0.0252106	0.0226023	0.0238127	0.0166914	0.0261471	0.023324	0.02485	0.0176517	0.0	0.0179694	0.0193741	0.0123773	0.0297631	0.027205	0.0284514	0.0215372	0.0314654	0.0287276	0.0300759	0.0232243	0.0333617	0.0307863	0.0321056	0.0252912	0.0424429	0.0395988	0.0408531	0.0342207	0.0242754	0.0214733	0.0228941	0.0156738	
club-moss_0.004_2x_1	0.022721	0.0184688	0.0185651	0.0124078	0.0236554	0.019295	0.0195778	0.0133419	0.0179694	0.0	0.0134956	0.00755002	0.0271515	0.0230664	0.0231804	0.0171667	0.0288521	0.0246477	0.0249499	0.0189866	0.0306188	0.0266158	0.0267004	0.0208844	0.0399007	0.0353318	0.0353908	0.0298049	0.0217322	0.0175321	0.0176331	0.0114207	
