sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.001_1x_1	0.0	0.0194959	0.0200634	0.013415	0.0266383	0.0228322	0.0231577	0.0164021	0.0283185	0.0246656	0.0249524	0.0183197	0.0302639	0.0265128	0.0270385	0.0204034	0.0321985	0.0285575	0.0288461	0.0223526	0.0342181	0.0306893	0.030974	0.0245339	0.0441289	0.0404959	0.0405359	0.0342551	0.0246151	0.0207932	0.0211278	0.0143921	
nematode_0.001_2x_1	0.0194959	0.0	0.0134563	0.00774009	0.0228166	0.0174757	0.0167229	0.0108273	0.0246493	0.019402	0.0185598	0.0127563	0.0266015	0.0212939	0.0205329	0.0148049	0.0284455	0.0233118	0.0224778	0.0168506	0.0304858	0.0251804	0.0244175	0.018799	0.0402656	0.0350143	0.034062	0.0285496	0.0208213	0.0153644	0.0146253	0.00876247	
nematode_0.001_4x_1	0.0200634	0.0134563	0.0	0.00675866	0.0231872	0.0166148	0.0149561	0.00986651	0.0251378	0.0185249	0.0168242	0.0117542	0.0270211	0.0203465	0.0186829	0.0137477	0.0288231	0.0223424	0.0206281	0.0157141	0.0308345	0.0243242	0.0227225	0.0177551	0.0404593	0.0339861	0.0323822	0.0274634	0.0213655	0.0146494	0.0129565	0.00782547	
nematode_0.001_8x_1	0.013415	0.00774009	0.00675866	0.0	0.016501	0.0108087	0.00992537	0.00403532	0.0184282	0.0127745	0.0118073	0.00602079	0.0203923	0.0146097	0.0138092	0.00805354	0.0222816	0.0167288	0.0157292	0.0100859	0.024333	0.0187534	0.0178847	0.0121886	0.034185	0.028684	0.0276267	0.0221706	0.0145489	0.00875404	0.0077912	0.0019608	
nematode_0.002_1x_1	0.0266383	0.0228166	0.0231872	0.016501	0.0	0.0197661	0.0202047	0.0134951	0.0292239	0.0257491	0.0260578	0.0193834	0.0313014	0.0275703	0.0279851	0.0214006	0.0331079	0.0294209	0.0298655	0.0233408	0.0351015	0.0315545	0.0318656	0.0254729	0.0450507	0.0413188	0.0414448	0.0352344	0.0256829	0.0218583	0.0221526	0.015457	
nematode_0.002_2x_1	0.0228322	0.0174757	0.0166148	0.0108087	0.0197661	0.0	0.0133637	0.00770844	0.0257482	0.0203172	0.0194891	0.0137195	0.0276796	0.0222513	0.0213834	0.015758	0.0295083	0.0242226	0.0232395	0.0177562	0.0315342	0.0260902	0.0253207	0.0197465	0.0413964	0.0359859	0.0350011	0.029597	0.0219377	0.0164131	0.0155631	0.00979501	
nematode_0.002_4x_1	0.0231577	0.0167229	0.0149561	0.00992537	0.0202047	0.0133637	0.0	0.00672608	0.0260902	0.0194729	0.0178107	0.0127715	0.028061	0.0214138	0.0197161	0.0147663	0.0297777	0.0233438	0.0216215	0.0167304	0.0318954	0.0253485	0.023688	0.0187576	0.0414812	0.0349392	0.0332723	0.0283673	0.0223019	0.0156738	0.0139602	0.00890194	
nematode_0.002_8x_1	0.0164021	0.0108273	0.00986651	0.00403532	0.0134951	0.00770844	0.00672608	0.0	0.0194101	0.0137052	0.0127842	0.00701123	0.0213903	0.0156457	0.0147686	0.00905235	0.0232061	0.0177245	0.0166706	0.0110923	0.0253274	0.0197262	0.0188158	0.0131991	0.0351732	0.029626	0.0286068	0.0231388	0.0155756	0.00976477	0.00878909	0.00297555	
nematode_0.004_1x_1	0.0283185	0.0246493	0.0251378	0.0184282	0.0292239	0.0257482	0.0260902	0.0194101	0.0	0.0197889	0.0202106	0.0135921	0.03312	0.0295547	0.0297986	0.0232988	0.035046	0.0314035	0.031593	0.0252114	0.0371398	0.0335329	0.0337415	0.0273617	0.046586	0.0429567	0.0431897	0.0369396	0.0274279	0.0237184	0.0240296	0.0173972	
nematode_0.004_2x_1	0.0246656	0.019402	0.0185249	0.0127745	0.0257491	0.0203172	0.0194729	0.0137052	0.0197889	0.0	0.0132421	0.00764264	0.0295206	0.0240265	0.0233141	0.017632	0.0314789	0.0260569	0.025167	0.0196355	0.0334551	0.0278685	0.027157	0.0215566	0.0430526	0.0375659	0.0366943	0.0312501	0.0237355	0.0183132	0.0174512	0.0117147	
