sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1	
oyster_0.001_1x_1	0.0	0.00741873	0.013763	0.0127656	0.0258855	0.0226568	0.0234042	0.0164478	0.0275957	0.0246297	0.0252895	0.0184152	0.029784	0.0265629	0.0271893	0.0203864	0.0313272	0.0284054	0.0292819	0.0224136	0.033396	0.0301904	0.0309541	0.0243266	0.0426439	0.0395188	0.0403714	0.0338353	0.0241263	0.020593	0.0213138	0.0142473	
oyster_0.001_2x_1	0.00741873	0.0	0.00533144	0.00720273	0.022529	0.0173983	0.0169911	0.0109264	0.0244554	0.0194884	0.0190219	0.012945	0.0263784	0.0213434	0.0209032	0.0149339	0.0280331	0.0232806	0.0229023	0.0169029	0.0300812	0.0251169	0.0247154	0.018879	0.0393277	0.0345713	0.034166	0.0286009	0.0207098	0.0154084	0.0149623	0.0088151	
oyster_0.001_4x_1	0.013763	0.00533144	0.0	0.00650047	0.0231041	0.0168559	0.0155281	0.0101924	0.0251277	0.0188935	0.0174473	0.0121659	0.0269607	0.0207778	0.0193747	0.01418	0.0287455	0.022628	0.0212974	0.0161201	0.030673	0.0245023	0.0231252	0.0181451	0.0399967	0.0339257	0.0325898	0.0277724	0.0213931	0.0149156	0.0135044	0.00812718	
oyster_0.001_8x_1	0.0127656	0.00720273	0.00650047	0.0	0.0163048	0.0108998	0.0102626	0.00414677	0.0181996	0.0129378	0.012262	0.00618714	0.0201847	0.0148623	0.0142598	0.00825713	0.0218788	0.0168393	0.0162725	0.0102619	0.0239626	0.0187678	0.0182357	0.0123657	0.0335811	0.0284847	0.0280197	0.0222924	0.0143455	0.00879624	0.00813432	0.0019633	
oyster_0.002_1x_1	0.0258855	0.022529	0.0231041	0.0163048	0.0	0.0073825	0.0136552	0.0127311	0.0287853	0.0255418	0.02617	0.0193766	0.0306622	0.0272855	0.0280408	0.021298	0.0322335	0.0291599	0.0299852	0.0231986	0.034432	0.0312757	0.0319299	0.0253781	0.0435302	0.0402706	0.0412981	0.0347415	0.0251119	0.0215288	0.0221835	0.0152218	
oyster_0.002_2x_1	0.0226568	0.0173983	0.0168559	0.0108998	0.0073825	0.0	0.00531806	0.00718705	0.0253797	0.0203426	0.0199052	0.0139525	0.0273301	0.0222671	0.0218082	0.0159235	0.0289061	0.02417	0.0238456	0.017863	0.031121	0.0261191	0.0256898	0.0199518	0.0403416	0.0355455	0.0351387	0.0295196	0.0217286	0.0165237	0.0159026	0.00984241	
oyster_0.002_4x_1	0.0234042	0.0169911	0.0155281	0.0102626	0.0136552	0.00531806	0.0	0.00646823	0.0261322	0.0198925	0.0184812	0.0132408	0.0280033	0.0217715	0.0203779	0.0152179	0.029681	0.023671	0.0223526	0.0171387	0.0317249	0.0255546	0.0241923	0.019199	0.0410346	0.0349866	0.0335526	0.0287843	0.0224194	0.0160274	0.0145682	0.00920332	
oyster_0.002_8x_1	0.0164478	0.0109264	0.0101924	0.00414677	0.0127311	0.00718705	0.00646823	0.0	0.019218	0.0139602	0.0132799	0.0072656	0.0212459	0.0158655	0.0152434	0.00932752	0.0228538	0.0178385	0.0172579	0.0112984	0.0250394	0.019825	0.0192328	0.0133953	0.0345571	0.0294918	0.0289713	0.0232836	0.0154401	0.00989836	0.0091963	0.00306003	
oyster_0.004_1x_1	0.0275957	0.0244554	0.0251277	0.0181996	0.0287853	0.0253797	0.0261322	0.019218	0.0	0.00738367	0.0136668	0.0127416	0.0324139	0.0292208	0.0299505	0.0232699	0.0339887	0.0309431	0.031782	0.0250095	0.0361142	0.0330824	0.0337902	0.0272411	0.0454584	0.0421811	0.0430637	0.0365754	0.027033	0.0234686	0.0241199	0.0171119	
oyster_0.004_2x_1	0.0246297	0.0194884	0.0188935	0.0129378	0.0255418	0.0203426	0.0198925	0.0139602	0.00738367	0.0	0.00529713	0.00717401	0.0292167	0.0241454	0.0237082	0.0179041	0.0308948	0.0260587	0.0256221	0.0197946	0.0330425	0.028061	0.0275975	0.0218852	0.0422973	0.0373125	0.0369726	0.0314293	0.0236873	0.0183894	0.017903	0.0118877	
oyster_0.004_4x_1	0.0252895	0.0190219	0.0174473	0.012262	0.02617	0.0199052	0.0184812	0.0132799	0.0136668	0.00529713	0.0	0.00639002	0.029832	0.0236454	0.0222924	0.0172056	0.031643	0.0255495	0.0242027	0.0191188	0.0335106	0.027398	0.0260351	0.0211435	0.0429419	0.036801	0.0353693	0.0306491	0.024436	0.0179442	0.0165168	0.011234	
oyster_0.004_8x_1	0.0184152	0.012945	0.0121659	0.00618714	0.0193766	0.0139525	0.0132408	0.0072656	0.0127416	0.00717401	0.00639002	0.0	0.0231192	0.0177857	0.0171727	0.0113276	0.0248434	0.0197787	0.0191695	0.0132812	0.0268924	0.0216704	0.0210619	0.0153555	0.0363674	0.0312255	0.030734	0.0251612	0.0174323	0.0118474	0.0111515	0.00511421	
oyster_0.006_1x_1	0.029784	0.0263784	0.0269607	0.0201847	0.0306622	0.0273301	0.0280033	0.0212459	0.0324139	0.0292167	0.029832	0.0231192	0.0	0.00745329	0.0137791	0.0128914	0.0358117	0.0328714	0.0336854	0.0270908	0.0377507	0.0347402	0.0355064	0.0290034	0.0468598	0.0438411	0.0447147	0.0384037	0.0286622	0.0253207	0.0260473	0.0191108	
