sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.001_1x_1	0.0	0.019756	0.0209942	0.0132751	0.0253443	0.022865	0.0239358	0.0164552	0.0274101	0.0248187	0.0260299	0.0186858	0.0292584	0.0268524	0.027879	0.0207591	0.0311854	0.0287485	0.02994	0.0227684	0.0330546	0.0307569	0.0319104	0.0248401	0.0417882	0.0398309	0.0410176	0.034369	0.023609	0.0206553	0.0219022	0.0142894	
moss_0.001_2x_1	0.019756	0.0	0.0149488	0.00835389	0.0226229	0.0183197	0.0180412	0.0116324	0.0248015	0.0202606	0.0201653	0.0137823	0.0266707	0.0221677	0.022101	0.0158482	0.0286978	0.0242562	0.024116	0.0178893	0.0302287	0.0260692	0.026141	0.0198212	0.0391917	0.0353345	0.035273	0.0295	0.0209631	0.0162402	0.0160814	0.00948137	
moss_0.001_4x_1	0.0209942	0.0149488	0.0	0.00806095	0.0238338	0.0180965	0.0168694	0.0113469	0.0258042	0.0200158	0.0188603	0.0134124	0.027725	0.0219313	0.0207418	0.0154391	0.0294476	0.0239012	0.0226465	0.0173568	0.0313048	0.025676	0.0246029	0.019379	0.0401455	0.0347806	0.0337952	0.0288311	0.0221598	0.01605	0.0148993	0.00926025	
moss_0.001_8x_1	0.0132751	0.00835389	0.00806095	0.0	0.0163184	0.0116792	0.0113057	0.00468244	0.0184888	0.0136869	0.0134982	0.00691988	0.0203459	0.0157202	0.0154898	0.0090689	0.0223127	0.0177891	0.0174991	0.0111858	0.0242698	0.0198619	0.0196582	0.0132986	0.0334354	0.0294014	0.0292493	0.0233507	0.0144846	0.00950319	0.00924885	0.00245068	
moss_0.002_1x_1	0.0253443	0.0226229	0.0238338	0.0163184	0.0	0.0199441	0.0208488	0.013246	0.0284288	0.0257405	0.0269544	0.0196557	0.0300707	0.0276862	0.0287654	0.0217034	0.0320268	0.0297246	0.0307536	0.0238182	0.0340341	0.0315353	0.0326444	0.0256383	0.0425169	0.0405709	0.0417777	0.0351599	0.0246485	0.0216999	0.0228226	0.0152424	
moss_0.002_2x_1	0.022865	0.0183197	0.0180965	0.0116792	0.0199441	0.0	0.0148336	0.0083004	0.0258942	0.0212487	0.0212151	0.0148451	0.0275853	0.0231607	0.0230341	0.0168581	0.0294743	0.0251453	0.0250245	0.0189279	0.0312992	0.0271147	0.0270798	0.0209294	0.0403085	0.0364333	0.0363129	0.0305722	0.0219683	0.0172711	0.017124	0.0106028	
moss_0.002_4x_1	0.0239358	0.0180412	0.0168694	0.0113057	0.0208488	0.0148336	0.0	0.00789396	0.0267329	0.0209012	0.0198295	0.0144103	0.0285319	0.0228635	0.0216138	0.0163361	0.0302917	0.0247974	0.0236337	0.0183454	0.0322674	0.0265343	0.0254678	0.020258	0.0410091	0.0356335	0.0347454	0.0297142	0.0230973	0.0170133	0.0158899	0.0103036	
moss_0.002_8x_1	0.0164552	0.0116324	0.0113469	0.00468244	0.013246	0.0083004	0.00789396	0.0	0.0195603	0.0146608	0.0144795	0.00801655	0.0213455	0.0167722	0.0164525	0.0101268	0.0233408	0.018829	0.0185113	0.0122645	0.025224	0.0207899	0.020556	0.0143019	0.0344628	0.0304299	0.0302554	0.0243708	0.0155421	0.0105617	0.0102931	0.00354755	
moss_0.004_1x_1	0.0274101	0.0248015	0.0258042	0.0184888	0.0284288	0.0258942	0.0267329	0.0195603	0.0	0.0197136	0.0207271	0.0133309	0.032123	0.0295062	0.0306188	0.0236585	0.033932	0.0313866	0.0325318	0.0256512	0.0356375	0.0335291	0.0345364	0.0276966	0.0444905	0.0423422	0.0435472	0.0370215	0.0266977	0.0237682	0.0247941	0.0174033	
moss_0.004_2x_1	0.0248187	0.0202606	0.0200158	0.0136869	0.0257405	0.0212487	0.0209012	0.0146608	0.0197136	0.0	0.0145165	0.00811013	0.029596	0.0250985	0.024897	0.0189098	0.0311999	0.0269781	0.026836	0.02082	0.033034	0.0287952	0.0287664	0.0227536	0.0416849	0.0379414	0.0377566	0.0321729	0.0241017	0.0192691	0.0189982	0.0126132	
