sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814183	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00334	0.0033	0.00335	0.00313	0.01797	0.00345	0.00369	0.00318	0.00362	0.00329
SRR23814148	0.00334	0.0	0.00306	0.00312	0.00288	0.01707	0.00282	0.00299	0.00266	0.00272	0.00283
SRR23814152	0.0033	0.00306	0.0	0.00307	0.0033	0.01764	0.00309	0.00286	0.00294	0.00289	0.00296
SRR23814180	0.00335	0.00312	0.00307	0.0	0.00018	0.01743	0.00302	0.00305	0.00281	0.00303	0.00312
SRR23814181	0.00313	0.00288	0.0033	0.00018	0.0	0.01742	0.00333	0.00256	0.00261	0.00268	0.00286
SRR23814183	0.01797	0.01707	0.01764	0.01743	0.01742	0.0	0.0173	0.01722	0.01729	0.01774	0.01731
SRR23814184	0.00345	0.00282	0.00309	0.00302	0.00333	0.0173	0.0	0.00278	0.00288	0.00334	0.00293
SRR23814185	0.00369	0.00299	0.00286	0.00305	0.00256	0.01722	0.00278	0.0	0.00022	0.00239	0.00261
SRR23814186	0.00318	0.00266	0.00294	0.00281	0.00261	0.01729	0.00288	0.00022	0.0	0.00271	0.00287
SRR23814187	0.00362	0.00272	0.00289	0.00303	0.00268	0.01774	0.00334	0.00239	0.00271	0.0	0.00298
SRR23814188	0.00329	0.00283	0.00296	0.00312	0.00286	0.01731	0.00293	0.00261	0.00287	0.00298	0.0
