sample	SRR23814147.msh	SRR23814148.msh	SRR23814152.msh	SRR23814180.msh	SRR23814181.msh	SRR23814183.msh	SRR23814184.msh	SRR23814185.msh	SRR23814186.msh	SRR23814187.msh	SRR23814188.msh	
SRR23814147.msh	0	0.0425206	0.0428905	0.0425894	0.0424087	0.0418515	0.0442566	0.0430526	0.0427714	0.0431192	0.0431433	
SRR23814148.msh	0.0425206	0	0.0428464	0.0425622	0.0423601	0.0412191	0.0438144	0.0425405	0.0424537	0.0424159	0.0428776	
SRR23814152.msh	0.0428905	0.0428464	0	0.042918	0.0431897	0.0421454	0.0444944	0.0428208	0.0431396	0.0429898	0.0434174	
SRR23814180.msh	0.0425894	0.0425622	0.042918	0	0.0397178	0.0416116	0.0440769	0.042662	0.042662	0.042786	0.0432325	
SRR23814181.msh	0.0424087	0.0423601	0.0431897	0.0397178	0	0.0416464	0.0444259	0.0422079	0.0425061	0.0424718	0.0430138	
SRR23814183.msh	0.0418515	0.0412191	0.0421454	0.0416116	0.0416464	0	0.0428593	0.0415003	0.0418023	0.0421882	0.0420565	
SRR23814184.msh	0.0442566	0.0438144	0.0444944	0.0440769	0.0444259	0.0428593	0	0.0439558	0.0442857	0.0446496	0.0445944	
SRR23814185.msh	0.0430526	0.0425405	0.0428208	0.042662	0.0422079	0.0415003	0.0439558	0	0.0401833	0.0422561	0.04283	
SRR23814186.msh	0.0427714	0.0424537	0.0431396	0.042662	0.0425061	0.0418023	0.0442857	0.0401833	0	0.0428171	0.0433332	
SRR23814187.msh	0.0431192	0.0424159	0.0429898	0.042786	0.0424718	0.0421882	0.0446496	0.0422561	0.0428171	0	0.04335	
SRR23814188.msh	0.0431433	0.0428776	0.0434174	0.0432325	0.0430138	0.0420565	0.0445944	0.04283	0.0433332	0.04335	0	
