sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814171.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814177.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0180977	0.0180153	0.0183513	0.0186239	0.0184252	0.0178927	0.0180521	0.0184865	0.0184499	0.0125008	0.0182963	0.0182089	
SRR23814167.msh	0.0180977	0	0.0181619	0.018444	0.0187121	0.0186477	0.0182229	0.0181422	0.0186924	0.0185865	0.0126471	0.0185432	0.0181799	
SRR23814168.msh	0.0180153	0.0181619	0	0.0182957	0.0185136	0.0184505	0.0178876	0.0180619	0.0184882	0.0185841	0.0124053	0.0182817	0.0180625	
SRR23814169.msh	0.0183513	0.018444	0.0182957	0	0.0188633	0.0188507	0.0184576	0.0185651	0.0190073	0.0189727	0.0128133	0.0188068	0.018506	
SRR23814170.msh	0.0186239	0.0187121	0.0185136	0.0188633	0	0.0189061	0.018447	0.0185456	0.0191487	0.0189976	0.0129386	0.0188802	0.018454	
SRR23814171.msh	0.0184252	0.0186477	0.0184505	0.0188507	0.0189061	0	0.0183542	0.0184936	0.0188766	0.0187324	0.0127964	0.0188971	0.018363	
SRR23814172.msh	0.0178927	0.0182229	0.0178876	0.0184576	0.018447	0.0183542	0	0.0178699	0.0182875	0.0184599	0.0122347	0.0182491	0.0178836	
SRR23814173.msh	0.0180521	0.0181422	0.0180619	0.0185651	0.0185456	0.0184936	0.0178699	0	0.0185562	0.0184552	0.012314	0.0183841	0.0180896	
SRR23814175.msh	0.0184865	0.0186924	0.0184882	0.0190073	0.0191487	0.0188766	0.0182875	0.0185562	0	0.0187852	0.0128421	0.0187103	0.0185574	
SRR23814176.msh	0.0184499	0.0185865	0.0185841	0.0189727	0.0189976	0.0187324	0.0184599	0.0184552	0.0187852	0	0.0128087	0.0188362	0.0184829	
SRR23814177.msh	0.0125008	0.0126471	0.0124053	0.0128133	0.0129386	0.0127964	0.0122347	0.012314	0.0128421	0.0128087	0	0.0127441	0.0124395	
SRR23814178.msh	0.0182963	0.0185432	0.0182817	0.0188068	0.0188802	0.0188971	0.0182491	0.0183841	0.0187103	0.0188362	0.0127441	0	0.0183606	
SRR23814179.msh	0.0182089	0.0181799	0.0180625	0.018506	0.018454	0.018363	0.0178836	0.0180896	0.0185574	0.0184829	0.0124395	0.0183606	0	
