sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.0008	0.0	0.00126	0.00127	0.00139	0.00116	0.00059	0.00091	0.00079
SRR1607348	0.00081	0.0	0.00109	0.00083	0.00076	0.00097	0.00109	0.00043	0.00044	0.00059
SRR1607350	0.0	0.00109	0.0	0.00089	0.0008	0.00076	0.00084	0.0	0.00045	0.00053
SRR1607351	0.00126	0.00083	0.00088	0.0	0.00135	0.00119	0.0009	0.00112	0.00108	0.00117
SRR1607354	0.00127	0.00076	0.0008	0.00135	0.0	0.00074	0.00162	0.00089	0.00061	0.00074
SRR1607356	0.0014	0.00097	0.00076	0.00119	0.00074	0.0	0.00095	0.00083	0.00049	0.0009
SRR1607357	0.00116	0.00109	0.00084	0.0009	0.00162	0.00095	0.0	0.00097	0.00082	0.00087
SRR1607359	0.00059	0.00043	0.0	0.00113	0.00089	0.00083	0.00097	0.0	0.0	0.00055
SRR1607361	0.00091	0.00044	0.00045	0.00108	0.00061	0.00049	0.00082	0.0	0.0	0.0
SRR1607363	0.00079	0.00059	0.00053	0.00117	0.00074	0.0009	0.00087	0.00055	0.0	0.0
