sample	SRR1607346.msh	SRR1607348.msh	SRR1607350.msh	SRR1607351.msh	SRR1607354.msh	SRR1607356.msh	SRR1607357.msh	SRR1607359.msh	SRR1607361.msh	SRR1607363.msh	
SRR1607346.msh	0	0.0282981	0.0275186	0.0261603	0.0280716	0.0278037	0.0271635	0.0277259	0.0277667	0.027838	
SRR1607348.msh	0.0282981	0	0.0283956	0.026927	0.0289813	0.0286187	0.0281545	0.028593	0.0285752	0.0286741	
SRR1607350.msh	0.0275186	0.0283956	0	0.0261042	0.0282116	0.02792	0.0273971	0.0275421	0.0277667	0.0278942	
SRR1607351.msh	0.0261603	0.026927	0.0261042	0	0.0265334	0.0263606	0.0254746	0.0264139	0.0262324	0.02652	
SRR1607354.msh	0.0280716	0.0289813	0.0282116	0.0265334	0	0.0279009	0.0282815	0.0284005	0.0283039	0.0284592	
SRR1607356.msh	0.0278037	0.0286187	0.02792	0.0263606	0.0279009	0	0.0272994	0.0280129	0.0279382	0.0282078	
SRR1607357.msh	0.0271635	0.0281545	0.0273971	0.0254746	0.0282815	0.0272994	0	0.0277155	0.0275243	0.0277544	
SRR1607359.msh	0.0277259	0.028593	0.0275421	0.0264139	0.0284005	0.0280129	0.0277155	0	0.0277061	0.0279822	
SRR1607361.msh	0.0277667	0.0285752	0.0277667	0.0262324	0.0283039	0.0279382	0.0275243	0.0277061	0	0.0279698	
SRR1607363.msh	0.027838	0.0286741	0.0278942	0.02652	0.0284592	0.0282078	0.0277544	0.0279822	0.0279698	0	
