sample	SRR23814149.msh	SRR23814150.msh	SRR23814151.msh	SRR23814153.msh	SRR23814154.msh	SRR23814155.msh	SRR23814156.msh	SRR23814157.msh	SRR23814158.msh	SRR23814160.msh	SRR23814161.msh	SRR23814162.msh	SRR23814164.msh	
SRR23814149.msh	0	0.0434381	0.0431916	0.043455	0.0434024	0.0436076	0.0429917	0.0435623	0.0432381	0.0428648	0.0444123	0.0433538	0.043294	
SRR23814150.msh	0.0434381	0	0.0430083	0.0427623	0.043121	0.0432325	0.0425785	0.0434888	0.0433687	0.0431377	0.0442062	0.0433912	0.0429917	
SRR23814151.msh	0.0431916	0.0430083	0	0.0431748	0.0430933	0.0434325	0.042808	0.0435283	0.0438182	0.0432418	0.0442469	0.0432287	0.0434024	
SRR23814153.msh	0.043455	0.0427623	0.0431748	0	0.0433538	0.0432902	0.0427221	0.0436095	0.0435774	0.042874	0.0437935	0.0434982	0.0429217	
SRR23814154.msh	0.0434024	0.043121	0.0430933	0.0433538	0	0.0434493	0.0430747	0.0436019	0.0441019	0.042808	0.0441908	0.0435227	0.0433631	
SRR23814155.msh	0.0436076	0.0432325	0.0434325	0.0432902	0.0434493	0	0.0431897	0.0438526	0.0438564	0.0430507	0.0446476	0.0438717	0.0436151	
SRR23814156.msh	0.0429917	0.0425785	0.042808	0.0427221	0.0430747	0.0431897	0	0.0432362	0.0432921	0.0424231	0.0435604	0.0432846	0.0429843	
SRR23814157.msh	0.0435623	0.0434888	0.0435283	0.0436095	0.0436019	0.0438526	0.0432362	0	0.0436265	0.0433014	0.0442101	0.0439137	0.0432604	
SRR23814158.msh	0.0432381	0.0433687	0.0438182	0.0435774	0.0441019	0.0438564	0.0432921	0.0436265	0	0.0434569	0.0443889	0.0435887	0.0431897	
SRR23814160.msh	0.0428648	0.0431377	0.0432418	0.042874	0.042808	0.0430507	0.0424231	0.0433014	0.0434569	0	0.0437478	0.0432753	0.0429677	
SRR23814161.msh	0.0444123	0.0442062	0.0442469	0.0437935	0.0441908	0.0446476	0.0435604	0.0442101	0.0443889	0.0437478	0	0.0445395	0.0442372	
SRR23814162.msh	0.0433538	0.0433912	0.0432287	0.0434982	0.0435227	0.0438717	0.0432846	0.0439137	0.0435887	0.0432753	0.0445395	0	0.043455	
SRR23814164.msh	0.043294	0.0429917	0.0434024	0.0429217	0.0433631	0.0436151	0.0429843	0.0432604	0.0431897	0.0429677	0.0442372	0.043455	0	
