sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00393	0.00394	0.00396	0.00373	0.0041	0.00432	0.00377	0.00422	0.00389
SRR23814148	0.00393	0.0	0.0036	0.00364	0.00338	0.00334	0.00349	0.00314	0.0032	0.00332
SRR23814152	0.00395	0.00361	0.0	0.00365	0.00388	0.00369	0.00342	0.00349	0.00343	0.00352
SRR23814180	0.00397	0.00364	0.00364	0.0	0.0006	0.00358	0.00359	0.00333	0.00355	0.00366
SRR23814181	0.00373	0.00338	0.00387	0.0006	0.0	0.0039	0.00307	0.00311	0.00317	0.00338
SRR23814184	0.00411	0.00336	0.0037	0.0036	0.00391	0.0	0.00335	0.00343	0.0039	0.00349
SRR23814185	0.00432	0.00349	0.00342	0.00359	0.00307	0.00333	0.0	0.00062	0.00288	0.00312
SRR23814186	0.00377	0.00315	0.00349	0.00333	0.00312	0.00342	0.00062	0.0	0.0032	0.00338
SRR23814187	0.00423	0.0032	0.00343	0.00355	0.00318	0.00389	0.00288	0.0032	0.0	0.0035
SRR23814188	0.0039	0.00333	0.00352	0.00367	0.00339	0.00348	0.00312	0.00339	0.0035	0.0
