sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.00724	0.00658	0.00578	0.00586	0.00607	0.00535	0.00779	0.00509	0.00675	0.00745	0.00549	0.00471	0.00486	0.00512	0.00657	0.00478	0.00638	0.00516	0.00481	0.0059	0.00556	0.00657	0.0072	0.00537	0.00633	0.00557	0.00576	0.00639	0.00571	0.006	0.00634	0.00614	0.00666	0.00615	0.0056	0.00676	1e-05	0	0.00728	0	0	0.00681
SRR10727874	0.00724	0.0	0	0.00157	0.00227	0.00413	0.00588	0.00108	0.0052	0.00268	0.00698	0.0033	0.00555	0.00576	0.00614	0.00638	0.00558	0.00218	0.00596	0.0053	0.00533	0.00339	0.00209	0.00476	0.00318	0.0058	0.00539	0.00548	0.00541	0.00513	0.00545	0.00563	0.00703	0.0058	0.0056	0.00532	0.006	0.00755	0.00728	0.00197	0.007	0.00685	0.00026
SRR10727875	0.00658	0	0.0	0.0013	0.00191	0.00367	0.00516	0.00094	0.00474	0.00254	0.00618	0.00255	0.00499	0.00547	0.00591	0.0058	0.00529	0.00223	0.00555	0.00494	0.00469	0.00283	0.00194	0.00459	0.00241	0.00508	0.00445	0.0047	0.00481	0.00453	0.00474	0.00531	0.00668	0.00492	0.00512	0.00483	0.00536	0.00662	0.00666	0.00097	0.00638	0.00652	0
SRR7296837	0.00578	0.00157	0.0013	0.0	0	0.00242	0.00453	0.00182	0.00417	0.00028	0.00624	0.00112	0.00355	0.00419	0.00444	0.00453	0.00404	0	0.00433	0.00438	0.00411	0.0011	0.00014	0.00285	0.00099	0.00415	0.00409	0.00372	0.00495	0.00424	0.00437	0.00531	0.00579	0.00534	0.00403	0.00354	0.00423	0.00608	0.00579	0.00311	0.00585	0.0054	0.00119
SRR7296908	0.00586	0.00227	0.00191	0	0.0	0.0024	0.00415	0.00258	0.00395	0.00094	0.00655	0.00124	0.00369	0.00405	0.00453	0.00463	0.00382	0.0002	0.00452	0.00437	0.00402	0.00121	0	0.00213	0.00122	0.00425	0.00355	0.00369	0.00501	0.00365	0.00436	0.00511	0.00569	0.00541	0.00413	0.00357	0.00364	0.00619	0.00592	0.0035	0.00584	0.00584	0.00165
SRR7296922	0.00607	0.00413	0.00367	0.00242	0.0024	0.0	0.0034	0.00467	0.00417	0.00248	0.00601	0.00051	0.00354	0.00399	0.00419	0.00329	0.00347	0.00211	0.00416	0.00394	0.00445	0.00049	0.00206	0.00309	0.00091	0.00388	0.00484	0.00273	0.00405	0.00419	0.00371	0.00393	0.00545	0.00419	0.00295	0.00285	0.00472	0.00705	0.00636	0.00526	0.00616	0.00602	0.00395
SRR7296925	0.00535	0.00588	0.00516	0.00453	0.00415	0.0034	0.0	0.00626	0.00412	0.00588	0.0064	0.00443	0.00383	0.00397	0.00421	0.00305	0.00384	0.00555	0.00434	0.00331	0.00099	0.0041	0.00449	0.00391	0.00395	0.00283	0.00014	0.00248	0.00149	7e-05	0.00207	0.00139	0.00569	0.00149	0.00277	0.00283	0.00381	0.00548	0.00526	0.00646	0.00514	0.00506	0.00525
SRR7296926	0.00779	0.00108	0.00094	0.00182	0.00258	0.00467	0.00626	0.0	0.00596	0.00211	0.00771	0.00392	0.00606	0.00644	0.00663	0.0067	0.00637	0.00246	0.00666	0.00627	0.00567	0.00391	0.00308	0.00384	0.00382	0.00484	0.00554	0.00592	0.00626	0.00555	0.00605	0.00604	0.00583	0.00635	0.00637	0.00583	0.00428	0.00808	0.00772	0.00084	0.00775	0.00748	0.00079
SRR7296936	0.00509	0.0052	0.00474	0.00417	0.00395	0.00417	0.00412	0.00596	0.0	0.00497	0.00582	0.0037	0.00129	0.00119	0.00183	0.00505	0.00142	0.00481	0.00174	0.0009	0.00441	0.00399	0.00447	0.00498	0.00351	0.00455	0.00427	0.00423	0.005	0.0042	0.00468	0.00465	0.0018	0.00495	0.00461	0.00432	0.00597	0.00537	0.00498	0.00571	0.00519	0.00493	0.00508
SRR7296939	0.00675	0.00268	0.00254	0.00028	0.00094	0.00248	0.00588	0.00211	0.00497	0.0	0.00682	0.0017	0.00451	0.00437	0.0049	0.00461	0.00409	0.00045	0.00489	0.0051	0.00501	0.00193	0.00123	0.00207	0.00177	0.00319	0.00521	0.00442	0.0055	0.00498	0.0052	0.00561	0.00429	0.00576	0.00439	0.00406	0.00339	0.00717	0.00678	0.00253	0.00661	0.0064	0.00291
