sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.00173	0.00138	0.00194	0.00115	0.00162	0.00115	0.00181	0.00144	0.00149
SRR1607299	0.00173	0.0	0.00142	0.00147	0.00145	0.00153	0.00151	0.0022	0.00136	0.00173
SRR1607302	0.00138	0.00142	0.0	0.0016	0.00146	0.00119	0.00094	0.00177	0.00161	0.00142
SRR1607306	0.00194	0.00146	0.0016	0.0	0.00133	0.00144	0.00159	0.0023	0.00153	0.00172
SRR1607310	0.00115	0.00145	0.00146	0.00133	0.0	0.0013	0.001	0.00234	0.00114	0.00149
SRR1607312	0.00162	0.00153	0.00119	0.00144	0.00131	0.0	0.0015	0.00209	0.00144	0.0016
SRR1607316	0.00115	0.00151	0.00094	0.00159	0.001	0.00149	0.0	0.00205	0.00067	0.00138
SRR1607318	0.00181	0.0022	0.00176	0.0023	0.00234	0.00209	0.00205	0.0	0.0027	0.00235
SRR1607320	0.00144	0.00136	0.00161	0.00153	0.00114	0.00144	0.00067	0.0027	0.0	0.00137
SRR1607323	0.00149	0.00173	0.00142	0.00172	0.00149	0.0016	0.00138	0.00235	0.00137	0.0
