sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814171.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0191787	0.0187858	0.0194604	0.0197579	0.0194455	0.0187648	0.0191218	0.0197838	0.0194337	0.0196513	0.0189848	
SRR23814167.msh	0.0191787	0	0.0190206	0.0196708	0.0199326	0.0196985	0.0190962	0.0192795	0.019996	0.0195803	0.0199186	0.0190371	
SRR23814168.msh	0.0187858	0.0190206	0	0.019258	0.0195515	0.0192284	0.0184888	0.0188742	0.0196023	0.0193877	0.0193419	0.018656	
SRR23814169.msh	0.0194604	0.0196708	0.019258	0	0.0200595	0.0198931	0.0192248	0.019471	0.0202554	0.0199141	0.0200698	0.0192752	
SRR23814170.msh	0.0197579	0.0199326	0.0195515	0.0200595	0	0.0200647	0.0194635	0.0196928	0.0204329	0.0201091	0.0203799	0.0193803	
SRR23814171.msh	0.0194455	0.0196985	0.0192284	0.0198931	0.0200647	0	0.0192783	0.0194368	0.02012	0.0198282	0.0202041	0.0191475	
SRR23814172.msh	0.0187648	0.0190962	0.0184888	0.0192248	0.0194635	0.0192783	0	0.0187307	0.0194312	0.0193561	0.0195015	0.0186138	
SRR23814173.msh	0.0191218	0.0192795	0.0188742	0.019471	0.0196928	0.0194368	0.0187307	0	0.0197458	0.0195146	0.0197357	0.0189134	
SRR23814175.msh	0.0197838	0.019996	0.0196023	0.0202554	0.0204329	0.02012	0.0194312	0.0197458	0	0.0199652	0.0201937	0.0195509	
SRR23814176.msh	0.0194337	0.0195803	0.0193877	0.0199141	0.0201091	0.0198282	0.0193561	0.0195146	0.0199652	0	0.0201078	0.0192598	
SRR23814178.msh	0.0196513	0.0199186	0.0193419	0.0200698	0.0203799	0.0202041	0.0195015	0.0197357	0.0201937	0.0201078	0	0.019504	
SRR23814179.msh	0.0189848	0.0190371	0.018656	0.0192752	0.0193803	0.0191475	0.0186138	0.0189134	0.0195509	0.0192598	0.019504	0	
