sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.0116501	0.0105357	0.00944735	0.00952948	0.0182194	0.00954248	0.0115451	0.00905929	0.0108773	0.0117048	0.0099591	0.00898765	0.010036	0.0142445	0.0116784	0.0100795	0.0161118	0.00961483	0.00995769	0.0101956	0.0104679	0.0106775	0.0112776	0.00885715	0.0101328	0.00928511	0.0100526	0.0105602	0.0108426	0.0104584	0.0114641	0.0154972	0.0116886	0.0157403	0.0111356	0.0111139	0.00397792	0.00347926	0.010747	0.00494437	0.00455715	0.0107011
SRR10727874	0.0116501	0.0	0.00358955	0.0050604	0.00559766	0.0163534	0.00959044	0.00469952	0.00889997	0.00649137	0.010461	0.00725248	0.00955514	0.0107426	0.01513	0.0108994	0.0107063	0.0118303	0.0102658	0.0097672	0.00930697	0.00771808	0.00632831	0.00873396	0.00615349	0.00929015	0.008574	0.00936195	0.0092408	0.00963512	0.00945041	0.0102917	0.0162459	0.0104839	0.0152037	0.0103126	0.00985323	0.0107	0.010332	0.00490886	0.0118172	0.0110204	0.00393867
SRR10727875	0.0105357	0.00358955	0.0	0.00402984	0.00448313	0.01497	0.0083766	0.00374714	0.00784613	0.00555313	0.00925355	0.00616613	0.00850503	0.00974811	0.0137737	0.00977797	0.00964614	0.0106447	0.00918662	0.00874206	0.00814549	0.00672328	0.00535471	0.00763485	0.00501667	0.00803812	0.00728691	0.00811137	0.00810796	0.00857592	0.00833058	0.0091536	0.0148346	0.00935891	0.0137423	0.00913562	0.00874854	0.0095288	0.00902194	0.00372174	0.0107633	0.00986931	0.00292018
SRR7296837	0.00944735	0.0050604	0.00402984	0.0	0.00163596	0.0123481	0.00736456	0.00450444	0.00682885	0.00325541	0.00884736	0.00404103	0.00666479	0.00826559	0.0117811	0.00822118	0.00807269	0.00756909	0.007697	0.00798519	0.00715837	0.00455144	0.00299924	0.00560747	0.00279988	0.00623629	0.0060461	0.00657766	0.00780726	0.00771687	0.00758491	0.00900808	0.0132677	0.009207	0.0118025	0.00765283	0.00716995	0.00828628	0.00768136	0.00496155	0.00965166	0.00870971	0.00387766
SRR7296908	0.00952948	0.00559766	0.00448313	0.00163596	0.0	0.0123839	0.00701123	0.00503469	0.00672131	0.00371684	0.00912764	0.00413756	0.00666535	0.00812005	0.0118638	0.00833593	0.00802271	0.00818126	0.00767445	0.00793216	0.00705023	0.00461917	0.00261719	0.00511594	0.00288874	0.00637853	0.00563717	0.00667065	0.00784492	0.00731675	0.00760253	0.00903978	0.013239	0.00921268	0.0118973	0.00778362	0.00674545	0.00838386	0.00774583	0.00531856	0.00972974	0.00912897	0.00409666
SRR7296922	0.0182194	0.0163534	0.01497	0.0123481	0.0123839	0.0	0.0148619	0.0158036	0.0156879	0.0142118	0.0174908	0.0126149	0.015129	0.016792	0.0188392	0.0163623	0.0168516	0.0174891	0.0164052	0.0164767	0.0162881	0.0132373	0.0138268	0.0146509	0.0108027	0.0137908	0.014943	0.014493	0.0157126	0.0169466	0.0154724	0.0169743	0.020153	0.0170956	0.0180654	0.0159016	0.0164562	0.0168807	0.0160002	0.0152149	0.0184511	0.017716	0.0149865
SRR7296925	0.00954248	0.00959044	0.0083766	0.00736456	0.00701123	0.0148619	0.0	0.00922875	0.0075536	0.00912531	0.00950149	0.00778998	0.00720563	0.00843607	0.0124909	0.00757565	0.00853501	0.0140503	0.00807052	0.00762945	0.00460937	0.00826183	0.00804891	0.00759207	0.00652947	0.00595652	0.00333173	0.00602478	0.00493236	0.00469086	0.00571395	0.00588228	0.0139743	0.00596129	0.0115221	0.00717488	0.0075399	0.00842372	0.00791962	0.00896132	0.0096248	0.00904044	0.00842403
SRR7296926	0.0115451	0.00469952	0.00374714	0.00450444	0.00503469	0.0158036	0.00922875	0.0	0.00882585	0.00530797	0.0103721	0.00706546	0.00947422	0.0106392	0.0146812	0.0104938	0.0105819	0.0110748	0.0100512	0.0098452	0.00893242	0.00764743	0.00624468	0.00733198	0.00595334	0.00791839	0.00801809	0.00919764	0.00912863	0.00943342	0.00930293	0.0100987	0.0145433	0.010332	0.0147272	0.0101638	0.00822274	0.0104726	0.00999221	0.00329684	0.0117091	0.0107838	0.00361071
SRR7296936	0.00905929	0.00889997	0.00784613	0.00682885	0.00672131	0.0156879	0.0075536	0.00882585	0.0	0.00824337	0.00876961	0.00695634	0.00496007	0.00587965	0.0104945	0.00912232	0.0062152	0.0134348	0.00571889	0.00484689	0.00792053	0.00762227	0.00770211	0.0082268	0.00588123	0.0075682	0.00704851	0.00764743	0.00818282	0.00852767	0.00832366	0.00908746	0.010561	0.00926462	0.0132634	0.00867292	0.00947524	0.00798151	0.00751196	0.00829444	0.00918394	0.00864105	0.00795696
SRR7296939	0.0108773	0.00649137	0.00555313	0.00325541	0.00371684	0.0142118	0.00912531	0.00530797	0.00824337	0.0	0.0100109	0.00539857	0.0081514	0.00921369	0.0135561	0.00922305	0.00899852	0.00968339	0.00868582	0.00919263	0.00888296	0.00597641	0.00462658	0.00591499	0.00438698	0.00671122	0.00808567	0.00793858	0.00903879	0.00930327	0.00891111	0.0100144	0.0137343	0.0101375	0.0134541	0.0087385	0.00752414	0.00982218	0.00938122	0.00528554	0.0110174	0.0101425	0.00577444
SRR7296941	0.0117048	0.010461	0.00925355	0.00884736	0.00912764	0.0174908	0.00950149	0.0103721	0.00876961	0.0100109	0.0	0.00889834	0.00906327	0.00995207	0.0144243	0.00976929	0.0100558	0.0154878	0.00950831	0.00935317	0.00992501	0.00955925	0.0101385	0.00961827	0.00792145	0.00850758	0.00914794	0.00838639	0.00906227	0.0105969	0.00945857	0.00991484	0.0154466	0.0101663	0.0141198	0.00917927	0.0110242	0.0106565	0.0102597	0.00970447	0.011847	0.0111614	0.00944429
SRR7297019	0.0099591	0.00725248	0.00616613	0.00404103	0.00413756	0.0126149	0.00778998	0.00706546	0.00695634	0.00539857	0.00889834	0.0	0.00698004	0.00817006	0.0126149	0.00842403	0.00803503	0.0106204	0.00783549	0.00832618	0.00788816	0.00415022	0.00499376	0.00649551	0.00255819	0.0069324	0.00717922	0.0070138	0.00818562	0.00860476	0.00809248	0.00921636	0.0138674	0.00931674	0.0126287	0.00797414	0.0081713	0.00885846	0.00841897	0.00655133	0.0100406	0.00955617	0.00610866
SRR7297028	0.00898765	0.00955514	0.00850503	0.00666479	0.00666535	0.015129	0.00720563	0.00947422	0.00496007	0.0081514	0.00906327	0.00698004	0.0	0.00476924	0.0091973	0.00894851	0.00463807	0.0132203	0.00451653	0.00671094	0.00758401	0.00758162	0.00756045	0.00811075	0.00585307	0.00726473	0.00663996	0.00746394	0.00811385	0.00827844	0.00771084	0.00908978	0.0115666	0.00925858	0.0130177	0.00849675	0.00864781	0.00782274	0.00734225	0.00901138	0.00904242	0.00849357	0.00852192
SRR7297029	0.010036	0.0107426	0.00974811	0.00826559	0.00812005	0.016792	0.00843607	0.0106392	0.00587965	0.00921369	0.00995207	0.00817006	0.00476924	0.0	0.010366	0.00971589	0.00537041	0.0148049	0.00508343	0.00716242	0.00880534	0.00882585	0.00903846	0.0091686	0.00736192	0.00888558	0.00809495	0.00857464	0.00880599	0.00927402	0.00852862	0.00946911	0.0127935	0.00967304	0.0145245	0.00925589	0.00988505	0.00894358	0.00865328	0.0103747	0.010013	0.00953153	0.00981381
