sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.00345	0.00305	0.00324	0.0035	0.00307	0.00342	0.00259	0.00288	0.00386
SRR27281424	0.00345	0.0	0.00318	0.00275	0.00533	0.00274	0.00239	0.00358	0.00298	0.00267
SRR27281435	0.00305	0.00318	0.0	0.00308	0.00388	0.00338	0.0036	0.00273	0.00304	0.00348
SRR27281446	0.00324	0.00275	0.00308	0.0	0.00513	0.00259	0.00215	0.00354	0.00281	0.003
SRR27281455	0.0035	0.00533	0.00388	0.00513	0.0	0.00584	0.0057	0.00288	0.00468	0.00529
SRR27281466	0.00307	0.00274	0.00338	0.00259	0.00584	0.0	0.00266	0.0037	0.00286	0.00295
SRR27281477	0.00342	0.00239	0.0036	0.00215	0.0057	0.00266	0.0	0.00404	0.00303	0.00281
SRR27281489	0.00259	0.00358	0.00273	0.00354	0.00288	0.0037	0.00404	0.0	0.00328	0.00408
SRR27281516	0.00288	0.00298	0.00304	0.00281	0.00468	0.00286	0.00303	0.00328	0.0	0.00288
SRR27281517	0.00386	0.00267	0.00348	0.003	0.00529	0.00295	0.00281	0.00408	0.00288	0.0
