sample	SRR23814149	SRR23814150	SRR23814151	SRR23814153	SRR23814154	SRR23814155	SRR23814156	SRR23814157	SRR23814158	SRR23814160	SRR23814161	SRR23814162	SRR23814164
SRR23814149	0.0	0.00323	0.0033	0.0033	0.00346	0.00336	0.00336	0.0035	0.00337	0.00279	0.0034	0.00346	0.00337
SRR23814150	0.00323	0.0	0.00317	0.00306	0.00303	0.00332	0.00308	0.00345	0.00305	0.00313	0.00338	0.00323	0.00303
SRR23814151	0.0033	0.00317	0.0	0.00337	0.00338	0.00357	0.00332	0.00362	0.0034	0.00332	0.00338	0.00333	0.00335
SRR23814153	0.0033	0.00306	0.00337	0.0	0.00334	0.00348	0.00323	0.00347	0.00327	0.00315	0.00333	0.00338	0.00315
SRR23814154	0.00346	0.00303	0.00338	0.00334	0.0	0.0035	0.00336	0.0035	0.00354	0.00312	0.0035	0.00334	0.00332
SRR23814155	0.00336	0.00332	0.00357	0.00348	0.0035	0.0	0.0034	0.00344	0.00344	0.00314	0.00364	0.0034	0.00334
SRR23814156	0.00336	0.00308	0.00332	0.00323	0.00336	0.0034	0.0	0.00329	0.00326	0.00323	0.00333	0.00321	0.00333
SRR23814157	0.0035	0.00345	0.00362	0.00347	0.0035	0.00344	0.00329	0.0	0.00334	0.00305	0.00339	0.00349	0.00323
SRR23814158	0.00337	0.00305	0.0034	0.00327	0.00354	0.00344	0.00326	0.00334	0.0	0.00329	0.00324	0.00308	0.00326
SRR23814160	0.00279	0.00313	0.00332	0.00315	0.00312	0.00314	0.00323	0.00305	0.00329	0.0	0.00329	0.00301	0.00311
SRR23814161	0.0034	0.00338	0.00338	0.00333	0.0035	0.00364	0.00333	0.00339	0.00324	0.00329	0.0	0.00322	0.00335
SRR23814162	0.00346	0.00323	0.00333	0.00338	0.00334	0.0034	0.00321	0.00349	0.00308	0.00301	0.00322	0.0	0.00307
SRR23814164	0.00337	0.00303	0.00335	0.00315	0.00332	0.00334	0.00333	0.00323	0.00326	0.00311	0.00335	0.00307	0.0
