sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.00026	0.0002	0.00051	0.00037	0.00049	0.00039	5e-05	0.00026	0.00027
SRR1607348	0.00026	0.0	0.00019	0.00048	0.00049	0.00025	0.00027	8e-05	0.00021	0.00017
SRR1607350	0.0002	0.00019	0.0	0.00036	0.00037	0.00035	0.00023	0	0.0001	0.00018
SRR1607351	0.00051	0.00048	0.00036	0.0	0.00062	0.00053	0.00022	0.00039	0.00046	0.00051
SRR1607354	0.00037	0.00049	0.00037	0.00062	0.0	8e-05	0.00058	0.00028	0.00032	0.00042
SRR1607356	0.00049	0.00025	0.00035	0.00053	8e-05	0.0	0.00028	0.00026	0.00017	0.00031
SRR1607357	0.00039	0.00027	0.00023	0.00022	0.00058	0.00028	0.0	0.00025	0.00024	0.0003
SRR1607359	5e-05	8e-05	0	0.00039	0.00028	0.00026	0.00025	0.0	3e-05	0.00013
SRR1607361	0.00026	0.00021	0.0001	0.00046	0.00032	0.00017	0.00024	3e-05	0.0	0.00026
SRR1607363	0.00027	0.00017	0.00018	0.00051	0.00042	0.00031	0.0003	0.00013	0.00026	0.0
