sample	SRR17642992.msh	SRR17642993.msh	SRR17642994.msh	SRR17642995.msh	SRR17642996.msh	SRR17642998.msh	SRR17642999.msh	SRR17643011.msh	
SRR17642992.msh	0	0.0367682	0.0372021	0.0369368	0.0369224	0.0372572	0.036781	0.0377878	
SRR17642993.msh	0.0367682	0	0.0371224	0.0369153	0.0368095	0.0372848	0.0369899	0.0376367	
SRR17642994.msh	0.0372021	0.0371224	0	0.0369095	0.0367426	0.0372354	0.0367511	0.0376825	
SRR17642995.msh	0.0369368	0.0369153	0.0369095	0	0.0364263	0.0368967	0.0367142	0.0376086	
SRR17642996.msh	0.0369224	0.0368095	0.0367426	0.0364263	0	0.0370014	0.0364867	0.0374264	
SRR17642998.msh	0.0372572	0.0372848	0.0372354	0.0368967	0.0370014	0	0.0372412	0.0377938	
SRR17642999.msh	0.036781	0.0369899	0.0367511	0.0367142	0.0364867	0.0372412	0	0.0377522	
SRR17643011.msh	0.0377878	0.0376367	0.0376825	0.0376086	0.0374264	0.0377938	0.0377522	0	
