sample	SRR23814149	SRR23814150	SRR23814151	SRR23814153	SRR23814154	SRR23814155	SRR23814156	SRR23814157	SRR23814158	SRR23814160	SRR23814161	SRR23814162	SRR23814164
SRR23814149	0.0	0.00338	0.00307	0.0035	0.00331	0.0034	0.00305	0.00321	0.00291	0.00295	0.00342	0.00286	0.00318
SRR23814150	0.00338	0.0	0.00301	0.00292	0.00315	0.00315	0.00275	0.00325	0.00316	0.00333	0.00334	0.00301	0.003
SRR23814151	0.00307	0.00301	0.0	0.00327	0.00306	0.00329	0.00292	0.00323	0.00354	0.00338	0.00331	0.00278	0.00334
SRR23814153	0.0035	0.00292	0.00327	0.0	0.00348	0.00331	0.003	0.00347	0.00346	0.00317	0.00302	0.00321	0.00302
SRR23814154	0.00331	0.00315	0.00306	0.00348	0.0	0.00334	0.00322	0.00333	0.00385	0.00297	0.00329	0.0031	0.00333
SRR23814155	0.0034	0.00315	0.00329	0.00331	0.00334	0.0	0.00323	0.00347	0.0035	0.00311	0.00363	0.00335	0.00348
SRR23814156	0.00305	0.00275	0.00292	0.003	0.00322	0.00323	0.0	0.00312	0.0032	0.00274	0.00281	0.00302	0.0031
SRR23814157	0.00321	0.00325	0.00323	0.00347	0.00333	0.00347	0.00312	0.0	0.00312	0.00321	0.00304	0.00324	0.00297
SRR23814158	0.00291	0.00316	0.00354	0.00346	0.00385	0.0035	0.0032	0.00312	0.0	0.00338	0.00325	0.00293	0.00292
SRR23814160	0.00295	0.00333	0.00338	0.00317	0.00297	0.00311	0.00274	0.00321	0.00338	0.0	0.00302	0.00303	0.00311
SRR23814161	0.00342	0.00334	0.00331	0.00302	0.00329	0.00363	0.00281	0.00304	0.00325	0.00302	0.0	0.00323	0.00331
SRR23814162	0.00286	0.00301	0.00278	0.00321	0.0031	0.00335	0.00302	0.00324	0.00293	0.00303	0.00323	0.0	0.00301
SRR23814164	0.00318	0.003	0.00334	0.00302	0.00333	0.00348	0.0031	0.00297	0.00292	0.00311	0.00331	0.00301	0.0
