sample	SRR27281412.msh	SRR27281424.msh	SRR27281435.msh	SRR27281446.msh	SRR27281455.msh	SRR27281466.msh	SRR27281477.msh	SRR27281489.msh	SRR27281516.msh	SRR27281517.msh	
SRR27281412.msh	0	0.0163927	0.0162699	0.0161935	0.0161165	0.0162688	0.0166936	0.0158548	0.015758	0.0163921	
SRR27281424.msh	0.0163927	0	0.017022	0.0158101	0.0174011	0.0158284	0.0161376	0.0167133	0.0158401	0.0160208	
SRR27281435.msh	0.0162699	0.017022	0	0.0167315	0.0167048	0.0169018	0.0172865	0.0163869	0.0163131	0.0168678	
SRR27281446.msh	0.0161935	0.0158101	0.0167315	0	0.0171886	0.0159164	0.0160927	0.0164304	0.0156859	0.0159144	
SRR27281455.msh	0.0161165	0.0174011	0.0167048	0.0171886	0	0.0175736	0.0178488	0.0156603	0.0167058	0.0175433	
SRR27281466.msh	0.0162688	0.0158284	0.0169018	0.0159164	0.0175736	0	0.0160938	0.0166493	0.0158279	0.0159613	
SRR27281477.msh	0.0166936	0.0161376	0.0172865	0.0160927	0.0178488	0.0160938	0	0.0171562	0.0160588	0.016208	
SRR27281489.msh	0.0158548	0.0167133	0.0163869	0.0164304	0.0156603	0.0166493	0.0171562	0	0.0159803	0.0167213	
SRR27281516.msh	0.015758	0.0158401	0.0163131	0.0156859	0.0167058	0.0158279	0.0160588	0.0159803	0	0.0158736	
SRR27281517.msh	0.0163921	0.0160208	0.0168678	0.0159144	0.0175433	0.0159613	0.016208	0.0167213	0.0158736	0	
