sample	SRR1607296.msh	SRR1607299.msh	SRR1607302.msh	SRR1607306.msh	SRR1607310.msh	SRR1607312.msh	SRR1607316.msh	SRR1607318.msh	SRR1607320.msh	SRR1607323.msh	
SRR1607296.msh	0	0.0114075	0.00957227	0.00921134	0.0097884	0.0110453	0.00940391	0.00977936	0.0106712	0.00951616	
SRR1607299.msh	0.0114075	0	0.0106521	0.0100215	0.0107581	0.0120768	0.0104664	0.0108885	0.0114602	0.0105745	
SRR1607302.msh	0.00957227	0.0106521	0	0.0083965	0.00892324	0.0102852	0.00859931	0.00898501	0.0099359	0.00868421	
SRR1607306.msh	0.00921134	0.0100215	0.0083965	0	0.00855801	0.00989871	0.00818874	0.00858201	0.00925355	0.00831046	
SRR1607310.msh	0.0097884	0.0107581	0.00892324	0.00855801	0	0.0104504	0.00876701	0.00916226	0.00972836	0.0088676	
SRR1607312.msh	0.0110453	0.0120768	0.0102852	0.00989871	0.0104504	0	0.0101119	0.0104414	0.0113982	0.0101917	
SRR1607316.msh	0.00940391	0.0104664	0.00859931	0.00818874	0.00876701	0.0101119	0	0.00883464	0.0090583	0.00853788	
SRR1607318.msh	0.00977936	0.0108885	0.00898501	0.00858201	0.00916226	0.0104414	0.00883464	0	0.0101179	0.00888754	
SRR1607320.msh	0.0106712	0.0114602	0.0099359	0.00925355	0.00972836	0.0113982	0.0090583	0.0101179	0	0.00982776	
SRR1607323.msh	0.00951616	0.0105745	0.00868421	0.00831046	0.0088676	0.0101917	0.00853788	0.00888754	0.00982776	0	
