sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814177	SRR23814178	SRR23814179
SRR23814166	0.0	0.00279	0.00282	0.00301	0.00271	0.00296	0.00265	0.00283	0.00253	0.00298	0.00598	0.00268	0.00308
SRR23814167	0.00279	0.0	0.00302	0.00263	0.00316	0.00338	0.00344	0.00304	0.00333	0.00304	0.00638	0.00329	0.00333
SRR23814168	0.00282	0.00302	0.0	0.00296	0.00291	0.00347	0.00326	0.00338	0.00327	0.00323	0.00595	0.0033	0.00317
SRR23814169	0.00301	0.00263	0.00296	0.0	0.00314	0.00337	0.00376	0.0032	0.00333	0.00329	0.00647	0.00331	0.00352
SRR23814170	0.00271	0.00316	0.00291	0.00314	0.0	0.00287	0.00321	0.0031	0.00353	0.00268	0.00578	0.00271	0.00318
SRR23814171	0.00296	0.00338	0.00347	0.00337	0.00287	0.0	0.00317	0.00295	0.00317	0.00266	0.00624	0.00315	0.00295
SRR23814172	0.00265	0.00344	0.00326	0.00376	0.00321	0.00317	0.0	0.00279	0.00294	0.00275	0.00582	0.0031	0.00292
SRR23814173	0.00283	0.00304	0.00338	0.0032	0.0031	0.00295	0.00279	0.0	0.00299	0.0027	0.00557	0.00245	0.00288
SRR23814175	0.00253	0.00333	0.00327	0.00333	0.00353	0.00317	0.00294	0.00299	0.0	0.00272	0.00587	0.00234	0.00307
SRR23814176	0.00298	0.00304	0.00323	0.00329	0.00268	0.00266	0.00275	0.0027	0.00272	0.0	0.00565	0.00303	0.00271
SRR23814177	0.00598	0.00638	0.00595	0.00647	0.00578	0.00624	0.00582	0.00557	0.00587	0.00565	0.0	0.0055	0.00585
SRR23814178	0.00268	0.00329	0.0033	0.00331	0.00271	0.00315	0.0031	0.00245	0.00234	0.00303	0.0055	0.0	0.0029
SRR23814179	0.00308	0.00333	0.00317	0.00352	0.00318	0.00295	0.00292	0.00288	0.00307	0.00271	0.00585	0.0029	0.0
