sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.0027	0.00372	0.00285	0.00645	0.00286	0.00272	0.00405	0.00323	0.0028
SRR27281424	0.00591	0.0	0.00619	0.00474	0.00919	0.00452	0.00432	0.00657	0.00523	0.00458
SRR27281435	0.00418	0.0035	0.0	0.0037	0.00701	0.00357	0.00359	0.00465	0.00392	0.0036
SRR27281446	0.00574	0.00441	0.00607	0.0	0.00898	0.00459	0.00438	0.00641	0.0051	0.00447
SRR27281455	0.00184	0.00151	0.00204	0.00159	0.0	0.00172	0.00157	0.0019	0.00186	0.0016
SRR27281466	0.00614	0.00465	0.00634	0.00504	0.00943	0.0	0.00463	0.00686	0.00551	0.00483
SRR27281477	0.00635	0.00476	0.00669	0.00514	0.00964	0.00493	0.0	0.00711	0.00567	0.00488
SRR27281489	0.00283	0.00225	0.003	0.00242	0.00527	0.00251	0.0024	0.0	0.00265	0.00239
SRR27281516	0.00497	0.00382	0.00517	0.00401	0.00808	0.00401	0.00384	0.00552	0.0	0.00396
SRR27281517	0.00596	0.00457	0.00624	0.00479	0.00919	0.0047	0.00444	0.00663	0.00535	0.0
