sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.00107	0.00093	0.00117	0.00108	0.00099	0.00097	0.00126	0.00097	0.00098
SRR1607299	0.00107	0.0	0.00112	0.00093	0.00108	0.00118	0.00117	0.00156	0.00104	0.00121
SRR1607302	0.00093	0.00112	0.0	0.00104	0.00112	0.00101	0.00097	0.00125	0.00105	0.001
SRR1607306	0.00117	0.00093	0.00104	0.0	0.0013	0.00121	0.00109	0.00155	0.00102	0.00117
SRR1607310	0.00108	0.00108	0.00112	0.0013	0.0	0.00119	0.00114	0.00143	0.00091	0.00123
SRR1607312	0.00099	0.00118	0.00101	0.00121	0.00119	0.0	0.00115	0.00135	0.00119	0.00123
SRR1607316	0.00097	0.00117	0.00097	0.00109	0.00114	0.00115	0.0	0.00141	0.0005	0.00112
SRR1607318	0.00126	0.00156	0.00125	0.00155	0.00143	0.00135	0.00141	0.0	0.00148	0.00138
SRR1607320	0.00097	0.00104	0.00105	0.00102	0.00091	0.00119	0.0005	0.00148	0.0	0.00122
SRR1607323	0.00098	0.00121	0.001	0.00117	0.00123	0.00123	0.00112	0.00138	0.00122	0.0
