sample	SRR23814147.msh	SRR23814148.msh	SRR23814152.msh	SRR23814180.msh	SRR23814181.msh	SRR23814184.msh	SRR23814185.msh	SRR23814186.msh	SRR23814187.msh	SRR23814188.msh	
SRR23814147.msh	0	0.0153758	0.0158046	0.0154525	0.0155471	0.0181567	0.0156819	0.0162428	0.0158406	0.0163906	
SRR23814148.msh	0.0153758	0	0.015945	0.0158375	0.0158259	0.0181741	0.0158797	0.0164731	0.0160197	0.0166196	
SRR23814152.msh	0.0158046	0.015945	0	0.0162798	0.0163649	0.0184387	0.0161925	0.0167657	0.0163644	0.0170334	
SRR23814180.msh	0.0154525	0.0158375	0.0162798	0	0.0121655	0.0182543	0.0160819	0.0165967	0.0162335	0.0168172	
SRR23814181.msh	0.0155471	0.0158259	0.0163649	0.0121655	0	0.0183173	0.0160943	0.0166005	0.0162964	0.0169358	
SRR23814184.msh	0.0181567	0.0181741	0.0184387	0.0182543	0.0183173	0	0.0184246	0.0188754	0.018414	0.0190998	
SRR23814185.msh	0.0156819	0.0158797	0.0161925	0.0160819	0.0160943	0.0184246	0	0.0128324	0.0161562	0.0168076	
SRR23814186.msh	0.0162428	0.0164731	0.0167657	0.0165967	0.0166005	0.0188754	0.0128324	0	0.016668	0.0172766	
SRR23814187.msh	0.0158406	0.0160197	0.0163644	0.0162335	0.0162964	0.018414	0.0161562	0.016668	0	0.0170781	
SRR23814188.msh	0.0163906	0.0166196	0.0170334	0.0168172	0.0169358	0.0190998	0.0168076	0.0172766	0.0170781	0	
