sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00227	0.00234	0.00236	0.00285	0.00311	0.00271	0.00292	0.00255	0.00331	0.00275	0.00309
SRR23814167	0.00269	0.0	0.00247	0.00187	0.00325	0.00348	0.00348	0.00306	0.00333	0.00329	0.00333	0.00327
SRR23814168	0.00271	0.00243	0.0	0.00222	0.00297	0.00357	0.00328	0.00342	0.00325	0.00349	0.00332	0.00308
SRR23814169	0.00287	0.00195	0.00235	0.0	0.00316	0.00341	0.00377	0.00317	0.00326	0.0035	0.00328	0.00341
SRR23814170	0.00252	0.0025	0.00226	0.00232	0.0	0.00285	0.00316	0.00306	0.00347	0.00282	0.00262	0.00303
SRR23814171	0.00282	0.00276	0.0029	0.0026	0.00288	0.0	0.00314	0.00292	0.0031	0.00283	0.00313	0.00281
SRR23814172	0.00257	0.00291	0.00276	0.00311	0.00334	0.00329	0.0	0.00284	0.00294	0.00302	0.00317	0.00287
SRR23814173	0.00268	0.00239	0.00279	0.00241	0.00313	0.00296	0.00274	0.0	0.00291	0.00288	0.00238	0.00273
SRR23814175	0.00232	0.00267	0.00264	0.00251	0.00356	0.00316	0.00285	0.00292	0.0	0.00285	0.00221	0.0029
SRR23814176	0.00289	0.00244	0.00269	0.00256	0.00273	0.0027	0.00274	0.00271	0.00266	0.0	0.00306	0.0026
SRR23814178	0.00249	0.00265	0.00269	0.00251	0.00269	0.00316	0.00305	0.00237	0.00218	0.00322	0.0	0.00274
SRR23814179	0.00289	0.00265	0.00251	0.0027	0.00316	0.00291	0.00281	0.00278	0.00294	0.00283	0.0028	0.0
