sample	SRR1607346.msh	SRR1607348.msh	SRR1607350.msh	SRR1607351.msh	SRR1607354.msh	SRR1607356.msh	SRR1607357.msh	SRR1607359.msh	SRR1607361.msh	SRR1607363.msh	
SRR1607346.msh	0	0.0444572	0.0431563	0.0423583	0.0444377	0.0443071	0.0435793	0.0437611	0.0440749	0.0439482	
SRR1607348.msh	0.0444572	0	0.0450327	0.0430359	0.0450387	0.0449948	0.0446102	0.0446989	0.0447206	0.0448493	
SRR1607350.msh	0.0431563	0.0450327	0	0.042283	0.0442721	0.0439789	0.0435528	0.0436757	0.0439195	0.0439884	
SRR1607351.msh	0.0423583	0.0430359	0.042283	0	0.0430729	0.0426566	0.0418726	0.0428391	0.0427988	0.0428721	
SRR1607354.msh	0.0444377	0.0450387	0.0442721	0.0430729	0	0.0442838	0.0446535	0.0446752	0.0444103	0.0445159	
SRR1607356.msh	0.0443071	0.0449948	0.0439789	0.0426566	0.0442838	0	0.0437364	0.0443694	0.0440326	0.044424	
SRR1607357.msh	0.0435793	0.0446102	0.0435528	0.0418726	0.0446535	0.0437364	0	0.044	0.0438564	0.0438965	
SRR1607359.msh	0.0437611	0.0446989	0.0436757	0.0428391	0.0446752	0.0443694	0.044	0	0.0439597	0.0443246	
SRR1607361.msh	0.0440749	0.0447206	0.0439195	0.0427988	0.0444103	0.0440326	0.0438564	0.0439597	0	0.0440653	
SRR1607363.msh	0.0439482	0.0448493	0.0439884	0.0428721	0.0445159	0.044424	0.0438965	0.0443246	0.0440653	0	
