sample	SRR27281412.msh	SRR27281424.msh	SRR27281435.msh	SRR27281446.msh	SRR27281455.msh	SRR27281466.msh	SRR27281477.msh	SRR27281489.msh	SRR27281516.msh	SRR27281517.msh	
SRR27281412.msh	0	0.0402871	0.0393023	0.0401275	0.03733	0.0400898	0.0408025	0.03791	0.0392643	0.0408076	
SRR27281424.msh	0.0402871	0	0.0403747	0.0406546	0.0399494	0.0408126	0.0408227	0.0397598	0.0403664	0.0406395	
SRR27281435.msh	0.0393023	0.0403747	0	0.0403201	0.0380359	0.0407537	0.041336	0.038387	0.0397791	0.0407789	
SRR27281446.msh	0.0401275	0.0406546	0.0403201	0	0.0398212	0.0406747	0.0406044	0.0397791	0.0402261	0.0409989	
SRR27281455.msh	0.03733	0.0399494	0.0380359	0.0398212	0	0.0406479	0.0408599	0.0361877	0.0389048	0.0400358	
SRR27281466.msh	0.0400898	0.0408126	0.0407537	0.0406747	0.0406479	0	0.0412775	0.0400636	0.0404244	0.041101	
SRR27281477.msh	0.0408025	0.0408227	0.041336	0.0406044	0.0408599	0.0412775	0	0.0407587	0.0409632	0.0413291	
SRR27281489.msh	0.03791	0.0397598	0.038387	0.0397791	0.0361877	0.0400636	0.0407587	0	0.0390376	0.0403681	
SRR27281516.msh	0.0392643	0.0403664	0.0397791	0.0402261	0.0389048	0.0404244	0.0409632	0.0390376	0	0.0403565	
SRR27281517.msh	0.0408076	0.0406395	0.0407789	0.0409989	0.0400358	0.041101	0.0413291	0.0403681	0.0403565	0	
