sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00369	0.00368	0.00352	0.00337	0.00366	0.00387	0.00336	0.00417	0.00365
SRR23814148	0.00321	0.0	0.00343	0.00329	0.00312	0.00298	0.00312	0.00282	0.00321	0.00316
SRR23814152	0.00304	0.00328	0.0	0.00311	0.00346	0.00315	0.00285	0.003	0.00327	0.00318
SRR23814180	0.00311	0.00336	0.00333	0.0	0.0	0.00309	0.00308	0.00287	0.00344	0.00337
SRR23814181	0.00289	0.00312	0.0036	0.0	0.0	0.00344	0.00256	0.00268	0.00307	0.00311
SRR23814184	0.00313	0.00294	0.00326	0.00298	0.0034	0.0	0.00269	0.00285	0.00367	0.00306
SRR23814185	0.00336	0.00309	0.00298	0.00298	0.00254	0.00271	0.0	0.0	0.00262	0.00269
SRR23814186	0.00294	0.00288	0.00321	0.00286	0.00275	0.00295	0.0	0.0	0.00311	0.00311
SRR23814187	0.0036	0.00312	0.00333	0.00328	0.00299	0.00362	0.00255	0.00296	0.0	0.00341
SRR23814188	0.00293	0.00293	0.0031	0.00307	0.00288	0.00287	0.00248	0.00282	0.00327	0.0
