sample	unclassified-seq_SRR5221635	unclassified-seq_SRR5221636	unclassified-seq_SRR5221637	unclassified-seq_SRR5221638	unclassified-seq_SRR5221639	unclassified-seq_SRR5221640	unclassified-seq_SRR5221641	unclassified-seq_SRR5221642	unclassified-seq_SRR5221643	unclassified-seq_SRR5221644	unclassified-seq_SRR5221645	unclassified-seq_SRR5221646	unclassified-seq_SRR5221647	unclassified-seq_SRR5221648	unclassified-seq_SRR5221649	unclassified-seq_SRR5221650	unclassified-seq_SRR5221651	unclassified-seq_SRR5221652	unclassified-seq_SRR5221653	unclassified-seq_SRR5221654	unclassified-seq_SRR5221655	unclassified-seq_SRR5221656	unclassified-seq_SRR5221657	unclassified-seq_SRR5221658	unclassified-seq_SRR5221659	unclassified-seq_SRR5221660	unclassified-seq_SRR5221661	unclassified-seq_SRR5221662	unclassified-seq_SRR5221663	unclassified-seq_SRR5221664	unclassified-seq_SRR5221665	unclassified-seq_SRR5221666	unclassified-seq_SRR5221667	unclassified-seq_SRR5221668	unclassified-seq_SRR5221669	unclassified-seq_SRR5221670	unclassified-seq_SRR5221671	unclassified-seq_SRR5221672	unclassified-seq_SRR5221673	unclassified-seq_SRR5221674	unclassified-seq_SRR5221675	unclassified-seq_SRR5221676	unclassified-seq_SRR5221677	unclassified-seq_SRR5221678	unclassified-seq_SRR5221679	unclassified-seq_SRR5221680	unclassified-seq_SRR5221681	unclassified-seq_SRR5221683	unclassified-seq_SRR5221684	unclassified-seq_SRR5221685	unclassified-seq_SRR5221686	unclassified-seq_SRR5221687	unclassified-seq_SRR5221688	unclassified-seq_SRR5221689	unclassified-seq_SRR5221690	unclassified-seq_SRR5221691	unclassified-seq_SRR5221692	unclassified-seq_SRR5221693	unclassified-seq_SRR5221694	unclassified-seq_SRR5221695	unclassified-seq_SRR5221696	unclassified-seq_SRR5221697	unclassified-seq_SRR5221698	unclassified-seq_SRR5221700	unclassified-seq_SRR5221701	unclassified-seq_SRR5221702	unclassified-seq_SRR5221704	unclassified-seq_SRR5221705	unclassified-seq_SRR5221706	unclassified-seq_SRR5221707	unclassified-seq_SRR5221708	unclassified-seq_SRR5221709	unclassified-seq_SRR5221710	unclassified-seq_SRR5221711	unclassified-seq_SRR5221712	unclassified-seq_SRR5221713	unclassified-seq_SRR5221714	unclassified-seq_SRR5221715	unclassified-seq_SRR5221716	unclassified-seq_SRR5221717	unclassified-seq_SRR5221718	unclassified-seq_SRR5221719	unclassified-seq_SRR5221720	unclassified-seq_SRR5221721	unclassified-seq_SRR5221722	unclassified-seq_SRR5221723	unclassified-seq_SRR5221724	unclassified-seq_SRR5221725	unclassified-seq_SRR5221726	unclassified-seq_SRR5221727	unclassified-seq_SRR5221728	unclassified-seq_SRR5221729	unclassified-seq_SRR5221730	unclassified-seq_SRR5221731	unclassified-seq_SRR5221732	unclassified-seq_SRR5221733	unclassified-seq_SRR5221734	unclassified-seq_SRR5221735	unclassified-seq_SRR5221736	unclassified-seq_SRR5221737	unclassified-seq_SRR5221738	unclassified-seq_SRR5221740	unclassified-seq_SRR5221741	unclassified-seq_SRR5221742	unclassified-seq_SRR5221743	unclassified-seq_SRR5221744	unclassified-seq_SRR5221745	unclassified-seq_SRR5221746	unclassified-seq_SRR5221747	unclassified-seq_SRR5221748	unclassified-seq_SRR5221749	unclassified-seq_SRR5221750	unclassified-seq_SRR5221751	unclassified-seq_SRR5221752	unclassified-seq_SRR5221753	unclassified-seq_SRR5221754	unclassified-seq_SRR5221755	unclassified-seq_SRR5221756	unclassified-seq_SRR5221757	unclassified-seq_SRR5221758
unclassified-seq_SRR5221635	0.0	0.0389766	0.0427203	0.041509	0.0413739	0.041636	0.0408683	0.0419361	0.0388302	0.0430267	0.0417567	0.0421081	0.0429107	0.0422454	0.0422168	0.0411164	0.0417409	0.0424934	0.0401964	0.041293	0.0414847	0.0403465	0.0398649	0.0419945	0.0415246	0.0406898	0.0421241	0.0401013	0.0434813	0.0394804	0.0414535	0.040134	0.0408954	0.0409462	0.0403465	0.0413981	0.0408954	0.042274	0.0410448	0.0410363	0.0395668	0.0417549	0.0411472	0.0407755	0.0429511	0.0422186	0.0420619	0.0424465	0.0426984	0.0412037	0.041643	0.0416831	0.0429309	0.0400195	0.0407637	0.0401537	0.0423565	0.0401521	0.0412586	0.0412895	0.0428208	0.0406027	0.0413119	0.0427021	0.0417812	0.0413515	0.0409615	0.0412998	0.0415211	0.0420246	0.0424051	0.041968	0.0427003	0.0414396	0.0410465	0.0411045	0.0427714	0.0399983	0.0420796	0.041502	0.0422883	0.0415785	0.0419467	0.0410244	0.0413343	0.0409072	0.0416884	0.0430803	0.0417724	0.0407318	0.0416325	0.0424123	0.0408295	0.0400407	0.0416325	0.0422955	0.0414033	0.044023	0.0411626	0.0430711	0.0418515	0.0411591	0.0411934	0.0409955	0.041405	0.0410857	0.0419361	0.0407335	0.0418586	0.0415454	0.0402508	0.0422794	0.0425206	0.0407789	0.0401669	0.0409564	0.0411164	0.0409785	0.0434437	0.0413929
unclassified-seq_SRR5221636	0.0389766	0.0	0.0426529	0.0417269	0.0416482	0.0416534	0.0412655	0.0418234	0.0405492	0.0432008	0.0415802	0.0423547	0.0432046	0.0426311	0.0428611	0.0424213	0.0427623	0.0425622	0.0414985	0.0419733	0.042526	0.040606	0.0418093	0.0422508	0.0414725	0.0411643	0.0414916	0.0415263	0.0432772	0.0418621	0.0414535	0.0413498	0.0409191	0.0417199	0.0413257	0.041945	0.0424501	0.0422848	0.0415454	0.0415924	0.0414829	0.0416744	0.0426875	0.0419114	0.0425966	0.041629	0.0430563	0.0425314	0.0425894	0.0422937	0.0416255	0.0419786	0.0433145	0.041509	0.0422168	0.041804	0.0424267	0.0415733	0.0418445	0.0411045	0.0423673	0.0417742	0.0420406	0.0428685	0.0423835	0.0418357	0.0429695	0.0414517	0.0424429	0.0419927	0.0434174	0.0421829	0.0424429	0.0423134	0.0418163	0.0416046	0.0421864	0.0416534	0.0424628	0.0425169	0.0422293	0.0417988	0.042335	0.0415524	0.0417146	0.0421971	0.0424628	0.0426021	0.0423871	0.0436549	0.0429199	0.0422651	0.0410329	0.0416604	0.041855	0.0429548	0.0421508	0.0436265	0.0423422	0.042744	0.0429052	0.0420033	0.0414362	0.0423404	0.0420974	0.0429254	0.0436985	0.0421312	0.042283	0.0423027	0.04247	0.0424555	0.0436208	0.0422186	0.0411284	0.0411164	0.0418357	0.0418058	0.0429732	0.0417286
unclassified-seq_SRR5221637	0.0427203	0.0426529	0.0	0.0410721	0.0413343	0.0435906	0.0432735	0.0422866	0.0428263	0.044467	0.0429677	0.0438965	0.0443226	0.0440884	0.0441366	0.0444572	0.0441482	0.0440134	0.0433612	0.0434418	0.0442333	0.0433482	0.0441077	0.0436397	0.0427276	0.0425821	0.0431711	0.0429272	0.0446161	0.0447463	0.0425713	0.0436454	0.0426548	0.0434456	0.0435774	0.0432977	0.0441366	0.0433108	0.0431841	0.0436643	0.0431804	0.0430563	0.0444494	0.043975	0.0443363	0.0429383	0.0445355	0.044073	0.0438717	0.0445375	0.0431044	0.0435133	0.0448335	0.0440827	0.0441811	0.044276	0.0435265	0.0433875	0.0445964	0.0429475	0.0433818	0.0439673	0.0436852	0.0447502	0.0441231	0.0432287	0.0444709	0.0433893	0.0445453	0.0432735	0.0456812	0.0438927	0.0430914	0.0435963	0.0436852	0.0431025	0.0429659	0.0442101	0.0441482	0.0444396	0.0437098	0.0437859	0.0439003	0.0434343	0.0440057	0.0443538	0.0442818	0.0438449	0.0433893	0.0460243	0.0443052	0.0430304	0.0429695	0.0440576	0.0432139	0.0445689	0.0439386	0.0448474	0.0439923	0.0437516	0.0440249	0.0441482	0.0434118	0.0442974	0.0438202	0.0452477	0.0453488	0.0443343	0.043084	0.0440615	0.0443577	0.0444552	0.0448911	0.043908	0.0427879	0.0429235	0.0438144	0.043121	0.0442333	0.0436416
unclassified-seq_SRR5221638	0.041509	0.0417269	0.0410721	0.0	0.0408565	0.0421561	0.0425224	0.0421543	0.0413601	0.0437098	0.0422686	0.0428281	0.0434306	0.0432269	0.0434757	0.0433126	0.0432287	0.0429622	0.041892	0.0426529	0.0433725	0.0424051	0.0433369	0.0429751	0.0420512	0.0418058	0.0422079	0.0420122	0.0439616	0.0435944	0.0423404	0.0422686	0.0418903	0.0426802	0.0421918	0.0421793	0.043134	0.0422382	0.0418938	0.0426821	0.0422436	0.0420406	0.0431488	0.0428281	0.043763	0.0424429	0.0439961	0.0430193	0.0430563	0.0432306	0.0422186	0.0424465	0.0433837	0.042907	0.0433482	0.0430452	0.0426857	0.0424393	0.0430359	0.0419114	0.0428245	0.0427021	0.042215	0.0435528	0.043225	0.0422168	0.0435302	0.041998	0.0435227	0.0421971	0.0442547	0.0428171	0.0428831	0.0428483	0.0426493	0.0421793	0.0425821	0.0426275	0.042819	0.0436549	0.043097	0.0424033	0.0424573	0.0422919	0.0427586	0.0428153	0.0432269	0.0434024	0.0426529	0.0444357	0.043583	0.0427568	0.0415472	0.0428208	0.0423081	0.0437288	0.0428007	0.0441791	0.0431841	0.0431377	0.0433762	0.0432828	0.0425549	0.04306	0.042964	0.0441618	0.0440846	0.0432455	0.0426948	0.0428868	0.0436833	0.0427769	0.0439444	0.0429935	0.0418779	0.0422114	0.0426839	0.0419573	0.0438259	0.0428428
unclassified-seq_SRR5221639	0.0413739	0.0416482	0.0413343	0.0408565	0.0	0.0425894	0.0421829	0.0417953	0.0402854	0.0437859	0.0429254	0.0431044	0.0434719	0.0433126	0.0434456	0.0427294	0.0430322	0.0430138	0.0415559	0.0419485	0.0432623	0.0420992	0.0423601	0.0431581	0.042069	0.0418603	0.0423727	0.0417882	0.0442974	0.042564	0.0422543	0.041629	0.0418956	0.0421864	0.0419644	0.0421829	0.0431247	0.042885	0.041945	0.0422543	0.0416691	0.0425568	0.0424159	0.0421633	0.0435189	0.0431804	0.0432027	0.0431767	0.0433145	0.0428905	0.0426566	0.0427641	0.0439175	0.0420796	0.0421954	0.0422633	0.0431841	0.0416238	0.0429162	0.0422436	0.0432567	0.0419026	0.0422025	0.0431711	0.0430378	0.0423242	0.0426166	0.0421508	0.0426093	0.0424249	0.0434832	0.042724	0.0428281	0.042797	0.0422561	0.0419238	0.0430637	0.0420033	0.0428703	0.0432083	0.042907	0.0425658	0.0426493	0.0419573	0.0427988	0.0423117	0.0428007	0.0437916	0.0426857	0.0435736	0.0426912	0.0429107	0.0416255	0.0420335	0.0426184	0.04344	0.042999	0.044919	0.0432083	0.0433052	0.0435246	0.0430138	0.0423655	0.0426148	0.0429144	0.0433239	0.0436322	0.0421098	0.0427623	0.0422204	0.0422168	0.0429695	0.0441	0.042165	0.0416569	0.0419786	0.0426584	0.0419202	0.0440076	0.0423547
unclassified-seq_SRR5221640	0.041636	0.0416534	0.0435906	0.0421561	0.0425894	0.0	0.0406965	0.0405326	0.0389813	0.0438392	0.0425894	0.0437973	0.0437231	0.04347	0.0438202	0.0430119	0.042988	0.0434757	0.0421882	0.0429585	0.0435472	0.0423871	0.0432027	0.0433631	0.0424682	0.0420282	0.0430341	0.0420016	0.044899	0.0431414	0.0425676	0.0424303	0.0421829	0.0423961	0.0424267	0.0427039	0.043084	0.0431433	0.04224	0.0428464	0.0419114	0.0428721	0.0433182	0.0428208	0.0438163	0.0429953	0.0440134	0.0435528	0.0431563	0.0430322	0.0427349	0.0430674	0.0441251	0.0427459	0.0431247	0.0426602	0.0434625	0.0420938	0.0432306	0.0424249	0.0434775	0.0425713	0.0428776	0.0436719	0.0433556	0.0425169	0.0432269	0.0423763	0.0432511	0.0426148	0.044622	0.0429401	0.0432455	0.0431878	0.0428501	0.0423925	0.0431897	0.0426021	0.043455	0.0433781	0.0432865	0.0427258	0.0427477	0.0426021	0.0431488	0.0431433	0.0433369	0.0437744	0.0432977	0.0440615	0.0437497	0.0432753	0.0424646	0.0426875	0.0429419	0.0439367	0.0432083	0.0448295	0.0432921	0.0437859	0.0434362	0.0429695	0.0424321	0.0431563	0.0434343	0.0438354	0.0445846	0.043097	0.0430618	0.0432418	0.0433594	0.043365	0.0441173	0.0431637	0.0422686	0.0423386	0.0429475	0.0424123	0.0441985	0.0426984
unclassified-seq_SRR5221641	0.0408683	0.0412655	0.0432735	0.0425224	0.0421829	0.0406965	0.0	0.0405476	0.0390455	0.0437136	0.0421882	0.0432287	0.0437649	0.0433912	0.0434963	0.0429511	0.0431136	0.0431841	0.0418498	0.0423673	0.0432641	0.0425513	0.0421116	0.0428721	0.0425224	0.0418956	0.0425749	0.0412466	0.0441772	0.0418744	0.0424772	0.0417111	0.0417304	0.0422669	0.0418093	0.0426602	0.0429217	0.0428721	0.0422239	0.0424015	0.0416954	0.042797	0.0428318	0.0419821	0.0435227	0.042797	0.0433257	0.0434794	0.0432399	0.0424537	0.0422364	0.042797	0.0438793	0.0413636	0.0422347	0.0421027	0.0430581	0.0416901	0.0429364	0.042283	0.0433369	0.0417269	0.0419379	0.043653	0.0428795	0.042317	0.0426675	0.042317	0.0424682	0.0422561	0.0440249	0.0430212	0.0430359	0.0426402	0.042479	0.0417094	0.0432287	0.0418867	0.0428117	0.0428135	0.0430821	0.0426221	0.0431655	0.0420707	0.0424772	0.0423224	0.0429843	0.0440615	0.0426366	0.0429769	0.0426602	0.0430544	0.0418867	0.0415385	0.0426566	0.0435623	0.0427203	0.0444201	0.0428355	0.0434343	0.0430896	0.0426566	0.0420778	0.0426384	0.0426857	0.042907	0.0438087	0.0425224	0.0424934	0.0426511	0.0425169	0.0428318	0.0435925	0.0421437	0.0415333	0.0419662	0.0420654	0.0421668	0.0440442	0.0425912
unclassified-seq_SRR5221642	0.0419361	0.0418234	0.0422866	0.0421543	0.0417953	0.0405326	0.0405476	0.0	0.0405943	0.0433201	0.0414258	0.042988	0.0428923	0.0426966	0.0435133	0.0430914	0.0425368	0.042613	0.0427167	0.0424285	0.0429917	0.0422955	0.0433126	0.042693	0.0419662	0.041386	0.0419697	0.0417619	0.0437174	0.0439654	0.041535	0.042808	0.0415246	0.0424465	0.0425097	0.0423853	0.0437136	0.0421757	0.0421936	0.0427148	0.0421294	0.041922	0.0434268	0.0427203	0.0428355	0.0417216	0.0436549	0.0426784	0.0426766	0.0433875	0.0421864	0.0420938	0.0433482	0.0428538	0.043294	0.0432548	0.0421561	0.0425586	0.0431433	0.0420601	0.0424916	0.043121	0.0426148	0.0436416	0.0429033	0.0422007	0.0435698	0.0422382	0.0433875	0.0424573	0.044245	0.0427349	0.0424736	0.0428226	0.043212	0.0422866	0.0420619	0.0428941	0.0423188	0.0431934	0.0427167	0.0422633	0.0425568	0.0421419	0.0427605	0.0428941	0.0430655	0.042819	0.0423206	0.0450147	0.0436454	0.0422776	0.0417129	0.0428373	0.0424069	0.0437042	0.0427586	0.0435736	0.0432139	0.0426748	0.0430581	0.0431544	0.0420051	0.0433295	0.0431526	0.044565	0.0445061	0.0439635	0.0422204	0.0427094	0.0439137	0.0433257	0.0438182	0.0429438	0.0418093	0.041855	0.04283	0.0417251	0.0428997	0.0426821
unclassified-seq_SRR5221643	0.0388302	0.0405492	0.0428263	0.0413601	0.0402854	0.0389813	0.0390455	0.0405943	0.0	0.0430452	0.0419167	0.042249	0.0429033	0.0420104	0.0421508	0.0412122	0.0414951	0.0423637	0.0399983	0.0410874	0.0419132	0.0410312	0.0404959	0.0418832	0.041502	0.040586	0.0419556	0.0396245	0.0436378	0.0395364	0.0409989	0.0398083	0.0402722	0.0403036	0.0399511	0.0411318	0.0407991	0.0419697	0.040816	0.041055	0.0396743	0.0417479	0.0408886	0.0406395	0.0426293	0.0419503	0.04179	0.0424573	0.0425115	0.0410584	0.0413326	0.0419255	0.0429346	0.039969	0.040466	0.0402047	0.04283	0.0395892	0.0413481	0.0410976	0.0428153	0.0402508	0.0410499	0.0423332	0.0414414	0.0408988	0.0410091	0.04097	0.0410431	0.0416447	0.0420832	0.0418093	0.0423997	0.0415072	0.0405459	0.0402458	0.0422472	0.0389657	0.0416342	0.040821	0.041915	0.0408497	0.0419026	0.0406831	0.0413171	0.0407671	0.0413515	0.0429677	0.0422329	0.0406194	0.0408937	0.0419344	0.0408278	0.0399364	0.0417584	0.0419821	0.0412792	0.0437687	0.0411455	0.0426039	0.0416029	0.0410312	0.0407941	0.0404942	0.0416482	0.0408666	0.0423045	0.0408261	0.0415124	0.041004	0.0403168	0.0420778	0.0425604	0.0403449	0.0398649	0.0410023	0.0410261	0.0412054	0.0434268	0.0413515
unclassified-seq_SRR5221644	0.0430267	0.0432008	0.044467	0.0437098	0.0437859	0.0438392	0.0437136	0.0433201	0.0430452	0.0	0.0412071	0.0444631	0.0451772	0.0443694	0.0446121	0.044561	0.0442974	0.0445277	0.0437916	0.0440904	0.0444533	0.0437155	0.0440557	0.0441927	0.0438182	0.0433276	0.0435472	0.0430581	0.0450588	0.0440711	0.0435528	0.0437155	0.0429144	0.0438297	0.0433594	0.0435755	0.0444162	0.0438182	0.0433164	0.0441116	0.0434325	0.043455	0.0444533	0.043824	0.044618	0.0433052	0.0447344	0.0443479	0.0443889	0.0440076	0.0436435	0.0440192	0.0451571	0.04367	0.043908	0.0438125	0.0440807	0.0432548	0.0442916	0.0436322	0.0441077	0.0436473	0.0437061	0.0446003	0.0442586	0.0436587	0.0440422	0.0433968	0.0443733	0.0438144	0.0453184	0.0441154	0.0441618	0.044245	0.0443246	0.0433295	0.0439693	0.0436322	0.0441502	0.0444846	0.0443499	0.0435944	0.044	0.04338	0.0440672	0.0442605	0.0440269	0.0450047	0.0441289	0.0446752	0.0442702	0.0438526	0.0430914	0.0437992	0.0440211	0.0445453	0.044214	0.0459225	0.0446831	0.044563	0.0445846	0.0441193	0.0435736	0.0439808	0.0440384	0.0451712	0.0448931	0.0441366	0.043502	0.0440595	0.0443149	0.0444298	0.045365	0.0438278	0.0428263	0.043173	0.0435359	0.0434888	0.0447364	0.0440134
