sample	SRR23814149	SRR23814150	SRR23814151	SRR23814153	SRR23814154	SRR23814155	SRR23814156	SRR23814157	SRR23814158	SRR23814160	SRR23814161	SRR23814162	SRR23814164
SRR23814149	0.0	0.00332	0.0031	0.00363	0.00348	0.00278	0.00294	0.00313	0.00289	0.00289	0.00324	0.00311	0.00341
SRR23814150	0.00331	0.0	0.00326	0.00324	0.00353	0.00273	0.00285	0.00341	0.00339	0.00353	0.00337	0.0035	0.00343
SRR23814151	0.003	0.00317	0.0	0.00364	0.00345	0.0029	0.00304	0.00341	0.00383	0.0036	0.00337	0.00328	0.00383
SRR23814153	0.00345	0.00307	0.00356	0.0	0.0039	0.00292	0.00312	0.00366	0.00373	0.00337	0.00304	0.00374	0.00348
SRR23814154	0.00325	0.00331	0.00333	0.00386	0.0	0.00295	0.00336	0.00351	0.00416	0.00316	0.00333	0.00362	0.00381
SRR23814155	0.00318	0.00314	0.0034	0.00349	0.00356	0.0	0.00319	0.00349	0.0036	0.00312	0.00353	0.0037	0.00379
SRR23814156	0.00287	0.00279	0.00308	0.00323	0.00352	0.00273	0.0	0.00317	0.00334	0.0028	0.00271	0.00342	0.00346
SRR23814157	0.00324	0.00353	0.00362	0.00395	0.00385	0.0032	0.00335	0.0	0.00346	0.00351	0.00317	0.00386	0.00352
SRR23814158	0.00279	0.0033	0.00383	0.00381	0.00428	0.0031	0.00331	0.00325	0.0	0.00357	0.00326	0.00341	0.00334
SRR23814160	0.00293	0.00359	0.00375	0.0036	0.00343	0.00278	0.00291	0.00345	0.00372	0.0	0.00311	0.00361	0.00365
SRR23814161	0.00326	0.0034	0.00349	0.00325	0.00358	0.00316	0.0028	0.00308	0.00338	0.00309	0.0	0.00363	0.00367
SRR23814162	0.00289	0.0033	0.00317	0.00371	0.00363	0.00309	0.00328	0.00354	0.0033	0.00336	0.0034	0.0	0.00361
SRR23814164	0.00329	0.00332	0.00382	0.00354	0.00392	0.00327	0.00341	0.00329	0.00332	0.00348	0.00353	0.0037	0.0
