sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.00309	0.0026	0.00298	0.00251	0.00312	0.00317	0.00192	0.00269	0.00312
SRR27281424	0.00309	0.0	0.00348	0.00307	0.00389	0.0031	0.00303	0.00294	0.0031	0.00319
SRR27281435	0.0026	0.00348	0.0	0.00336	0.00272	0.0035	0.00365	0.00215	0.00302	0.00354
SRR27281446	0.00298	0.00307	0.00336	0.0	0.00366	0.0032	0.00315	0.00278	0.00297	0.00313
SRR27281455	0.00251	0.00389	0.00272	0.00366	0.0	0.00401	0.00406	0.00159	0.00329	0.00395
SRR27281466	0.00312	0.0031	0.0035	0.0032	0.00401	0.0	0.00311	0.00302	0.0031	0.00324
SRR27281477	0.00317	0.00303	0.00365	0.00315	0.00406	0.00311	0.0	0.00313	0.0031	0.00318
SRR27281489	0.00192	0.00294	0.00215	0.00278	0.00159	0.00302	0.00313	0.0	0.00239	0.003
SRR27281516	0.00269	0.0031	0.00302	0.00297	0.00329	0.0031	0.0031	0.00239	0.0	0.00313
SRR27281517	0.00312	0.00319	0.00354	0.00313	0.00395	0.00324	0.00318	0.003	0.00313	0.0
