sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.0	0.0	0.00051	0.00053	0.00075	0.0	0.0	0.0	0.0
SRR1607348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607350	0.0	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607351	0.00097	0.00077	0.00096	0.0	0.00127	0.00118	0.00065	0.00127	0.00084	0.00081
SRR1607354	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0
SRR1607356	0.00042	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607357	0.00071	0.00089	0.00074	0.00062	0.0014	0.00076	0.0	0.00094	0.00039	0.0
SRR1607359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
