sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0151807	0.0145659	0.0156301	0.00574468	0.00553516	0.00563821	0.00569523	0.00556239	0.00559998	0.0126748	
SRR23814167.msh	0.0151807	0	0.0212603	0.021969	0.0151949	0.0152733	0.0151832	0.0152792	0.0150649	0.0151954	0.0198485	
SRR23814168.msh	0.0145659	0.0212603	0	0.0214976	0.0146267	0.0144163	0.0145297	0.0146414	0.0146083	0.0144472	0.0193642	
SRR23814169.msh	0.0156301	0.021969	0.0214976	0	0.0155301	0.0155316	0.0155281	0.0157005	0.0155556	0.0155246	0.0201336	
SRR23814170.msh	0.00574468	0.0151949	0.0146267	0.0155301	0	0.00564442	0.00563071	0.0057452	0.00563795	0.00568692	0.0123884	
SRR23814172.msh	0.00553516	0.0152733	0.0144163	0.0155316	0.00564442	0	0.00545431	0.00557242	0.00562942	0.00561134	0.0124892	
SRR23814173.msh	0.00563821	0.0151832	0.0145297	0.0155281	0.00563071	0.00545431	0	0.00566669	0.00558838	0.00565866	0.0125565	
SRR23814175.msh	0.00569523	0.0152792	0.0146414	0.0157005	0.0057452	0.00557242	0.00566669	0	0.00558014	0.00558838	0.012594	
SRR23814176.msh	0.00556239	0.0150649	0.0146083	0.0155556	0.00563795	0.00562942	0.00558838	0.00558014	0	0.00568147	0.0124507	
SRR23814178.msh	0.00559998	0.0151954	0.0144472	0.0155246	0.00568692	0.00561134	0.00565866	0.00558838	0.00568147	0	0.0125553	
SRR23814179.msh	0.0126748	0.0198485	0.0193642	0.0201336	0.0123884	0.0124892	0.0125565	0.012594	0.0124507	0.0125553	0	
