sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814177	SRR23814178	SRR23814179
SRR23814166	0.0	0.00268	0.00288	0.0026	0.00293	0.00284	0.00281	0.00279	0.00287	0.00285	0.00478	0.00275	0.00308
SRR23814167	0.00268	0.0	0.00288	0.00254	0.00287	0.00291	0.003	0.00273	0.00293	0.00285	0.0048	0.00284	0.0029
SRR23814168	0.00288	0.00288	0.0	0.00269	0.00296	0.003	0.00295	0.00294	0.00301	0.00313	0.00483	0.00287	0.00308
SRR23814169	0.0026	0.00254	0.00269	0.0	0.0027	0.00279	0.0029	0.00282	0.00291	0.00291	0.00465	0.00278	0.0029
SRR23814170	0.00293	0.00287	0.00296	0.0027	0.0	0.0029	0.00295	0.00286	0.00311	0.00299	0.00481	0.00291	0.00291
SRR23814171	0.00284	0.00291	0.003	0.00279	0.0029	0.0	0.00296	0.00291	0.00294	0.00282	0.00476	0.00303	0.00292
SRR23814172	0.00281	0.003	0.00295	0.0029	0.00295	0.00296	0.0	0.0028	0.00286	0.00306	0.0047	0.00289	0.00295
SRR23814173	0.00279	0.00273	0.00294	0.00282	0.00286	0.00291	0.0028	0.0	0.00295	0.00287	0.0046	0.00284	0.00297
SRR23814175	0.00287	0.00293	0.00301	0.00291	0.00311	0.00294	0.00286	0.00295	0.0	0.00285	0.00479	0.00282	0.00308
SRR23814176	0.00285	0.00285	0.00313	0.00291	0.00299	0.00282	0.00306	0.00287	0.00285	0.0	0.00476	0.00297	0.00303
SRR23814177	0.00478	0.0048	0.00483	0.00465	0.00481	0.00476	0.0047	0.0046	0.00479	0.00476	0.0	0.00475	0.00485
SRR23814178	0.00275	0.00284	0.00287	0.00278	0.00291	0.00303	0.00289	0.00284	0.00282	0.00297	0.00475	0.0	0.00296
SRR23814179	0.00308	0.0029	0.00308	0.0029	0.00291	0.00292	0.00295	0.00297	0.00308	0.00303	0.00485	0.00296	0.0
