sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00436	0.00459	0.00433	0.00431	0.00462	0.00442	0.0044	0.00459	0.00444
SRR23814148	0.00436	0.0	0.00387	0.0041	0.00396	0.00404	0.00389	0.00387	0.004	0.00394
SRR23814152	0.0046	0.00388	0.0	0.00425	0.00419	0.00413	0.00404	0.00401	0.00421	0.00417
SRR23814180	0.00433	0.0041	0.00424	0.0	0.00083	0.00426	0.00403	0.00395	0.00426	0.00417
SRR23814181	0.00431	0.00396	0.00419	0.00083	0.0	0.00418	0.00393	0.00401	0.00419	0.00417
SRR23814184	0.00464	0.00405	0.00414	0.00428	0.0042	0.0	0.00426	0.00413	0.00421	0.0043
SRR23814185	0.00443	0.00389	0.00404	0.00403	0.00393	0.00424	0.0	0.00082	0.00405	0.00384
SRR23814186	0.00441	0.00387	0.004	0.00395	0.00401	0.00412	0.00082	0.0	0.004	0.00396
SRR23814187	0.0046	0.004	0.00421	0.00426	0.00419	0.0042	0.00405	0.004	0.0	0.0042
SRR23814188	0.00445	0.00394	0.00417	0.00417	0.00417	0.00429	0.00385	0.00396	0.0042	0.0
