sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.01328	0.01307	0.01351	0.01387	0.01363	0.01312	0.01343	0.01393	0.01361	0.01379	0.01334
SRR23814167	0.01328	0.0	0.01315	0.01364	0.01392	0.01371	0.01333	0.01351	0.01406	0.01365	0.01389	0.01328
SRR23814168	0.01307	0.01315	0.0	0.01337	0.01365	0.01341	0.01288	0.01324	0.0138	0.01355	0.01352	0.01301
SRR23814169	0.01351	0.01364	0.01337	0.0	0.014	0.01388	0.01338	0.01364	0.01426	0.01389	0.01402	0.01348
SRR23814170	0.01387	0.01392	0.01365	0.014	0.0	0.01411	0.01369	0.01395	0.01447	0.01414	0.0144	0.01357
SRR23814171	0.01363	0.01371	0.01341	0.01388	0.01411	0.0	0.01357	0.01375	0.01424	0.01392	0.01426	0.01345
SRR23814172	0.01312	0.01333	0.01288	0.01338	0.01369	0.01357	0.0	0.0132	0.01374	0.01361	0.01375	0.01309
SRR23814173	0.01343	0.01351	0.01324	0.01364	0.01395	0.01375	0.0132	0.0	0.01409	0.01379	0.01401	0.01338
SRR23814175	0.01393	0.01406	0.0138	0.01426	0.01447	0.01424	0.01374	0.01409	0.0	0.01413	0.01433	0.01383
SRR23814176	0.01361	0.01365	0.01355	0.01389	0.01414	0.01392	0.01361	0.01379	0.01413	0.0	0.0142	0.01354
SRR23814178	0.01379	0.01389	0.01352	0.01402	0.0144	0.01426	0.01375	0.01401	0.01433	0.0142	0.0	0.01376
SRR23814179	0.01334	0.01328	0.01301	0.01348	0.01357	0.01345	0.01309	0.01338	0.01383	0.01354	0.01376	0.0
