sample	SRR1607299.msh	SRR1607302.msh	SRR1607306.msh	SRR1607310.msh	SRR1607312.msh	SRR1607316.msh	SRR1607318.msh	SRR1607320.msh	SRR1607323.msh	
SRR1607299.msh	0	0.010944	0.0107033	0.0110431	0.0128757	0.0109095	0.0119829	0.011619	0.0111771	
SRR1607302.msh	0.010944	0	0.00905499	0.00906757	0.0110283	0.00896987	0.00975401	0.00995418	0.00920399	
SRR1607306.msh	0.0107033	0.00905499	0	0.00919563	0.0110764	0.00904011	0.00991449	0.00973113	0.00928309	
SRR1607310.msh	0.0110431	0.00906757	0.00919563	0	0.0111889	0.00911168	0.00985288	0.00971554	0.00936229	
SRR1607312.msh	0.0128757	0.0110283	0.0110764	0.0111889	0	0.0110049	0.0120276	0.0119697	0.0112531	
SRR1607316.msh	0.0109095	0.00896987	0.00904011	0.00911168	0.0110049	0	0.00982776	0.00924717	0.00926126	
SRR1607318.msh	0.0119829	0.00975401	0.00991449	0.00985288	0.0120276	0.00982776	0	0.0108001	0.0100969	
SRR1607320.msh	0.011619	0.00995418	0.00973113	0.00971554	0.0119697	0.00924717	0.0108001	0	0.0101767	
SRR1607323.msh	0.0111771	0.00920399	0.00928309	0.00936229	0.0112531	0.00926126	0.0100969	0.0101767	0	
