sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.00021	0	0.0007	0.00067	0.0008	0.00057	3e-05	0.00032	0.00023
SRR1607348	0.00021	0.0	0.00053	0.00029	0.00019	0.0004	0.00052	0	0	5e-05
SRR1607350	0	0.00053	0.0	0.00036	0.00024	0.00021	0.00028	0	0	1e-05
SRR1607351	0.0007	0.00029	0.00036	0.0	0.0008	0.00064	0.00036	0.0006	0.00054	0.00065
SRR1607354	0.00067	0.00019	0.00024	0.0008	0.0	0.00017	0.00104	0.00033	5e-05	0.00019
SRR1607356	0.0008	0.0004	0.00021	0.00064	0.00017	0.0	0.00038	0.00029	0	0.00035
SRR1607357	0.00057	0.00052	0.00028	0.00036	0.00104	0.00038	0.0	0.00042	0.00026	0.00033
SRR1607359	3e-05	0	0	0.0006	0.00033	0.00029	0.00042	0.0	0	3e-05
SRR1607361	0.00032	0	0	0.00054	5e-05	0	0.00026	0	0.0	0
SRR1607363	0.00023	5e-05	1e-05	0.00065	0.00019	0.00035	0.00033	3e-05	0	0.0
