sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00358	0.0039	0.00349	0.00352	0.00391	0.00364	0.00356	0.0039	0.00375
SRR23814148	0.00376	0.0	0.00349	0.00359	0.00349	0.00362	0.00343	0.00335	0.00363	0.00357
SRR23814152	0.00393	0.00336	0.0	0.00368	0.00367	0.00365	0.00351	0.00342	0.00378	0.00374
SRR23814180	0.00371	0.00363	0.00384	0.0	0.0	0.00383	0.00354	0.0034	0.00387	0.00378
SRR23814181	0.00371	0.00352	0.00382	0.0	0.0	0.00378	0.00347	0.0035	0.00383	0.00381
SRR23814184	0.004	0.00356	0.00372	0.00373	0.00369	0.0	0.00376	0.00358	0.00381	0.0039
SRR23814185	0.00384	0.00346	0.00367	0.00354	0.00348	0.00385	0.0	0.0	0.00369	0.00349
SRR23814186	0.00378	0.00339	0.0036	0.00341	0.00352	0.00369	0.0	0.0	0.0036	0.00357
SRR23814187	0.00394	0.0035	0.00377	0.0037	0.00367	0.00373	0.00353	0.00343	0.0	0.00378
SRR23814188	0.00384	0.00349	0.00379	0.00366	0.00371	0.00387	0.00337	0.00344	0.00383	0.0
