sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814171.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814177.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0425007	0.0423099	0.0429033	0.0430951	0.0432269	0.0424123	0.0427824	0.0427879	0.0433612	0.0304438	0.0429217	0.0428886	
SRR23814167.msh	0.0425007	0	0.0423314	0.0423493	0.0433556	0.043455	0.0430119	0.0428025	0.0433987	0.0432287	0.0305798	0.0433444	0.0429475	
SRR23814168.msh	0.0423099	0.0423314	0	0.0424609	0.0428813	0.0433313	0.0426148	0.042918	0.0431155	0.0432027	0.0299684	0.0431284	0.0425622	
SRR23814169.msh	0.0429033	0.0423493	0.0424609	0	0.0435095	0.0436284	0.0435114	0.0431377	0.0435698	0.0436587	0.0307776	0.0435378	0.0433126	
SRR23814170.msh	0.0430951	0.0433556	0.0428813	0.0435095	0	0.0436265	0.0434663	0.0435472	0.0442818	0.043551	0.0307285	0.0434456	0.0434738	
SRR23814171.msh	0.0432269	0.043455	0.0433313	0.0436284	0.0436265	0	0.0433089	0.0432753	0.0437992	0.0434174	0.0310778	0.0437706	0.043134	
SRR23814172.msh	0.0424123	0.0430119	0.0426148	0.0435114	0.0434663	0.0433089	0	0.0426202	0.0430655	0.0430101	0.0302362	0.0432213	0.0425966	
SRR23814173.msh	0.0427824	0.0428025	0.042918	0.0431377	0.0435472	0.0432753	0.0426202	0	0.0433089	0.0431526	0.0301724	0.0427605	0.042744	
SRR23814175.msh	0.0427879	0.0433987	0.0431155	0.0435698	0.0442818	0.0437992	0.0430655	0.0433089	0	0.0434644	0.0307057	0.0429438	0.0432381	
SRR23814176.msh	0.0433612	0.0432287	0.0432027	0.0436587	0.043551	0.0434174	0.0430101	0.0431526	0.0434644	0	0.0306285	0.0437725	0.0430119	
SRR23814177.msh	0.0304438	0.0305798	0.0299684	0.0307776	0.0307285	0.0310778	0.0302362	0.0301724	0.0307057	0.0306285	0	0.0303483	0.0302767	
SRR23814178.msh	0.0429217	0.0433444	0.0431284	0.0435378	0.0434456	0.0437706	0.0432213	0.0427605	0.0429438	0.0437725	0.0303483	0	0.04306	
SRR23814179.msh	0.0428886	0.0429475	0.0425622	0.0433126	0.0434738	0.043134	0.0425966	0.042744	0.0432381	0.0430119	0.0302767	0.04306	0	
