sample	SRR1607513	SRR1607514	SRR1607517	SRR1607518	SRR1607520	SRR1607522	SRR1607528	SRR1607531
SRR1607513	0.0	0.00103	0	1e-05	0.00036	0.00041	0.00247	0.00208
SRR1607514	0.00103	0.0	0.00073	0.00057	0.00083	0.0011	0.00367	0.0035
SRR1607517	0	0.00073	0.0	0	0.00025	0.0003	0.00221	0.00174
SRR1607518	1e-05	0.00057	0	0.0	0.00028	0.00031	0.00198	0.0015
SRR1607520	0.00036	0.00083	0.00025	0.00028	0.0	0.00024	0.00275	0.00239
SRR1607522	0.00041	0.0011	0.0003	0.00031	0.00024	0.0	0.00292	0.00263
SRR1607528	0.00247	0.00367	0.00221	0.00198	0.00275	0.00292	0.0	0.00448
SRR1607531	0.00208	0.0035	0.00174	0.0015	0.00239	0.00263	0.00448	0.0
