sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.00126	0.00105	0.00118	0.00139	0.00111	0.00121	0.00154	0.00122	0.00131
SRR1607299	0.00126	0.0	0.00127	0.00124	0.00131	0.00145	0.00139	0.00201	0.0012	0.00161
SRR1607302	0.00105	0.00126	0.0	0.0012	0.00129	0.0012	0.00108	0.00149	0.0012	0.00108
SRR1607306	0.00118	0.00124	0.0012	0.0	0.00122	0.00126	0.00114	0.00192	0.00106	0.00122
SRR1607310	0.00139	0.00131	0.00129	0.00122	0.0	0.0011	0.00108	0.00174	0.00099	0.00129
SRR1607312	0.00111	0.00145	0.0012	0.00126	0.0011	0.0	0.00138	0.00168	0.00134	0.00129
SRR1607316	0.00121	0.00139	0.00108	0.00114	0.00107	0.00138	0.0	0.0017	0.00077	0.00125
SRR1607318	0.00154	0.00201	0.00149	0.00192	0.00174	0.00168	0.0017	0.0	0.00193	0.00172
SRR1607320	0.00122	0.0012	0.0012	0.00106	0.00099	0.00134	0.00078	0.00194	0.0	0.00133
SRR1607323	0.00131	0.00161	0.00108	0.00122	0.00129	0.00129	0.00125	0.00172	0.00133	0.0
