sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00424	0.00441	0.00429	0.00409	0.00406	0.004	0.00389	0.00405	0.00396	0.00389	0.00426
SRR23814167	0.00423	0.0	0.00465	0.00447	0.00428	0.00438	0.00443	0.00407	0.00435	0.00419	0.00424	0.00433
SRR23814168	0.0044	0.00465	0.0	0.00458	0.00432	0.00443	0.00434	0.00424	0.0044	0.00444	0.00422	0.00446
SRR23814169	0.00429	0.00448	0.00458	0.0	0.00423	0.00438	0.00446	0.0043	0.00447	0.00438	0.0043	0.00445
SRR23814170	0.0041	0.00428	0.00433	0.00423	0.0	0.00397	0.00398	0.00381	0.00415	0.00394	0.00391	0.00393
SRR23814171	0.00406	0.00438	0.00444	0.00438	0.00397	0.0	0.00405	0.00393	0.00404	0.00384	0.0041	0.004
SRR23814172	0.00399	0.00443	0.00434	0.00446	0.00398	0.00405	0.0	0.00376	0.00391	0.00403	0.00391	0.00399
SRR23814173	0.00389	0.00407	0.00425	0.0043	0.00381	0.00392	0.00377	0.0	0.00392	0.00376	0.00378	0.00393
SRR23814175	0.00405	0.00436	0.0044	0.00447	0.00415	0.00404	0.00391	0.00392	0.0	0.00382	0.00383	0.00413
SRR23814176	0.00396	0.0042	0.00445	0.00439	0.00394	0.00384	0.00404	0.00376	0.00382	0.0	0.00391	0.00401
SRR23814178	0.00389	0.00424	0.00423	0.0043	0.00391	0.00409	0.00391	0.00378	0.00383	0.00391	0.0	0.00397
SRR23814179	0.00426	0.00433	0.00446	0.00445	0.00392	0.004	0.00399	0.00393	0.00413	0.004	0.00397	0.0
