sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814183	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00329	0.00333	0.00321	0.00309	0.00581	0.0035	0.00344	0.0031	0.00356	0.0033
SRR23814148	0.00329	0.0	0.00293	0.00283	0.00295	0.00524	0.00297	0.00281	0.00295	0.00285	0.00291
SRR23814152	0.00333	0.00293	0.0	0.00296	0.00306	0.00548	0.00299	0.00301	0.00287	0.00303	0.00312
SRR23814180	0.00321	0.00283	0.00296	0.0	9e-05	0.00535	0.00311	0.00295	0.0028	0.00301	0.00316
SRR23814181	0.00309	0.00295	0.00306	9e-05	0.0	0.00544	0.0033	0.00274	0.00286	0.00289	0.00337
SRR23814183	0.00581	0.00524	0.00548	0.00535	0.00544	0.0	0.00539	0.00543	0.00539	0.00548	0.00541
SRR23814184	0.0035	0.00297	0.00299	0.00311	0.0033	0.00539	0.0	0.00306	0.00314	0.00292	0.00326
SRR23814185	0.00344	0.00281	0.00301	0.00295	0.00274	0.00543	0.00306	0.0	0.00019	0.00291	0.00303
SRR23814186	0.0031	0.00295	0.00287	0.0028	0.00286	0.00539	0.00314	0.00019	0.0	0.00279	0.00304
SRR23814187	0.00356	0.00285	0.00303	0.00301	0.00289	0.00548	0.00292	0.00291	0.00279	0.0	0.00325
SRR23814188	0.0033	0.00291	0.00312	0.00316	0.00337	0.00541	0.00326	0.00303	0.00304	0.00325	0.0
