sample	SRR1607296.msh	SRR1607299.msh	SRR1607302.msh	SRR1607306.msh	SRR1607310.msh	SRR1607312.msh	SRR1607316.msh	SRR1607318.msh	SRR1607320.msh	SRR1607323.msh	
SRR1607296.msh	0	0.0454727	0.0438755	0.0443713	0.0438488	0.0452538	0.0435396	0.0441212	0.0450688	0.0440923	
SRR1607299.msh	0.0454727	0	0.0443246	0.0443129	0.0445571	0.0455726	0.0442993	0.044915	0.0454036	0.0447463	
SRR1607302.msh	0.0438755	0.0443246	0	0.0431897	0.0433126	0.0439769	0.0424844	0.0432287	0.0444006	0.0431841	
SRR1607306.msh	0.0443713	0.0443129	0.0431897	0	0.0431247	0.0441714	0.0430692	0.0437023	0.0442624	0.0434231	
SRR1607310.msh	0.0438488	0.0445571	0.0433126	0.0431247	0	0.0442935	0.0427386	0.0439942	0.0441328	0.0434475	
SRR1607312.msh	0.0452538	0.0455726	0.0439769	0.0441714	0.0442935	0	0.0441695	0.044689	0.045365	0.0444983	
SRR1607316.msh	0.0435396	0.0442993	0.0424844	0.0430692	0.0427386	0.0441695	0	0.0433968	0.0433594	0.0430322	
SRR1607318.msh	0.0441212	0.044915	0.0432287	0.0437023	0.0439942	0.044689	0.0433968	0	0.0452962	0.0439175	
SRR1607320.msh	0.0450688	0.0454036	0.0444006	0.0442624	0.0441328	0.045365	0.0433594	0.0452962	0	0.0442702	
SRR1607323.msh	0.0440923	0.0447463	0.0431841	0.0434231	0.0434475	0.0444983	0.0430322	0.0439175	0.0442702	0	
