sample	SRR23814147.msh	SRR23814148.msh	SRR23814152.msh	SRR23814180.msh	SRR23814181.msh	SRR23814183.msh	SRR23814184.msh	SRR23814185.msh	SRR23814186.msh	SRR23814187.msh	SRR23814188.msh	
SRR23814147.msh	0	0.0145113	0.0149512	0.0145419	0.0145819	0.0103147	0.0167042	0.0147082	0.0151934	0.0149195	0.0152752	
SRR23814148.msh	0.0145113	0	0.0145979	0.0144832	0.0144177	0.0100441	0.0163565	0.0144173	0.0149084	0.014581	0.0150314	
SRR23814152.msh	0.0149512	0.0145979	0	0.0148791	0.0148969	0.0104247	0.0166936	0.0147882	0.0153008	0.0149267	0.0155117	
SRR23814180.msh	0.0145419	0.0144832	0.0148791	0	0.0110382	0.0102078	0.0165369	0.0145852	0.0150566	0.0147858	0.0152463	
SRR23814181.msh	0.0145819	0.0144177	0.0148969	0.0110382	0	0.0101928	0.0165401	0.0145791	0.0150464	0.0147729	0.0153111	
SRR23814183.msh	0.0103147	0.0100441	0.0104247	0.0102078	0.0101928	0	0.0121874	0.0103075	0.0107808	0.0105127	0.0108863	
SRR23814184.msh	0.0167042	0.0163565	0.0166936	0.0165369	0.0165401	0.0121874	0	0.0166132	0.0170394	0.0166005	0.0172171	
SRR23814185.msh	0.0147082	0.0144173	0.0147882	0.0145852	0.0145791	0.0103075	0.0166132	0	0.0115685	0.0146674	0.015168	
SRR23814186.msh	0.0151934	0.0149084	0.0153008	0.0150566	0.0150464	0.0107808	0.0170394	0.0115685	0	0.0151397	0.0156196	
SRR23814187.msh	0.0149195	0.014581	0.0149267	0.0147858	0.0147729	0.0105127	0.0166005	0.0146674	0.0151397	0	0.0154371	
SRR23814188.msh	0.0152752	0.0150314	0.0155117	0.0152463	0.0153111	0.0108863	0.0172171	0.015168	0.0156196	0.0154371	0	
