sample	SRR23814149.msh	SRR23814150.msh	SRR23814151.msh	SRR23814153.msh	SRR23814154.msh	SRR23814155.msh	SRR23814156.msh	SRR23814157.msh	SRR23814158.msh	SRR23814160.msh	SRR23814161.msh	SRR23814162.msh	SRR23814164.msh	
SRR23814149.msh	0	0.0145536	0.0208582	0.0145795	0.0146173	0.0191267	0.0145541	0.014676	0.0145682	0.0145221	0.0145729	0.0146244	0.014525	
SRR23814150.msh	0.0145536	0	0.0151003	0.00604264	0.00597959	0.0116989	0.00598331	0.00610572	0.00595917	0.00600775	0.00601547	0.00605998	0.005965	
SRR23814151.msh	0.0208582	0.0151003	0	0.0151207	0.0151003	0.0196443	0.0150275	0.0152125	0.015131	0.0150731	0.0151651	0.0151441	0.0151037	
SRR23814153.msh	0.0145795	0.00604264	0.0151207	0	0.00600855	0.0117637	0.00594619	0.00622277	0.00600164	0.00613119	0.00607922	0.00609474	0.00592662	
SRR23814154.msh	0.0146173	0.00597959	0.0151003	0.00600855	0	0.0117597	0.00591895	0.00615698	0.00607387	0.00611081	0.00608082	0.0060397	0.0059552	
SRR23814155.msh	0.0191267	0.0116989	0.0196443	0.0117637	0.0117597	0	0.011678	0.011851	0.0117186	0.0116985	0.0117843	0.0117664	0.0116953	
SRR23814156.msh	0.0145541	0.00598331	0.0150275	0.00594619	0.00591895	0.011678	0	0.00600376	0.00597694	0.00593878	0.0060405	0.0060413	0.00596792	
SRR23814157.msh	0.014676	0.00610572	0.0152125	0.00622277	0.00615698	0.011851	0.00600376	0	0.00613253	0.00616829	0.00615672	0.00621439	0.00606666	
SRR23814158.msh	0.0145682	0.00595917	0.015131	0.00600164	0.00607387	0.0117186	0.00597694	0.00613253	0	0.00611188	0.00603064	0.00601041	0.00599127	
SRR23814160.msh	0.0145221	0.00600775	0.0150731	0.00613119	0.00611081	0.0116985	0.00593878	0.00616829	0.00611188	0	0.00609795	0.00602585	0.00602505	
SRR23814161.msh	0.0145729	0.00601547	0.0151651	0.00607922	0.00608082	0.0117843	0.0060405	0.00615672	0.00603064	0.00609795	0	0.00609313	0.00603677	
SRR23814162.msh	0.0146244	0.00605998	0.0151441	0.00609474	0.0060397	0.0117664	0.0060413	0.00621439	0.00601041	0.00602585	0.00609313	0	0.00598171	
SRR23814164.msh	0.014525	0.005965	0.0151037	0.00592662	0.0059552	0.0116953	0.00596792	0.00606666	0.00599127	0.00602505	0.00603677	0.00598171	0	
