sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.0	0.0	0.00078	0.0	0.00051	0.0	0.0	0.00046	0.0
SRR1607348	0.0008	0.0	0.00058	0.0014	0.00082	0.00108	0.00087	0.0005	0.00094	0.00053
SRR1607350	0.00122	0.00099	0.0	0.00182	0.00122	0.00144	0.00132	0.0009	0.00127	0.00091
SRR1607351	0.00035	0.0	0.0	0.0	0.00041	0.0007	0.0	0.0	0.00084	0.0
SRR1607354	0.00072	0.00053	0.00051	0.00132	0.0	0.00049	0.0008	0.00042	0.00086	0.00041
SRR1607356	0.00071	0.00054	0.00051	0.00125	0.0	0.0	0.00074	0.00042	0.00093	0.00039
SRR1607357	0.0	0.0	0.0	0.00046	0.0	0.00035	0.0	0.0	0.00044	0.0
SRR1607359	0.00091	0.0007	0.00069	0.0015	0.00091	0.00115	0.00102	0.0	0.00099	0.00061
SRR1607361	0.00113	0.00097	0.00097	0.0017	0.00114	0.0014	0.0012	0.00086	0.0	0.00084
SRR1607363	0.00062	0.00045	0.00042	0.00123	0.00062	0.00089	0.00069	0.0	0.00085	0.0
