sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.0	0.0	0.00087	0.0	0.00038	0.0	0.0	0.00052	0.00036
SRR1607299	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.00047
SRR1607302	0.00048	0.0	0.0	0.00058	0.00044	0.0	0.0	0.0	0.00077	0.00036
SRR1607306	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.00066	0.00053	0.00053
SRR1607310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00087	0.0	0.00044
SRR1607312	0.00053	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.00037	0.0
SRR1607316	0.0	0.0	0.0	0.00043	0.0	0.0	0.0	0.00041	0.0	0.0
SRR1607318	0.00099	0.00092	0.00069	0.00138	0.00142	0.00099	0.00093	0.0	0.00199	0.0014
SRR1607320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0
SRR1607323	0.0006	0.00037	0.0	0.00071	0.00047	0.00042	0.0	0.00087	0.00051	0.0
