sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00344	0.00345	0.00371	0.00324	0.00352	0.00316	0.00332	0.00304	0.00351	0.00317	0.00362
SRR23814167	0.00343	0.0	0.00375	0.0034	0.00377	0.00402	0.00405	0.00361	0.00394	0.00364	0.00388	0.00395
SRR23814168	0.00345	0.00374	0.0	0.00373	0.0035	0.00411	0.00385	0.00395	0.00386	0.00382	0.00387	0.00376
SRR23814169	0.0037	0.0034	0.00373	0.0	0.00379	0.00406	0.00442	0.00381	0.00397	0.00394	0.00393	0.00418
SRR23814170	0.00324	0.00378	0.00351	0.00379	0.0	0.00339	0.00371	0.00358	0.00405	0.00316	0.00317	0.00369
SRR23814171	0.00352	0.00403	0.00412	0.00406	0.00339	0.0	0.00369	0.00344	0.00369	0.00317	0.00365	0.00348
SRR23814172	0.00315	0.00405	0.00385	0.00442	0.0037	0.00368	0.0	0.00324	0.00341	0.00322	0.00356	0.0034
SRR23814173	0.00332	0.00361	0.00395	0.00381	0.00357	0.00343	0.00324	0.0	0.00345	0.00315	0.00287	0.00334
SRR23814175	0.00304	0.00395	0.00387	0.00398	0.00405	0.00369	0.00341	0.00345	0.0	0.00319	0.00277	0.00356
SRR23814176	0.00351	0.00364	0.00383	0.00394	0.00316	0.00317	0.00323	0.00316	0.00319	0.0	0.00351	0.0032
SRR23814178	0.00317	0.00388	0.00387	0.00393	0.00317	0.00365	0.00357	0.00287	0.00277	0.0035	0.0	0.00337
SRR23814179	0.00362	0.00395	0.00377	0.00418	0.00368	0.00347	0.0034	0.00333	0.00356	0.00319	0.00337	0.0
