sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.00939	0.00795	0.00855	0.00826	0.00747	0.00782	0.01073	0.00726	0.00922	0.00983	0.00715	0.00643	0.00668	0.00761	0.00967	0.00711	0.00841	0.00654	0.0074	0.0068	0.00699	0.00784	0.00933	0.00713	0.00915	0.00753	0.00795	0.00801	0.0075	0.00748	0.00913	0.00836	0.00901	0.0088	0.00818	0.00868	0.00065	0.0	0.00965	0.00055	0.0	0.00809
SRR10727874	0.00935	0.0	0.00099	0.0047	0.00568	0.00632	0.00899	0.00422	0.00786	0.0058	0.0102	0.00589	0.0076	0.00842	0.00945	0.00984	0.00824	0.00527	0.00886	0.00852	0.00762	0.00537	0.00362	0.00843	0.00559	0.00963	0.00762	0.00814	0.00808	0.00807	0.00791	0.00904	0.01	0.00898	0.00914	0.00917	0.00924	0.00968	0.00985	0.00511	0.00944	0.00946	0.00208
SRR10727875	0.00792	0.00099	0.0	0.00371	0.00407	0.0053	0.00746	0.00264	0.00668	0.00437	0.0083	0.00416	0.0059	0.00706	0.0076	0.0082	0.00668	0.00425	0.00707	0.00694	0.00549	0.00411	0.00254	0.00668	0.00386	0.0076	0.00577	0.00667	0.00672	0.00617	0.00625	0.00701	0.00855	0.00757	0.00745	0.00734	0.00776	0.00774	0.00816	0.00299	0.00853	0.00843	0.00058
SRR7296837	0.00842	0.00465	0.00367	0.0	0.0026	0.00476	0.00784	0.00507	0.00767	0.00395	0.00981	0.00376	0.00604	0.00701	0.00822	0.00791	0.00659	0.00236	0.00721	0.00795	0.00644	0.00352	0.00236	0.00648	0.00366	0.00793	0.00666	0.00691	0.00799	0.00687	0.00745	0.00857	0.00905	0.00896	0.00724	0.00695	0.00785	0.00843	0.00853	0.0068	0.00857	0.00848	0.00399
SRR7296908	0.00814	0.00562	0.00403	0.00261	0.0	0.00435	0.00728	0.00592	0.00731	0.00415	0.00938	0.00343	0.00595	0.00699	0.00729	0.00818	0.00639	0.00346	0.00665	0.00736	0.00606	0.00333	0.00169	0.00529	0.0035	0.00809	0.00512	0.00701	0.00765	0.00564	0.00707	0.00861	0.00911	0.00898	0.00738	0.00698	0.00651	0.00812	0.00835	0.0069	0.00845	0.00858	0.00387
SRR7296922	0.00754	0.0064	0.00537	0.00487	0.00445	0.0	0.00612	0.0078	0.00642	0.00502	0.00833	0.00233	0.00471	0.00572	0.00667	0.00647	0.00494	0.00383	0.00591	0.00621	0.00517	0.0014	0.00377	0.00589	0.00188	0.00642	0.00661	0.00505	0.00611	0.00675	0.00576	0.00687	0.00818	0.00721	0.00552	0.00551	0.00763	0.00765	0.00807	0.00756	0.00787	0.008	0.00568
SRR7296925	0.00778	0.00898	0.00745	0.00792	0.00734	0.00604	0.0	0.00932	0.00677	0.0096	0.00898	0.00695	0.00599	0.00648	0.00695	0.00621	0.00551	0.00831	0.00654	0.00557	0.00227	0.00624	0.00622	0.0068	0.0065	0.00636	0.00123	0.00477	0.00328	0.00151	0.00369	0.00408	0.00846	0.0041	0.00549	0.00595	0.00626	0.00771	0.00754	0.00991	0.00767	0.00755	0.00802
SRR7296926	0.01065	0.0042	0.00263	0.0051	0.00596	0.00767	0.0093	0.0	0.00949	0.00451	0.01025	0.0067	0.00917	0.00986	0.00995	0.01006	0.00949	0.00563	0.0097	0.00952	0.00791	0.00653	0.00518	0.00585	0.00622	0.00768	0.00784	0.00936	0.00894	0.00817	0.00867	0.0096	0.00777	0.00951	0.01011	0.0095	0.00612	0.01026	0.0107	0.00333	0.01067	0.01039	0.00305
SRR7296936	0.00722	0.00784	0.00667	0.00774	0.00737	0.00633	0.00676	0.0095	0.0	0.00818	0.0082	0.00671	0.00282	0.00336	0.00413	0.00799	0.00311	0.00783	0.00361	0.00251	0.0059	0.00627	0.00673	0.00776	0.00631	0.00825	0.00643	0.0069	0.00722	0.00582	0.00693	0.0077	0.00399	0.00776	0.00723	0.00712	0.00947	0.00678	0.00723	0.00941	0.00773	0.00765	0.00763
SRR7296939	0.00914	0.00577	0.00436	0.00397	0.00417	0.00493	0.00958	0.0045	0.00816	0.0	0.00957	0.00413	0.00665	0.00703	0.00765	0.00766	0.00661	0.0036	0.00697	0.00802	0.0078	0.00436	0.00351	0.00459	0.00416	0.00637	0.00825	0.00748	0.00802	0.00866	0.0077	0.00877	0.00665	0.0092	0.00743	0.0071	0.00559	0.00923	0.00897	0.00554	0.00915	0.00894	0.00515
