sample	SRR23814149	SRR23814150	SRR23814151	SRR23814153	SRR23814154	SRR23814155	SRR23814156	SRR23814157	SRR23814158	SRR23814160	SRR23814161	SRR23814162	SRR23814164
SRR23814149	0.0	0.00385	0.00357	0.00397	0.00379	0.00397	0.0035	0.00374	0.00338	0.00342	0.00394	0.00331	0.00367
SRR23814150	0.00385	0.0	0.00346	0.00332	0.00358	0.00365	0.00314	0.00374	0.00359	0.00378	0.0038	0.00342	0.00343
SRR23814151	0.00357	0.00346	0.0	0.00373	0.00353	0.00384	0.00336	0.00376	0.00403	0.00387	0.00382	0.00323	0.00384
SRR23814153	0.00397	0.00332	0.00373	0.0	0.00392	0.00381	0.00339	0.00396	0.0039	0.00361	0.00347	0.00363	0.00346
SRR23814154	0.00379	0.00358	0.00353	0.00392	0.0	0.00386	0.00364	0.00384	0.00433	0.00342	0.00377	0.00354	0.0038
SRR23814155	0.00396	0.00365	0.00384	0.00381	0.00386	0.0	0.00372	0.00405	0.00403	0.00363	0.0042	0.00386	0.00401
SRR23814156	0.0035	0.00314	0.00336	0.00339	0.00364	0.00372	0.0	0.00358	0.00362	0.00315	0.00324	0.00342	0.00353
SRR23814157	0.00374	0.00374	0.00376	0.00397	0.00384	0.00406	0.00359	0.0	0.00362	0.00371	0.00356	0.00373	0.00347
SRR23814158	0.00338	0.00359	0.00404	0.00391	0.00433	0.00403	0.00362	0.00361	0.0	0.00385	0.00373	0.00336	0.00337
SRR23814160	0.00342	0.00378	0.00387	0.00361	0.00342	0.00363	0.00315	0.00371	0.00384	0.0	0.00349	0.00347	0.00357
SRR23814161	0.00395	0.00381	0.00383	0.00348	0.00377	0.00421	0.00325	0.00357	0.00373	0.0035	0.0	0.0037	0.00381
SRR23814162	0.00331	0.00343	0.00324	0.00364	0.00355	0.00387	0.00343	0.00373	0.00337	0.00348	0.0037	0.0	0.00346
SRR23814164	0.00367	0.00343	0.00384	0.00346	0.0038	0.00402	0.00353	0.00347	0.00337	0.00357	0.0038	0.00346	0.0
