sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.00141	0.00131	0.0013	0.00143	0.00136	0.00125	0.00155	0.00129	0.00136
SRR1607299	0.00115	0.0	0.00114	0.00083	0.00115	0.0012	0.00106	0.00141	0.00085	0.00116
SRR1607302	0.00114	0.00123	0.0	0.00111	0.00117	0.00119	0.00106	0.00137	0.00114	0.00114
SRR1607306	0.00147	0.00127	0.00145	0.0	0.00151	0.00148	0.00135	0.00167	0.00113	0.00147
SRR1607310	0.00128	0.00126	0.00119	0.00119	0.0	0.00128	0.00115	0.00147	0.00084	0.00125
SRR1607312	0.00124	0.00134	0.00124	0.00119	0.00131	0.0	0.00117	0.00143	0.00126	0.00124
SRR1607316	0.0012	0.00128	0.00119	0.00114	0.00125	0.00125	0.0	0.00146	0.00047	0.00124
SRR1607318	0.00085	0.00098	0.00084	0.00079	0.00091	0.00085	0.0008	0.0	0.00083	0.00085
SRR1607320	0.0015	0.00133	0.00153	0.00118	0.0012	0.00159	0.00072	0.00175	0.0	0.00152
SRR1607323	0.00118	0.00125	0.00114	0.00113	0.00122	0.00119	0.0011	0.00138	0.00113	0.0
